,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Kamla Nehru College for Women, Phagwara",Phagwara,Punjab,B. Voc Fashion Technology,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 with relevant subject.,"This is a full-time three-year course affiliated to Guru Nanak Dev University, Amritsar and approved by University Grants Commission."
1,"Kamla Nehru College for Women, Phagwara",Phagwara,Punjab,B.Sc Fashion Design,3 years,Full time,,UG,,UGC,10 +2 examination with 45% marks in aggregate or equivalent examination,"This is a full-time three-year course affiliated to Guru Nanak Dev University, Amritsar and approved by University Grants Commission."
2,"Kamla Nehru College for Women, Phagwara",Phagwara,Punjab,M.Sc Fashion Designing and Merchandising,2 years,Full time,,PG,,UGC,Passed B.A./B.sc(10+2+3) of GNDU or any other equivalent exam. Passed B.A with fashion designing and garment construction or home sci. or B.sc home science or bachelor of design or B.sc fashion design or PG diploma in dress designing & tailoring or PG diploma in fashion designing or B.A. degree with fashion designing as add on course. At least 45% marks in graduation.,"M.Sc Fashion Designing and Merchandising is a full-time two-year course affiliated to Guru Nanak Dev University, Amritsar and approved by University Grants Commission."
3,"Hans Raj Mahila Maha Vidyalaya, Jalandhar",Jalandhar,Punjab,Advance Diploma in Fashion Designing,2 years,Full time,,Diploma,,,Candidates must be a 10+2 passed out from any discipline.,Advance Diploma in Fashion Designing is a full time two years course.
4,"Hans Raj Mahila Maha Vidyalaya, Jalandhar",Jalandhar,Punjab,B.Des,4 years,Full time,,UG,0.51 lakhs,,Candidates must be 10+2 passed with a minimum of 45% marks in aggregate from any stream.,B.Des is a full time four years course.
5,"Hans Raj Mahila Maha Vidyalaya, Jalandhar",Jalandhar,Punjab,B.Sc Fashion Designing,3 years,Full time,,UG,0.4 lakhs,,Candidates must be 10+2 passed out with at least 45% marks in aggregate.,B.Sc Fashion Designing is a full time three years course.
6,"Hans Raj Mahila Maha Vidyalaya, Jalandhar",Jalandhar,Punjab,Bachelor of Multimedia,3 years,Full time,,UG,,UGC,Candidates should have passed in 10+2 with the relevant subject.,Bachelor of Multimedia is a full time three years course.
7,"Hans Raj Mahila Maha Vidyalaya, Jalandhar",Jalandhar,Punjab,Bdes,4 years,Full time,,UG,0.5 lakhs,UGC,The candidate should have passed in 10+2 with relevant subject.,"This is a full-time four-year course affiliated to Guru Nanak Dev University, Amritsar and approved by University Grants Commission."
8,"Hans Raj Mahila Maha Vidyalaya, Jalandhar",Jalandhar,Punjab,M.Sc Fashion Designing and Merchandising,2 years,Full time,,PG,0.45 lakhs,,Candidates must have passed BA with Fashion Designing and Garment Construction / Home Science B.Sc with at least 45% marks from GNDU or any other equivalent examination from recognised University.,M.Sc Fashion Designing and Merchandising is a full time three years course.
9,"Hans Raj Mahila Maha Vidyalaya, Jalandhar",Jalandhar,Punjab,PGD in Garment Construction and Fashion Designing,1 year,Full time,,Diploma,0.25 lakhs,,Candidates must be BA / B.Com / B.Sc or Equivalent Examinations with 45% Aggregate.,Post Graduate Diploma in Garment Construction and Fashion Designing is a full time one year course.
10,"INIFD Deccan, Pune",Pune,Maharashtra,B.Des Fashion Design,3 years,Full time,,UG,,,The candidate should have passed in 10+2 with the relevant subject.,"This is a full time three year course affiliated to Annamalai University, Annamalai Nagar.
This programme is not subjected to approval by any Government of India regulatory bodies like UGC, AICTE etc."
11,"INIFD Deccan, Pune",Pune,Maharashtra,B.Des Interior Design,3 years,Full time,,UG,,,The candidate should have passed in 10+2 with the relevant subject.,"This is a full time three year course affiliated to Annamalai University, Annamalai Nagar.
This programme is not subjected to approval by any Government of India regulatory bodies like UGC, AICTE etc."
12,"INIFD Deccan, Pune",Pune,Maharashtra,M.Des Interior Design,2 years,Full time,,PG,,,Graduation from any recognized university with relevant subjects.,"This is a full time two year course affiliated to Annamalai University, Annamalai Nagar.
This programme is not subjected to approval by any Government of India regulatory bodies like UGC, AICTE etc."
13,"SD PG College, Panipat",Panipat,Haryana,B. Sc Fashion Design,3 years,Full time,40,UG,,UGC,"A woman who has passed 10+2 examination of Board Education,
Haryana or any other examination recognized as equivalent thereto,
with 45% marks in the aggregate, shall be eligible for the course.",It is 3 year full time course.
14,"Apex Professional University, Pasighat",Pasighat,Arunachal Pradesh,Diploma in Interior Design Part Time,1 year,Part Time,,Diploma,0.16 lakhs,,10+2 or equivalent,"Diploma in Interior Design is part time one year course diploma offered by Apex Professional University, Pasighat."
15,"Apex Professional University, Pasighat",Pasighat,Arunachal Pradesh,M.Des Animation Part Time,2 years,Part Time,,PG,1.02 lakhs,UGC,Bachelor Degree in relevant subject.,"Master of Design in Animation is part time two year course degree offered by Apex Professional University, Pasighat and approved by UGC."
16,"Apex Professional University, Pasighat",Pasighat,Arunachal Pradesh,M.Des Industrial Design Part Time,2 years,Part Time,,PG,1.02 lakhs,UGC,Bachelor Degree in relevant subject.,"Master of Design in Industrial Design is part time two year course degree offered by Apex Professional University, Pasighat and approved by UGC."
17,"Apex Professional University, Pasighat",Pasighat,Arunachal Pradesh,M.Des Interior Design Part Time,2 years,Part Time,,PG,1.02 lakhs,UGC,Bachelor Degree in relevant subject.,"Master of Design in Interior Design is part time two year course degree offered by Apex Professional University, Pasighat and approved by UGC."
18,"Apex Professional University, Pasighat",Pasighat,Arunachal Pradesh,M.Voc Animation and Multimedia Part Time,2 years,Part Time,,PG,0.66 lakhs,UGC,Bachelor degree in relevant subject.,"Master of Vocational in Animation and Multimedia is part time two year course degree offered by Apex Professional University, Pasighat and approved by UGC."
19,"Apex Professional University, Pasighat",Pasighat,Arunachal Pradesh,M.Voc Fashion Design Part Time,2 years,Part Time,,PG,0.66 lakhs,UGC,Bachelor degree in relevant subject.,"Master of Vocational in Fashion Design is part time two year course degree offered by Apex Professional University, Pasighat and approved by UGC."
20,"JD Institute of Fashion Technology, Bangalore",Bengaluru,Karnataka,B.Sc Fashion and Apparel Design,3 years,Full time,60,UG,,,Candidate should have passed 10+2 or equivalent from recognised board.,"B.Sc Fashion and Apparel Design is a full time three years course.
This programme is not subjected to approval by any Government of India regulatory bodies like UGC, AICTE etc."
21,"JD Institute of Fashion Technology, Bangalore",Bengaluru,Karnataka,B.Sc Interior Design and Decoration,3 years,Full time,60,UG,,,Candidate should have passed 10+2 or equivalent from recognised board.,"B.Sc Interior Design and Decoration is a full time three years course.
This programme is not subjected to approval by any Government of India regulatory bodies like UGC, AICTE etc."
22,"JD Institute of Fashion Technology, Bangalore",Bengaluru,Karnataka,Diploma in Fashion Business Management,1 year,Full time,,Diploma,,,Candidate should have passed 10+2 or equivalent from recognized board.,Diploma in Fashion Business Management is a full time one year course.
23,"JD Institute of Fashion Technology, Bangalore",Bengaluru,Karnataka,Diploma in Fashion Design,1 year,Full time,,Diploma,,,The candidate should have passed 10+2 or equivalent from recognized board.,Diploma in Fashion Design is one-year duration full-time course.
24,"JD Institute of Fashion Technology, Bangalore",Bengaluru,Karnataka,Diploma in Fashion and Apparel Design,3 years,Full time,25,Diploma,,,Candidate should have passed 10+2 or equivalent from recognized board.,Diploma in Fashion and Apparel Design is a full time three years course.
25,"JD Institute of Fashion Technology, Bangalore",Bengaluru,Karnataka,Diploma in Interior Design,1 year,Full time,,Diploma,,,The candidate should have passed 10+2 or equivalent from recognized board.,Diploma in Interior Design is one-year duration full-time course.
