,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Dr Babasaheb Ambedkar Technological University, Lonere",Lonere,Maharashtra,M.Tech Manufacturing Engineering,2 years,Full time,18,PG,1.248 lakhs,(AICTE) All India Council of Technical Education,The candidate should have B.Tech degree from recognized university.,"This is a full time two year course affiliated to Dr. Babasaheb Ambedkar Technological University, Lonere and approved by AICTE."
1,"Dr Babasaheb Ambedkar Technological University, Lonere",Lonere,Maharashtra,M.Tech Power Systems Engineering,2 years,Full time,18,PG,1.248 lakhs,(AICTE) All India Council of Technical Education,The candidate should have B.Tech degree from recognized university.,"This is a full time two year course affiliated to Dr. Babasaheb Ambedkar Technological University, Lonere and approved by AICTE."
2,"Dr Babasaheb Ambedkar Technological University, Lonere",Lonere,Maharashtra,M.Tech Thermal and Fluids Engineering,2 years,Full time,18,PG,1.248 lakhs,(AICTE) All India Council of Technical Education,The candidate should have B.Tech degree from recognized university.,"This is a full time two year course affiliated to Dr. Babasaheb Ambedkar Technological University, Lonere and approved by AICTE."
3,"Indus University, Ahmedabad",Ahmedabad,Gujarat,B.Tech Mechanical Engineering,4 years,Full time,180,UG,3.28 lakhs,UGC,"Currently, the eligibility criteria are minimum 45% in Physics, Chemistry & Maths in H.S.C. and Score of Entrance Exam of JEE.","Objective of the undergraduate program is to prepare world-class mechanical engineers. Most of the students, who graduate from the department, end up taking leading positions in industry, academics and government in both India and abroad."
4,"Indus University, Ahmedabad",Ahmedabad,Gujarat,B.Tech Metallurgical Engineering,4 years,Full time,60,UG,3.28 lakhs,UGC,"Currently, the eligibility criteria are minimum 45% in Physics, Chemistry & Maths in H.S.C. and Score of Entrance Exam of JEE.","It is a domain of material science and material engineering focusing on the physical and chemical behaviour of metallic elements, their intermetallic compounds and their mixtures which are called alloys. It is also known as technology of metals since science is applied to production of metals and engineering of metal components for use in products for consumers and ma...See More"
5,"Indus University, Ahmedabad",Ahmedabad,Gujarat,M.Sc Information Technology,2 years,Full time,150,PG,1 lakh,UGC,"Students from the discipline of B.C.A., B.Sc. (IT), B.Sc. (Computer Science/Applications), B.Sc. (Information Science/Systems) passed out minimum 50% of marks from a recognized university.","M.Sc-IT as a branch embarks for a curriculum that is designed to satisfy the ever increasing demand and newly emerging needs. It is deeper than being comprehensive. It focuses on the fundamentals and dwells in the depth of subject providing advanced understanding, leading to expertise in the related fields. It follows an advanced prospectus to explore the chosen subje...See More"
6,"Indus University, Ahmedabad",Ahmedabad,Gujarat,M.Tech CAD CAM,2 years,Full time,18,PG,2.52 lakhs,UGC,The eligibility criteria is minimum 50% marks in B.E./B.Tech with the qualifying GATE Score or State level entrance exam for M.E./M.Tech.,"Computer Aided Manufacturing is a speciality branch of Mechanical Engineering that employs wide range of Computer based tools and techniques assisting engineers in design and manufacturing endeavours. Geometrical modelling, analysis, optimisation, validation and simulation are some of the well-known concepts involved in the study of Computer Aided Manufacturing and Ma...See More"
7,"Indus University, Ahmedabad",Ahmedabad,Gujarat,M.Tech Construction Project Management,2 years,Full time,18,PG,2.52 lakhs,UGC,The eligibility criteria is minimum 50% marks in B.E./B.Tech with the qualifying GATE Score or State level entrance exam for M.E./M.Tech.,"As a part of Civil Engineering Department, this Post Graduate course of two year in Construction Project Management helps students to become professional in managing project, organization and strategic aspects of construction industry. First year of course is design to impart the fundamental concepts of construction management by means of coursework, that include core...See More"
8,"Indus University, Ahmedabad",Ahmedabad,Gujarat,M.Tech Digital Communication,2 years,Full time,18,PG,2.52 lakhs,UGC,The eligibility criteria is minimum 50% marks in B.E./B.Tech with the qualifying GATE Score or State level entrance exam for M.E./M.Tech.,This speciality branch of electronics deals with the physical transfer of data over a point-to-point or point-to-multipoint communication channel. It is the transfer of discreet messages which are either represented by a sequence of pulses or by means of a line core or by a limited set of continuously varying waveforms using a digital modulation method. The pulse band...See More
9,"Indus University, Ahmedabad",Ahmedabad,Gujarat,M.Tech Electrical Power Systems,2 years,Full time,18,PG,2.52 lakhs,UGC,The eligibility criteria is minimum 50% marks in B.E./B.Tech with the qualifying GATE Score or State level entrance exam for M.E./M.Tech.,"It is the study of Network of electrical components which are used to supply and transmit electric power. An electric power system is the network that supplies power to a region which is referred to a grid. It can be broadly divided as generators which supply the power, the transmission system which carries the power from the generating centre to the load centres and ...See More"
10,"Indus University, Ahmedabad",Ahmedabad,Gujarat,M.Tech Industrial Metallurgy,2 years,Full time,18,PG,2.52 lakhs,UGC,The eligibility criteria is minimum 50% marks in B.E./B.Tech with the qualifying GATE Score or State level entrance exam for M.E./M.Tech.,"Industrial Metallurgy deals with practical aspects of metallurgy without too much emphasis on academics. Knowledge of Industrial Metallurgy shall enable the students to address issues related to common design, manufacturing, supplier decisions and problems encountered in practical environments. It also deals with practical aspects of metal properties being influenced ...See More"
11,"Indus University, Ahmedabad",Ahmedabad,Gujarat,M.Tech Structural Engineering,2 years,Full time,18,PG,2.52 lakhs,UGC,The eligibility criteria is minimum 50% marks in B.E./B.Tech with the qualifying GATE Score or State level entrance exam for M.E./M.Tech.,"Under The Department of Civil Engineering, this Post Graduate course of two years in Structural Engineering helps students imbibe the theoretical concepts, their real time implications and their applications. The curriculum provides a strong basis for advanced professional practice and research. Programs of study can be tailored easily to fit individual needs and inte...See More"
12,"Dibrugarh University, Dibrugarh",Behia Chetia Gaon,Assam,Advanced PGD Nano Science and Composite Materials,1 year,Full time,10,Diploma,0.14 lakhs,,"The candidate should have passed B.E. / B. Tech (Mechanical, Chemical, Electrical, and Civil) engineering or M.Sc. (Chemistry, Physics Electronics, Geophysics and Life Sciences)from any recognized College or University.","Advanced Post Graduate Diploma in Nano Science and Composite Materials is one year's (2 Semesters) Program offered by Dibrugarh University, Dibrugarh."
13,"Dibrugarh University, Dibrugarh",Behia Chetia Gaon,Assam,B.Tech Computer Science and Engineering,4 years,Full time,60,UG,3.9 lakhs,(AICTE) All India Council of Technical Education,"Candidate must have passed 10+2 in Physics, maths and chemistry, for lateral entry candidate must have passed Diploma",B.Tech Computer Science and Engineering is full time four year undergraduate degree course
14,"Dibrugarh University, Dibrugarh",Behia Chetia Gaon,Assam,B.Tech Electronics and Communication Engineering,4 years,Full time,60,UG,3.9 lakhs,(AICTE) All India Council of Technical Education,"Candidate must have passed 10+2 in Physics, maths and chemistry, for lateral entry candidate must have passed Diploma",B.Tech Electronics and Communication Engineering is full time four year undergraduate degree course
15,"Dibrugarh University, Dibrugarh",Behia Chetia Gaon,Assam,B.Tech Mechanical Engineering,4 years,Full time,60,UG,3.9 lakhs,(AICTE) All India Council of Technical Education,"Candidate must have passed 10+2 in Physics, maths and chemistry, for lateral entry candidate must have passed Diploma",B.Tech Mechanical Engineering is full time four year undergraduate degree course
16,"Dibrugarh University, Dibrugarh",Behia Chetia Gaon,Assam,B.Tech Petroleum Engineering,4 years,Full time,60,UG,3.9 lakhs,(AICTE) All India Council of Technical Education,"Candidate must have passed 10+2 in Physics, maths and chemistry, for lateral entry candidate must have passed Diploma",B.Tech Petroleum Engineering is full time four year undergraduate degree course
17,"Dibrugarh University, Dibrugarh",Behia Chetia Gaon,Assam,M.Tech Exploration Geophysics,2 years,Full time,15,PG,1.29 lakhs,UGC,"Candidate must have passed BE/B.Tech Degree in related stream with minimum 55% marks from recognized university, Candidates who have cleared GATE will get preference.","M.Tech Exploration Geophysics is full time two-year post-graduate degree course offered by Dibrugarh University, Dibrugarh with the approval of UGC."
18,"Dibrugarh University, Dibrugarh",Behia Chetia Gaon,Assam,M.Tech Fluid Thermal and Energy,2 years,Full time,18,PG,2.4 lakhs,(AICTE) All India Council of Technical Education,"Candidate must have passed BE/B.Tech Degree in related stream with minimum 55% marks from recognized university, Candidates who have cleared GATE will get preference.","M.Tech Fluid Thermal and Energy is full time two year post graduate degree course, recognized by AICTE"
19,"Dibrugarh University, Dibrugarh",Behia Chetia Gaon,Assam,M.Tech Petroleum Exploration and Production,2 years,Full time,20,PG,0.76 lakhs,(AICTE) All India Council of Technical Education,"Candidate must have passed BE/B.Tech Degree in related stream with minimum 55% marks from recognized university, Candidates who have cleared GATE will get preference.","Master of Technology in Petroleum Exploration and Production is two years (4 Semester) full-time postgraduate engineering program offered by Dibrugarh University, Dibrugarh with the approval of AICTE."
20,"Dibrugarh University, Dibrugarh",Behia Chetia Gaon,Assam,M.Tech Petroleum Geology,2 years,Full time,10,PG,0.77 lakhs,UGC,"Candidate must have passed BE/B.Tech Degree in related stream with minimum 55% marks from recognized university, Candidates who have cleared GATE will get preference.","M.Tech Exploration Petroleum Geology is a full time two-year post-graduate degree course offered by Dibrugarh University, Dibrugarh with the approval of UGC."
