,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"VLB Janakiammal College of Arts and Science, Coimbatore",Coimbatore,Tamil Nadu,B.Sc Catering Science and Hotel Management,3 years,Full time,,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,B.Sc Catering Science and Hotel Management is full time three year undergraduate degree course
1,"Nehru Memorial College, Puthanampatti",Puthanampatti,Tamil Nadu,B.Sc Hotel Management and Catering Science,3 years,Full time,,UG,,UGC,The candidate should have passed 10+2 from recognized board.,"Bachelor of Science in Hotel Management and Catering Science is three-years duration full-time course affiliated to Bharathidasan University, Tiruchirappalli and approved by University Grants Commission."
2,"Nehru Memorial College, Puthanampatti",Puthanampatti,Tamil Nadu,Post Graduate Diploma in Hotel Management and Catering Science,1 year,Full time,,PG,,UGC,The candidate should have Graduation degree from any recognized University.,"Post Graduate Diploma in Hotel Management and Catering Science is one-year duration full-time course affiliated to Bharathidasan University, Tiruchirappalli and approved by University Grants Commission."
3,"Inspiria Knowledge Campus, Siliguri",Siliguri,West Bengal,Bachelor in Hospitality Management,3 years,Full time,,UG,,,Candidates applying for admission in Bachelor in Hospitality Management should have passed 10+2 from any board with English as a subject. Students from any stream can apply.,"Bachelor in Hospitality Management (BHM) is designed to build your management skills through hands-on training, internships and innovative business courses. This program will prepare you to enter a wide range of management positions in the hospitality industry"
4,"Sai Nath College, Agra",Agra,Uttar Pradesh,B.Sc Hotel Management,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2.,"This is a three year full time course degree offered By Sai Nath University, Ranchi and Approved By UGC."
5,"GitaRam Institute of Management, Berhampore",Berhampore,West Bengal,BHM Hons,3 years,Full time,,UG,,,Any student who has passed 10+2 (General/Vocational) examinaton with English/Functional Engilish is eligible for admission.,"Course Content:
Some of the subjects which are taught in the course are Health Care Planing, Hospital Administration, Organization and management, Personnel Management, Concept of Epidemiology (Public health Administration), Anatomy, Physiology and Medical Terminology, Financial Management, Inventory Control, Behavioral Science, Health Management, Information Techn...See More"
6,"Subhas Bose Institute of Hotel Management, Kolkata",Kolkata,West Bengal,BHM,3 years,Full time,,UG,,UGC,"10+2 passed or appeared in any stream from any recognized or Govt.Boards, within 17 to 24 Years old.",This is a full-time three-year course.
7,"Subhas Bose Institute of Hotel Management, Kolkata",Kolkata,West Bengal,BBM,3 years,Full time,,UG,,UGC,"10+2 passed or appeared in any stream from any recognized or Govt.Boards, within 17 to 24 Years old.",This is a full-time three-year course.
8,"Subhas Bose Institute of Hotel Management, Kolkata",Kolkata,West Bengal,MBA Hotel Management,2 years,Full time,,PG,,UGC,Graduation from a recognised university in any stream within the age of 19-26 years.,This is a full-time two-year course.
9,"Subhas Bose Institute of Hotel Management, Kolkata",Kolkata,West Bengal,MHM,2 years,Full time,,PG,,UGC,Graduation from a recognised university in any stream within the age of 19-26 years.,This is a full-time two-year course.
10,"Apex Professional University, Pasighat",Pasighat,Arunachal Pradesh,B.Voc Hotel Management,3 years,Full time,,UG,0.72 lakhs,UGC,10+2 or equivalent,"Bachelor of Vocational in Hotel Management is a full-time three-year course affiliated to Apex Professional University, Pasighat and approved by UGC."
