,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"BVM Holy Cross College, Kottayam",Cherppunkal,Kerala,BCA,3 years,Full time,60,UG,,,"Candidate shall be required to have passed the Plus Two / VHSE/ or equivalent examination with Physics, Chemistry, Mathematics or
Computer Science as optional subjects.","Bachelor of Computer Application is three years full time course and affiliated to Mahatma Gandhi University, Kottayam."
1,"Bishop Speechly College for Advanced Studies, Pallom",Pallom,Kerala,BCA,3 years,Full time,40,UG,,,The candidate should have passed 10+2 level with related combination.,"Bachelor of Computer Applications is three years full time course and affiliated to Mahatma Gandhi University, Kottayam."
2,"Ettumanoorappan College, Kottayam",Ettumanoor,Kerala,BCA,3 years,Full time,60,UG,,,Candidates shall be required to have passed the Plus TWO/ equivalent examination in Science Stream with Mathematics/Computer Science as compulsory subjects.,"Bachelor of Computer Applications is three years full time course and affiliated to Mahatma Gandhi University, Kottayam."
3,"MES College, Erattupetta",Thidanad,Kerala,BCA,3 years,Full time,,UG,,,A pass in Plus Two or equivalent in science stream with Mathematics/Computer Science as optional.,"Bachelor of Computer Application is three years full time course and affiliated to Mahatma Gandhi University, Kottayam."
4,"Mar Kuriakose Arts and Science College, Kottayam",Marangattupilly,Kerala,BCA,3 years,Full time,30,UG,,Government of Kerala,"The candidate should have passed plus two or equivalent examination with Physics, Chemistry and Computer Science or Mathematics.","Bachelor of Computer Applications is three years full time course. Affiliated to Mahatma Gandhi University, Kottayam."
5,"MC Varghese College of Arts and Science, Kottayam",Ettumanoor,Kerala,BCA,3 years,Full time,40,PG,,State Government,The candidate should have passed 10+2 level with related combination.,"Bachelor of Computer Applications is three years full time course and affiliated to Mahatma Gandhi University, Kottayam."
6,"MES College, Erumeli",Erumeli South,Kerala,BCA,3 years,Full time,60,UG,,,"A pass in +2, VHSE or equivalent exam with physics, Chemistry and Maths or Computer Science.","Bachelor of Computer Application is three years full time course and affiliated to Mahatma Gandhi University, Kottayam."
7,"PG Radhakrishnan Memorial Sree Narayana College, Kottayam",Kottayam,Kerala,BCA,3 years,Full time,40,UG,,,"A pass in Plus Two or equivalent examination with Physics, Chemistry, Maths/Computer Science as optional and candidates who have passed C.B.S.E class XVII examination with any of subjects Physics, Chemistry, Mathematics, Geology/Geography.","Bachelor of Computer Application is three years full time course and affiliated to Mahatma Gandhi University, Kottayam."
8,"Baselios Poulose II Catholicos College, Ernakulam",Piramadam,Kerala,BCA,3 years,Full time,,UG,0.03 lakhs,,The candidate should have passed in 10+2 any stream.,BCA is a 3 year full time course.
9,"Vasundhara kala mahavidyalaya, Solapur",Solapur,Maharashtra,BCA,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream.,BCA is a 3 year full time course.
