,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,LLB,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 or its equivalent from any recognized Board / College.,"Bachelor of law is three years (6 Semester) full-time UG program offered by Andhra University, Vishakhapatnam with the approval of UGC."
1,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,LLB Integrated,5 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 or its equivalent from any recognized Board / College.,"LLB Integrated is a five-Years (10 Semesters), full-time Integrated program in law offered by Andhra University, Visakhapatnam with the approval of UGC."
2,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,LLM,2 years,Full time,,PG,,UGC,The candidate should have passed undergraduate (LLB) degree in the related subject from any recognized College or University.,"Master of Law two years (4 Semester) full-time postgraduate program offered by Andhra University, Vishakhapatnam with the approval of UGC."
3,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,PG Diploma in Criminal Justice,1 year,Full time,,Diploma,,UGC,The candidate should have passed undergraduate degree in the related subject from any recognized College or University.,"Post Graduate Diploma in Criminal Justice is one-year's full-time diploma program offered by Andhra University, Visakhapatnam with the approval of UGC."
4,"Army Institute of Law, Mohali",Sahibzada Ajit Singh Nagar,Punjab,BA LLB,5 years,Full time,80,UG,5.36 lakhs,(BCI) Bar Council of India,"a). candidate who has passed 10+2 examination from Punjab School Education Board or any other equivalent examination recognized as such by the Punjabi University, Patiala, securing at least 45% marks vide Punjabi University Letter No.216468/Meeting-4 dated 7 May 2004. The applicants, who have obtained 10+2 through Open University systems directly, without having any basic qualifications for pursuing such studies, are not eligible for admission in Law Courses.
The applicants appearing for the qualifying examination in March/April are allowed to take the Entrance Test provisionally, subject to the condition that their candidature shall stand cancelled in case they do not pass the 10 + 2 March / April Exams with the required percentage of marks.
b). Candidates passing the compartment papers of qualifying exam of 10 + 2 subsequently shall not be eligible for admission even if a seat is available.
c). In case an applicant has passed a qualifying examination from Board/University whose degree has not been notified as equivalent to the Punjabi University, Patiala, he/she will have to produce the eligibility certificate from Punjabi University, Patiala at the time of interview, failing which his / her candidature shall not be considered.","B.A., LL.B (Five Year Course): By the time a student completes the five years integrated program he/she will be fully equipped with the knowledge and experience in the field of law required to become a full-fledged responsible member of the legal profession."
5,"Army Institute of Law, Mohali",Sahibzada Ajit Singh Nagar,Punjab,LLM,3 years,Full time,15,PG,1.21 lakhs,,The candidate should have minimum 55% marks in BA LLB (5 years) or LLB (3 years) are required for seeking admission to the course.,LL.M (One Year Course): The LL.M. course has been adopted with the objective of imparting in depth knowledge in the field of law with specializations. The Programme is designed to put students on a strong footing to undertake jobs in teaching & other sectors at the National and International level. Students are awarded the Degree after successful completion of the one...See More
6,"University School of Law and Legal Studies, New Delhi",New Delhi,Delhi,BA LLB Hons,5 years,Full time,20,UG,,(BCI) Bar Council of India,A candidate for admission to this course shall have passed the PUC / 10+2 years of schooling recognized by the educational authorities of the central or state government or posses such academic qualifications which are considered equivalent to such 10+2 courses by the Bar Council of India.,"BA LLB is five-years full-time honors course offered by Guru Gobind Singh Indraprastha University, Delhi and approved by Bar Council of India."
7,"University School of Law and Legal Studies, New Delhi",New Delhi,Delhi,BBA LLB Hons,5 years,Full time,20,UG,,(BCI) Bar Council of India,A candidate for admission to this course shall have passed the PUC / 10+2 years of schooling recognized by the educational authorities of the central or state government or posses such academ2 0 seats ic qualifications which are considered equivalent to such 10+2 courses by the Bar Council of India.,"BBA LLB is five-years full-time honors course offered by Guru Gobind Singh Indraprastha University, Delhi and approved by Bar Council of India."
8,"University School of Law and Legal Studies, New Delhi",New Delhi,Delhi,LLM,2 years,Full time,20,PG,,(BCI) Bar Council of India,The candidate should have passed LLB degree from any recognized college / University.,"Master of Laws (LL.M.) is Duration of 2 years (Four Semesters) program offered by Guru Gobind Singh Indraprastha University, Delhi with the approval of Bar Council of India.
he LL.M. program in the following fields of specialization:
1- Corporate Law
2- Human Rights Law
3- Intellectual Property Rights
4- International Trade Law
5- Alternative Dispute Redressal (...See More"
9,"University School of Law and Legal Studies, New Delhi",New Delhi,Delhi,LLM Cyber Law and Cyber Crimes Part Time,2 years,Part Time,,PG,,(BCI) Bar Council of India,Admission through Interview.,"Master of Laws (LL.M.) in Cyber Law and Cyber Crimes is Duration of 2 years (Four Semesters) weekend program offered by Guru Gobind Singh Indraprastha University, Delhi with the approval of Bar Council of India."
10,"University School of Law and Legal Studies, New Delhi",New Delhi,Delhi,LLM Industrial and Intellectual Property Law Part Time,2 years,Part Time,,PG,,(BCI) Bar Council of India,The candidate should have passed LLB degree from any recognized college / University.,"Master of Laws (LL.M.) in Industria and Intellectual Property Law is Duration of 2 years (Four Semesters) weekend program offered by Guru Gobind Singh Indraprastha University, Delhi with the approval of Bar Council of India."
11,"Shivaji University, Kolhapur",Kolhapur,Maharashtra,M.Phil Juvenile Delinquency,1 year,Full time,,PG,,UGC,"1- The candidate seeking admission to the M.Phil program shall have a Master's degree or professional degree declared equivalent to Master's degree by Shivaji University or by the statutory regulatory body, which at least 55% marks in aggregate or its equivalent grade 'B' in UGC 7 point scale.
2- A relaxation of 5% of marks, from 55% to 50%, or an equivalent relaxation of grade, shall be allowed for those belonging to reserved categories (SC/ST/VJNT/OBC) and/ or Differently-abled candidate as per policies of the government prescribed from time to time.","Master of Philosophy in Juvenile Delinquency is one-year’s (2 semesters) full-time research program offered by Shivaji University, Kolhapur with the approval of UGC."
12,"Shivaji University, Kolhapur",Kolhapur,Maharashtra,M.Phil Labour Capital and Law,1 year,Full time,,PG,,UGC,"The candidate seeking admission to the M.Phil program shall have a Master's degree or professional degree declared equivalent to Master's degree by Shivaji University or by the statutory regulatory body, which at least 55% marks in aggregate or its equivalent grade 'B' in UGC 7 point scale.A relaxation of 5% of marks, from 55% to 50%, or an equivalent relaxation of grade, shall be allowed for those belonging to reserved categories (SC/ST/VJNT/OBC) and/ or Differently-abled candidate as per policies of the government prescribed from time to time.","Master of Philosophy in Labour Capital and Law is one-year’s (2 semesters) full-time research program offered by Shivaji University, Kolhapur with the approval of UGC."
