,0
0,https://law.careers360.com/colleges/srm-institute-of-science-and-technology-chennai
1,https://law.careers360.com/colleges/guru-gobind-singh-indraprastha-university-delhi
2,https://law.careers360.com/colleges/jamia-millia-islamia-new-delhi
3,https://law.careers360.com/colleges/nirma-university-ahmedabad
4,https://law.careers360.com/colleges/lovely-professional-university-phagwara
5,https://law.careers360.com/colleges/sastra-university-thanjavur
6,https://law.careers360.com/colleges/banaras-hindu-university-varanasi
7,https://law.careers360.com/colleges/pes-university-bangalore
8,https://law.careers360.com/colleges/vit-university-chennai
9,https://law.careers360.com/colleges/national-law-school-of-india-university-bangalore
10,https://law.careers360.com/colleges/maharaja-sayajirao-university-of-baroda-vadodara
11,https://law.careers360.com/colleges/symbiosis-international-university-pune
12,https://law.careers360.com/colleges/chandigarh-university-chandigarh
13,https://law.careers360.com/colleges/national-law-university-new-delhi
14,https://law.careers360.com/colleges/savitribai-phule-pune-university-pune
15,https://law.careers360.com/colleges/panjab-university-chandigarh
16,https://law.careers360.com/colleges/nalsar-university-of-law-hyderabad
17,https://law.careers360.com/colleges/sharda-university-greater-noida
18,https://law.careers360.com/colleges/jawaharlal-nehru-university-new-delhi
19,https://law.careers360.com/colleges/national-law-university-jodhpur
20,https://law.careers360.com/colleges/wb-national-university-of-juridical-sciences-kolkata
21,https://law.careers360.com/colleges/university-of-calcutta-kolkata
22,https://law.careers360.com/colleges/faculty-of-law-university-of-delhi-delhi
23,https://law.careers360.com/colleges/university-of-mumbai-mumbai
24,https://law.careers360.com/colleges/indian-law-society-law-college-pune
25,https://law.careers360.com/colleges/kurukshetra-university-kurukshetra
26,https://law.careers360.com/colleges/koneru-lakshmaiah-education-foundation-guntur
27,https://law.careers360.com/colleges/government-law-college-mumbai
28,https://law.careers360.com/colleges/guru-nanak-dev-university-amritsar
29,https://law.careers360.com/colleges/reva-university-bangalore
30,https://law.careers360.com/colleges/cochin-university-of-science-and-technology-kochi
31,https://law.careers360.com/colleges/bennett-university-greater-noida
32,https://law.careers360.com/colleges/manipal-university-jaipur
33,https://law.careers360.com/colleges/rajiv-gandhi-school-of-intellectual-property-law-indian-institute-of-technology-kharagpur
34,https://law.careers360.com/colleges/symbiosis-law-school-pune
35,https://law.careers360.com/colleges/itm-university-gwalior
36,https://law.careers360.com/colleges/rajiv-gandhi-national-university-of-law-patiala
37,https://law.careers360.com/Law/Faculty-of-Law-Delhi-University-Delhi
38,https://law.careers360.com/colleges/national-law-institute-university-bhopal
39,https://law.careers360.com/colleges/graphic-era-hill-university-dehradun
40,https://law.careers360.com/colleges/gujarat-national-law-university-gandhinagar
41,https://law.careers360.com/colleges/hindustan-institute-of-technology-and-science-chennai
42,https://law.careers360.com/colleges/jindal-global-law-school-sonipat
43,https://law.careers360.com/colleges/guru-ghasidas-vishwavidyalaya-bilaspur
44,https://law.careers360.com/colleges/presidency-university-bangalore
45,https://law.careers360.com/colleges/bangalore-university-bangalore
46,https://law.careers360.com/colleges/dr-ram-manohar-lohiya-national-law-university-lucknow
47,https://law.careers360.com/colleges/karunya-institute-of-technology-and-sciences-coimbatore
48,https://law.careers360.com/law/amity-law-school-delhi
49,https://law.careers360.com/colleges/banasthali-vidyapith-banasthali
50,https://law.careers360.com/colleges/andhra-university-visakhapatnam
51,https://law.careers360.com/colleges/army-institute-of-law-mohali
52,https://law.careers360.com/colleges/university-school-of-law-and-legal-studies-new-delhi
53,https://law.careers360.com/colleges/shivaji-university-kolhapur
54,https://law.careers360.com/colleges/tata-institute-of-social-sciences-mumbai
55,https://law.careers360.com/colleges/annamalai-university-annamalai-nagar
56,https://law.careers360.com/colleges/vels-institute-of-science-technology-and-advanced-studies-chennai
57,https://law.careers360.com/colleges/northcap-university-gurgaon
58,https://law.careers360.com/colleges/hidayatullah-national-law-university-raipur
59,https://law.careers360.com/colleges/bundelkhand-university-jhansi
60,https://law.careers360.com/colleges/maharishi-markandeshwar-deemed-be-university-mullana
61,https://law.careers360.com/colleges/indian-law-institute-new-delhi
62,https://law.careers360.com/colleges/ansal-university-gurgaon
63,https://law.careers360.com/colleges/mody-university-sikar
64,https://law.careers360.com/colleges/indira-gandhi-national-open-university-new-delhi
65,https://law.careers360.com/colleges/vivekananda-institute-of-professional-studies-delhi
66,https://law.careers360.com/colleges/university-of-lucknow-lucknow
67,https://law.careers360.com/colleges/rashtrasant-tukadoji-maharaj-nagpur-university-nagpur
68,https://law.careers360.com/colleges/srm-university-delhi-ncr-sonepat
69,https://law.careers360.com/colleges/university-of-madras-chennai
70,https://law.careers360.com/colleges/pondicherry-university-puducherry
71,https://law.careers360.com/colleges/vivekananda-global-university-jaipur
72,https://law.careers360.com/colleges/national-university-of-advanced-legal-studies-kochi
73,https://law.careers360.com/colleges/babu-banarasi-das-university-lucknow
74,https://law.careers360.com/colleges/icfai-university-dehradun
75,https://law.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune
76,https://law.careers360.com/colleges/jecrc-university-jaipur
77,https://law.careers360.com/colleges/siksha-o-anusandhan-bhubaneswar
78,https://law.careers360.com/colleges/chanakya-national-law-university-patna
79,https://law.careers360.com/colleges/kr-mangalam-university-gurgaon
80,https://law.careers360.com/colleges/mahatma-jyotiba-phule-rohilkhand-university-bareilly
81,https://law.careers360.com/colleges/national-university-of-study-and-research-in-law-ranchi
82,https://law.careers360.com/colleges/gujarat-university-ahmedabad
83,https://law.careers360.com/colleges/maharashtra-national-law-university-mumbai
84,https://law.careers360.com/colleges/ms-ramaiah-college-of-law-bangalore
85,https://law.careers360.com/colleges/jiwaji-university-gwalior
86,https://law.careers360.com/colleges/pdm-university-bahadurgarh
87,https://law.careers360.com/colleges/acharya-nagarjuna-university-guntur
88,https://law.careers360.com/colleges/himachal-pradesh-university-shimla
89,https://law.careers360.com/colleges/prestige-institute-of-management-and-research-indore
90,https://law.careers360.com/colleges/tamilnadu-dr-ambedkar-law-university-chennai
91,https://law.careers360.com/colleges/nims-university-jaipur
92,https://law.careers360.com/university-college-law-osmania-university-hyderabad
93,https://law.careers360.com/colleges/azim-premji-university-bangalore
94,https://law.careers360.com/colleges/school-of-law-university-of-petroleum-and-energy-studies-dehradun
95,https://law.careers360.com/colleges/dibrugarh-university-dibrugarh
96,https://law.careers360.com/colleges/mahatma-gandhi-university-kottayam
97,https://law.careers360.com/colleges/alliance-school-of-law-bangalore
98,https://law.careers360.com/colleges/babasaheb-bhimrao-ambedkar-university-lucknow
