,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Golden Jubilee Institute of Management and Technology, Sidhpur",Siddhpur,Gujarat,MBA,2 years,Full time,120,PG,1.08 lakhs,(AICTE) All India Council of Technical Education,Candidate must passed related UG degree,"Master of Business Administration is two year, full time MBA program approved by AICTE and affiliated to GTU."
1,"Narandas Jethalal Sonecha Management and Technical Institute, Junagadh",Veraval,Gujarat,MBA,2 years,Full time,60,PG,1.3 lakhs,(AICTE) All India Council of Technical Education,Candidate must passed related UG degree.,MBA is a two year program designed to provide the knowledge and skills of decision making and leadership necessary to tackle the challenge of today's global business. The mission of MBA program is to build competent professionals who can transform communities.
2,"DL Patel Institute of Management and Technology MBA College, Vidhyanagari",Himmatnagar,Gujarat,MBA,2 years,Full time,120,PG,1.06 lakhs,(AICTE) All India Council of Technical Education,"Candidates graduated from a University recognised and located in Gujarat State are eligible to appear for GCET.
Candidates who have graduated in a 3-year course from a University outside Gujarat State but have passed Std. XII or its equivalent examination from a recognised school located in Gujarat State are also eligible to appear for GCET.
Candidates must have scored minimum of 50% marks in greduation. In case of SC/ST candidates, 5% relaxation is given as per rules. 50% (45% in case of SC/ST candidates) marks will be computed on the basis of GRAND TOTAL (aggregate) in final year mark sheet issued by the concerned University. (The minimum marks of 50% or 45% given above should be without rounding off and grace marks will be excluded for the purpose).
A candidate who has appeared at the final year (Bechlor's Degree) examination of any University recognised by the association of Indian Universities (Subject to condition 1 to 3 ) shall be treated as provisionally eligible for GCET.","An MBA provides professionals with the potential to become senior executives and to learn the theories that successful multinational corporations have been built on, whilst nurturing the soft skills required to be inspirational and successful leaders. At Vidhyanagari we encourage cooperation with your intellectual peers to create solutions to problems faced in the rea...See More"
3,"NR Vekaria Institute of Business Management Studies, Junagadh",Junagadh,Gujarat,MAM,5 years,Full time,60,PG,1.5 lakhs,(AICTE) All India Council of Technical Education,Candidate must passed graduate degree,Master of Applied Management is full time five year post graduate course
4,"NR Vekaria Institute of Business Management Studies, Junagadh",Junagadh,Gujarat,MBA,2 years,Full time,120,PG,1.18 lakhs,(AICTE) All India Council of Technical Education,Candidate must have graduate degree,Master of Business Management is full time two year post graduate course.
5,"Manish Institute of Management, Mehsana",Visnagar,Gujarat,MBA,2 years,Full time,60,PG,1.36 lakhs,(AICTE) All India Council of Technical Education,Candidate must passed related bachelor degree,Master in Business Administration is full time two year post graduate course.
6,"Shri MH Kadakia Institute of Management and Computer Studies, Ankleshwar",Ankleshwar,Gujarat,BBA,3 years,Full time,,UG,,,Candidate must passed 10+2 with minimum 50% marks,Bachelor of Business Administration is full time three under graduate course.
7,"Shri MH Kadakia Institute of Management and Computer Studies, Ankleshwar",Ankleshwar,Gujarat,MBA,2 years,Full time,60,PG,1.32 lakhs,(AICTE) All India Council of Technical Education,Candidate must passed related UG degree,Master in Business Administration is full time two year post graduate course.
8,"Indu Management Institute, Vadodara",Ankodiya,Gujarat,MBA,2 years,Full time,180,PG,1.64 lakhs,(AICTE) All India Council of Technical Education,Candidate must passed related bachelor degree,Master in Business Administration is full time two year post graduate AICTE approved course. Specialization offered	:	HR/Finance/Marketing
9,"Sunshine Group of Institutions, Rajkot",Rajkot,Gujarat,BAM MAM Dual Degree,5 years,Full time,60,PG,2.1 lakhs,(AICTE) All India Council of Technical Education,A student should have passed 12th standard (or equivalent) examination and obtained at least 45% (40% marks for reserved category students).,BAM MAM Dual Degree is full time five year course
