,0
0,https://bschool.careers360.com/colleges/indian-institute-of-technology-kanpur
1,https://bschool.careers360.com/colleges/srm-institute-of-science-and-technology-chennai
2,https://bschool.careers360.com/colleges/national-institute-of-technology-warangal
3,https://bschool.careers360.com/colleges/motilal-nehru-national-institute-of-technology-allahabad
4,https://bschool.careers360.com/colleges/national-institute-of-technology-karnataka-surathkal
5,https://bschool.careers360.com/colleges/birla-institute-of-technology-and-science-pilani
6,https://bschool.careers360.com/colleges/guru-gobind-singh-indraprastha-university-delhi
7,https://bschool.careers360.com/colleges/indian-institute-of-technology-roorkee
8,https://bschool.careers360.com/colleges/national-institute-of-technology-calicut
9,https://bschool.careers360.com/colleges/indian-institute-of-management-ahmedabad
10,https://bschool.careers360.com/colleges/indian-institute-of-management-bangalore
11,https://bschool.careers360.com/colleges/national-institute-of-technology-rourkela
12,https://bschool.careers360.com/colleges/indian-institute-of-engineering-science-and-technology-shibpur
13,https://bschool.careers360.com/colleges/ms-ramaiah-institute-of-technology-bangalore
14,https://bschool.careers360.com/colleges/psg-college-of-technology-coimbatore
15,https://bschool.careers360.com/colleges/jamia-millia-islamia-new-delhi
16,https://bschool.careers360.com/colleges/birla-institute-of-technology-mesra
17,https://bschool.careers360.com/colleges/nirma-university-ahmedabad
18,https://bschool.careers360.com/colleges/bms-college-of-engineering-bangalore
19,https://bschool.careers360.com/colleges/sastra-university-thanjavur
20,https://bschool.careers360.com/colleges/faculty-of-management-studies-university-of-delhi-delhi
21,https://bschool.careers360.com/colleges/indian-institute-of-management-calcutta
22,https://bschool.careers360.com/colleges/banaras-hindu-university-varanasi
23,https://bschool.careers360.com/colleges/pes-university-bangalore
24,https://bschool.careers360.com/colleges/national-institute-of-technology-durgapur
25,https://bschool.careers360.com/colleges/jamnalal-bajaj-institute-of-management-studies-mumbai
26,https://bschool.careers360.com/colleges/maharashtra-institute-of-technology-pune
27,https://bschool.careers360.com/colleges/maulana-azad-national-institute-of-technology-bhopal
28,https://bschool.careers360.com/colleges/christ-university-bangalore
29,https://bschool.careers360.com/colleges/malaviya-national-institute-of-technology-jaipur
30,https://bschool.careers360.com/colleges/indian-institute-of-information-technology-allahabad
31,https://bschool.careers360.com/colleges/spjimr-mumbai
32,https://bschool.careers360.com/colleges/national-institute-of-technology-kurukshetra
33,https://bschool.careers360.com/colleges/narsee-monjee-institute-of-management-studies-mumbai
34,https://bschool.careers360.com/colleges/college-of-engineering-guindy
35,https://bschool.careers360.com/colleges/indian-institute-of-technology-indian-school-of-mines-dhanbad
36,https://bschool.careers360.com/colleges/indian-institute-of-management-lucknow
37,https://bschool.careers360.com/colleges/indian-institute-of-management-indore
38,https://bschool.careers360.com/colleges/xlri-%E2%80%93-xavier-school-of-management-jamshedpur
39,https://bschool.careers360.com/colleges/vit-university-chennai
40,https://bschool.careers360.com/colleges/department-of-management-studies-indian-institute-of-technology-delhi
41,https://bschool.careers360.com/colleges/national-institute-of-technology-silchar
42,https://bschool.careers360.com/colleges/indian-institute-of-management-kozhikode
43,https://bschool.careers360.com/colleges/maharaja-sayajirao-university-of-baroda-vadodara
44,https://bschool.careers360.com/colleges/prin-ln-welingkar-institute-of-management-development-and-research-mumbai
45,https://bschool.careers360.com/colleges/symbiosis-international-university-pune
46,https://bschool.careers360.com/colleges/ymca-university-of-science-and-technology-faridabad
47,https://bschool.careers360.com/colleges/great-lakes-institute-of-management-chennai
48,https://bschool.careers360.com/colleges/institute-of-engineering-and-technology-lucknow
49,https://bschool.careers360.com/colleges/shailesh-j-mehta-school-of-management-indian-institute-of-technology-bombay
50,https://bschool.careers360.com/mit-college-engineering-pune
51,https://bschool.careers360.com/colleges/bangalore-institute-of-technology-bangalore
52,https://bschool.careers360.com/colleges/chandigarh-university-chandigarh
53,https://bschool.careers360.com/colleges/dr-b-r-ambedkar-national-institute-of-technology-jalandhar
54,https://bschool.careers360.com/colleges/management-development-institute-gurgaon
55,https://bschool.careers360.com/colleges/anna-university-chennai
56,https://bschool.careers360.com/colleges/national-institute-of-industrial-engineering-mumbai
57,https://bschool.careers360.com/colleges/kj-somaiya-institute-of-management-studies-and-research-mumbai
58,https://bschool.careers360.com/colleges/department-of-management-studies-indian-institute-of-technology-madras
59,https://bschool.careers360.com/colleges/xavier-institute-of-management-and-entrepreneurship-bangalore
60,https://bschool.careers360.com/colleges/atal-bihari-vajpayee-indian-institute-of-information-technology-and-management-gwalior
61,https://bschool.careers360.com/colleges/aligarh-muslim-university-aligarh
62,https://bschool.careers360.com/colleges/sinhgad-college-of-engineering-pune
63,https://bschool.careers360.com/colleges/sydenham-institute-of-management-studies-research-and-entrepreneurship-education-mumbai
64,https://bschool.careers360.com/colleges/chaitanya-bharathi-institute-of-technology-hyderabad
65,https://bschool.careers360.com/colleges/ta-pai-management-institute-manipal
66,https://bschool.careers360.com/colleges/jamia-hamdard-new-delhi
67,https://bschool.careers360.com/colleges/indian-institute-of-foreign-trade-delhi
68,https://bschool.careers360.com/colleges/dayananda-sagar-college-of-engineering-bangalore
69,https://bschool.careers360.com/colleges/ibs-business-school-hyderabad
70,https://bschool.careers360.com/colleges/sathyabama-institute-of-science-and-technology-chennai
71,https://bschool.careers360.com/colleges/sant-longowal-institute-of-engineering-and-technology-longowal
72,https://bschool.careers360.com/colleges/xavier-institute-of-management-xavier-university-bhubaneswar
73,https://bschool.careers360.com/colleges/shiv-nadar-university-dadri
74,https://bschool.careers360.com/colleges/acharya-institute-of-technology-bangalore
75,https://bschool.careers360.com/colleges/panjab-university-chandigarh
76,https://bschool.careers360.com/colleges/national-institute-of-technology-agartala
77,https://bschool.careers360.com/colleges/nalsar-university-of-law-hyderabad
78,https://bschool.careers360.com/colleges/indian-institute-of-management-rohtak
79,https://bschool.careers360.com/colleges/department-of-management-sciences-savitribai-phule-pune-university-pune
80,https://bschool.careers360.com/colleges/graphic-era-university-dehradun
81,https://bschool.careers360.com/colleges/sharda-university-greater-noida
82,https://bschool.careers360.com/colleges/pes-institute-of-technology-bangalore-south-campus-bangalore
83,https://bschool.careers360.com/colleges/institute-of-finance-and-international-management-bangalore
84,https://bschool.careers360.com/colleges/institute-of-management-technology-ghaziabad
85,https://bschool.careers360.com/colleges/goa-institute-of-management-goa
86,https://bschool.careers360.com/colleges/rajiv-gandhi-indian-institute-of-management-shillong
87,https://bschool.careers360.com/colleges/kalinga-institute-of-industrial-technology-bhubaneswar
88,https://bschool.careers360.com/colleges/indian-institute-of-management-ranchi
89,https://bschool.careers360.com/colleges/balaji-institute-of-modern-management-pune
90,https://bschool.careers360.com/colleges/shri-govindram-seksaria-institute-of-technology-and-science-indore
91,https://bschool.careers360.com/colleges/galgotias-university-greater-noida
92,https://bschool.careers360.com/colleges/maharaja-agrasen-institute-of-technology-delhi
93,https://bschool.careers360.com/colleges/indian-institute-of-management-raipur
94,https://bschool.careers360.com/colleges/indian-institute-of-management-tiruchirapalli
95,https://bschool.careers360.com/colleges/loyola-institute-of-business-administration-chennai
96,https://bschool.careers360.com/colleges/indian-institute-of-management-udaipur
97,https://bschool.careers360.com/colleges/dr-dy-patil-university-navi-mumbai
98,https://bschool.careers360.com/colleges/maulana-abul-kalam-azad-university-of-technology-kolkata
99,https://bschool.careers360.com/colleges/university-of-calcutta-kolkata
100,https://bschool.careers360.com/colleges/srm-university-ramapuram-campus
101,https://bschool.careers360.com/colleges/college-of-engineering-trivandrum
102,https://bschool.careers360.com/colleges/department-of-management-studies-indian-institute-of-science-bangalore
103,https://bschool.careers360.com/colleges/itm-business-school-navi-mumbai
104,https://bschool.careers360.com/colleges/institute-of-engineering-and-management-kolkata
105,https://bschool.careers360.com/colleges/vinod-gupta-school-of-management-indian-institute-of-technology-kharagpur
106,https://bschool.careers360.com/colleges/birla-institute-of-management-technology-greater-noida
107,https://bschool.careers360.com/colleges/university-of-mumbai-mumbai
108,https://bschool.careers360.com/colleges/symbiosis-institute-of-business-management-pune
109,https://bschool.careers360.com/colleges/alliance-school-of-business-bangalore
110,https://bschool.careers360.com/colleges/pandit-deendayal-petroleum-university-gandhinagar
111,https://bschool.careers360.com/colleges/indian-institute-of-management-kashipur
112,https://bschool.careers360.com/colleges/guru-nanak-dev-engineering-college-ludhiana
113,https://bschool.careers360.com/colleges/kurukshetra-university-kurukshetra
114,https://bschool.careers360.com/colleges/tezpur-university-tezpur
115,https://bschool.careers360.com/colleges/koneru-lakshmaiah-education-foundation-guntur
116,https://bschool.careers360.com/colleges/institute-of-public-enterprise-hyderabad
117,https://bschool.careers360.com/colleges/national-institute-of-technology-arunachal-pradesh
118,https://bschool.careers360.com/colleges/galgotias-college-of-engineering-and-technology-greater-noida
119,https://bschool.careers360.com/colleges/indian-institute-of-management-visakhapatnam
120,https://bschool.careers360.com/colleges/guru-nanak-dev-university-amritsar
121,https://bschool.careers360.com/colleges/madan-mohan-malaviya-university-of-technology-gorakhpur
122,https://bschool.careers360.com/colleges/delhi-school-of-management-delhi-technological-university-delhi
123,https://bschool.careers360.com/colleges/sir-m-visvesvaraya-institute-of-technology-bangalore
124,https://bschool.careers360.com/colleges/reva-university-bangalore
125,https://bschool.careers360.com/colleges/symbiosis-centre-for-management-and-human-resource-development-pune
126,https://bschool.careers360.com/colleges/cochin-university-of-science-and-technology-kochi
127,https://bschool.careers360.com/colleges/gokaraju-rangaraju-institute-of-engineering-and-technology-hyderabad
128,https://bschool.careers360.com/colleges/cmr-college-of-engineering-and-technology-hyderabad
129,https://bschool.careers360.com/colleges/bennett-university-greater-noida
130,https://bschool.careers360.com/colleges/nitte-meenakshi-institute-of-technology-bangalore
131,https://bschool.careers360.com/colleges/manipal-university-jaipur
132,https://bschool.careers360.com/colleges/velagapudi-ramakrishna-siddhartha-engineering-college-vijayawada
133,https://bschool.careers360.com/colleges/haldia-institute-of-technology-haldia
134,https://bschool.careers360.com/colleges/deenbandhu-chhotu-ram-university-of-science-and-technology-murthal
135,https://bschool.careers360.com/colleges/indian-institute-of-management-nagpur
136,https://bschool.careers360.com/colleges/itm-university-gwalior
137,https://bschool.careers360.com/colleges/techno-india-university-kolkata
138,https://bschool.careers360.com/colleges/dr-apj-abdul-kalam-technical-university-lucknow
139,https://bschool.careers360.com/colleges/dharmsinh-desai-university-nadiad
140,https://bschool.careers360.com/colleges/institute-for-financial-management-and-research-sri-city
141,https://bschool.careers360.com/colleges/mit-school-of-business-pune
142,https://bschool.careers360.com/colleges/jss-academy-of-technical-education-noida
143,https://bschool.careers360.com/colleges/chhatrapati-shahu-ji-maharaj-university-kanpur
144,https://bschool.careers360.com/colleges/shri-ramdeobaba-college-of-engineering-and-management-nagpur
145,https://bschool.careers360.com/colleges/aims-institutes-bangalore
146,https://bschool.careers360.com/colleges/manipal-academy-of-higher-education-manipal
147,https://bschool.careers360.com/colleges/ms-ramaiah-institute-of-management-bangalore
148,https://bschool.careers360.com/colleges/sreenidhi-institute-of-science-and-technology-ghatkesar
149,https://bschool.careers360.com/colleges/institute-of-rural-management-anand
150,https://bschool.careers360.com/colleges/bs-abdur-rahman-university-chennai
151,https://bschool.careers360.com/colleges/international-management-institute-delhi
152,https://bschool.careers360.com/colleges/lal-bahadur-shastri-institute-of-management-delhi
153,https://bschool.careers360.com/colleges/graphic-era-hill-university-dehradun
154,https://bschool.careers360.com/colleges/kumaraguru-college-of-technology-coimbatore
155,https://bschool.careers360.com/colleges/gujarat-national-law-university-gandhinagar
156,https://bschool.careers360.com/colleges/shri-mata-vaishno-devi-university-katra
157,https://bschool.careers360.com/colleges/dr-ambedkar-institute-of-technology-bangalore
158,https://bschool.careers360.com/colleges/rajasthan-technical-university-kota
159,https://bschool.careers360.com/colleges/siddaganga-institute-of-technology-tumkur
160,https://bschool.careers360.com/colleges/hindustan-institute-of-technology-and-science-chennai
161,https://bschool.careers360.com/colleges/indian-institute-of-social-welfare-and-business-management-kolkata
162,https://bschool.careers360.com/colleges/reva-institute-of-technology-and-management-bangalore
163,https://bschool.careers360.com/colleges/lakshmi-narain-college-of-technology-bhopal
164,https://bschool.careers360.com/colleges/symbiosis-institute-of-international-business-pune
165,https://bschool.careers360.com/colleges/kle-technological-university-hubli
166,https://bschool.careers360.com/colleges/guru-ghasidas-vishwavidyalaya-bilaspur
167,https://bschool.careers360.com/colleges/presidency-university-bangalore
168,https://bschool.careers360.com/colleges/vel-tech-rangarajan-dr-sagunthala-r-and-d-institute-of-science-and-technology-chennai
169,https://bschool.careers360.com/colleges/indian-institute-of-management-bodh-gaya
170,https://bschool.careers360.com/colleges/st-josephs-college-of-engineering-chennai
171,https://bschool.careers360.com/colleges/vit-business-school-vellore
172,https://bschool.careers360.com/colleges/srm-university-ncr-campus-ghaziabad
173,https://bschool.careers360.com/colleges/oxford-college-of-engineering-bangalore
174,https://bschool.careers360.com/colleges/bnm-institute-of-technology-bangalore
175,https://bschool.careers360.com/colleges/xavier-institute-of-management-and-research-mumbai
176,https://bschool.careers360.com/colleges/bangalore-university-bangalore
177,https://bschool.careers360.com/colleges/amity-business-school-noida
178,https://bschool.careers360.com/colleges/indian-institute-of-forest-management-bhopal
179,https://bschool.careers360.com/colleges/jawaharlal-nehru-technological-university-kakinada
180,https://bschool.careers360.com/colleges/bharath-institute-of-higher-education-and-research-chennai
181,https://bschool.careers360.com/colleges/indian-institute-of-management-amritsar
182,https://bschool.careers360.com/colleges/jss-science-and-technology-university-mysuru
183,https://bschool.careers360.com/colleges/symbiosis-institute-of-management-studies-pune
184,https://bschool.careers360.com/colleges/vardhaman-college-of-engineering-hyderabad
185,https://bschool.careers360.com/colleges/malla-reddy-college-of-engineering-and-technology-hyderabad
186,https://bschool.careers360.com/colleges/rajasthan-institute-of-engineering-and-technology-jaipur
187,https://bschool.careers360.com/colleges/gurukula-kangri-vishwavidyalaya-haridwar
188,https://bschool.careers360.com/colleges/srm-university-vadapalani-campus
189,https://bschool.careers360.com/colleges/mvj-college-of-engineering-bangalore
190,https://bschool.careers360.com/colleges/bml-munjal-university-gurgaon
191,https://bschool.careers360.com/colleges/sri-sathya-sai-institute-of-higher-learning-prasanthi-nilayam
192,https://bschool.careers360.com/colleges/dayananda-sagar-academy-of-technology-and-management-bangalore
193,https://bschool.careers360.com/colleges/school-of-business-university-of-petroleum-and-energy-studies-dehradun
194,https://bschool.careers360.com/colleges/fore-school-of-management-delhi
195,https://bschool.careers360.com/colleges/dayananda-sagar-university-bangalore
196,https://bschool.careers360.com/colleges/mukesh-patel-school-of-technology-management-and-engineering-mumbai
197,https://bschool.careers360.com/colleges/velammal-engineering-college-chennai
198,https://bschool.careers360.com/colleges/dr-dy-patil-institute-of-technology-pune
199,https://bschool.careers360.com/colleges/psg-institute-of-management-coimbatore
200,https://bschool.careers360.com/colleges/vishnu-institute-of-technology-bhimavaram
201,https://bschool.careers360.com/colleges/birla-institute-of-technology-patna
202,https://bschool.careers360.com/colleges/balaji-institute-of-management-and-human-resource-development-tathawade
203,https://bschool.careers360.com/colleges/dayalbagh-educational-institute-agra
204,https://bschool.careers360.com/colleges/xavier-institute-of-social-service-ranchi
