,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"International Institute of Management, Media and IT, Delhi",New Delhi,Delhi,Bachelor of Mass Communication,3 years,Full time,,UG,1.95 lakhs,,10+2 or equivalent examination from board of school education / CBSE or any other recognised board,"Bachelor of Mass Communication is 3 year full time course with affiliation of Guru Jambheshwar University of Science & Technology, Hisar and NAAC Accredited with Grade ""A""."
1,"International Institute of Management, Media and IT, Delhi",New Delhi,Delhi,Diploma in Digital Editing and Camera Handling,1 year,Full time,,Diploma,,,10+2 or equivalent examination from Board of Education/CBSE or any other recognized Board,Diploma in Digital Editing and Camera Handling is a one year full time course
2,"International Institute of Management, Media and IT, Delhi",New Delhi,Delhi,Master Mass Communication Lateral Entry,1 year,Full time,,PG,,,PG Diploma in Journalism / Communication/ mass Communication /Advertising / Public Relation from a recognised University After Graduation in Any Stream,"Master Mass Communication Lateral Entry is 1 year Master in Mass Communication Lateral Entry course with affiliation of Guru Jambheshwar University of Science & Technology, Hisar and NAAC Accredited with Grade ""A""."
3,"International Institute of Management, Media and IT, Delhi",New Delhi,Delhi,Master of Mass Communication,2 years,Full time,,PG,1.5 lakhs,,Bachelor’s degree in any discipline,"Master of Mass Communication is 2 year full time course with affiliation of Guru Jambheshwar University of Science & Technology, Hisar and NAAC Accredited with Grade ""A""."
4,"International Institute of Management, Media and IT, Delhi",New Delhi,Delhi,PG Diploma in Advertising and Public Relations,1 year,Full time,,Diploma,,,Diploma will be awarded by A Grade NAAC UGC Approved University,PG Diploma in Advertising and Public Relations is a one year full time course
5,"International Institute of Management, Media and IT, Delhi",New Delhi,Delhi,PG Diploma in Mass Communication,1 year,Full time,,Diploma,0.75 lakhs,,Bachelor’s degree in any discipline,"PG Diploma in Mass Communication is 1 year full time course with affiliation of Guru Jambheshwar University of Science & Technology, Hisar and NAAC Accredited with Grade ""A""."
6,"RIMT University, Gobindgarh",Gobindgarh,Punjab,BA Journalism and Mass Communication,3 years,Full time,60,UG,3.03 lakhs,UGC,Passed 10+2 in any stream,"Bachelor of Arts in English Honours is full time three year course degree offered by RIMT University, Gobindgarh and approved by UGC."
7,"RIMT University, Gobindgarh",Gobindgarh,Punjab,MA Journalism and Mass Communication,2 years,Full time,30,PG,2.02 lakhs,UGC,Passed Graduation in respective or allied subjects,"Master of Arts in Journalism and Mass Communication is full time two year course degree offered by RIMT University, Gobindgarh and approved by UGC."
8,"RIMT University, Gobindgarh",Gobindgarh,Punjab,PGD Journalism and Mass Communication,1 year,Full time,,Diploma,,UGC,Passed Graduation in any stream,PG Diploma in Journalism is a post graduate diploma level programme in Hindi/Punjabi/English. Mass Communication is the study of mass media including all types of medium used to convey information to the audience. The aim of this course is to teach honest and progressive journalism to the students and to remove the veil of darkness and ignorance from the society. Cour...See More
9,"Pearl Academy, Mumbai",Mumbai,Maharashtra,Diploma in Broadcast Journalism,1 year,Full time,,Diploma,,,The candidate must be 10 + 2 from recognized baord.,"The exciting career in Broadcast Journalism! Pearl Academy’s broadcast journalism program will give you the edge a journalist needs to join reputed media channels.
The student will learn from the industry’s best teachers and practising journalists – techniques of reporting, writing for television & radio, shooting & recording interviews and editing news stories...See More"
10,"Pearl Academy, Mumbai",Mumbai,Maharashtra,Diploma in Event Planning Part Time,1 year,Part Time,,Diploma,,,Open to all / The candidate should have passed 10 + 2.,"This program would enable a working professional to sharpen their skills of Sponsorship Management, Budgeting, Vendor Management, and Sustainability in Events industry. In current economic scenario, Events industry is referred to as a sunrise industry due to its tremendous growth rate. It has grown exponentially over the last two decades with several thousand companie...See More"
11,"Pearl Academy, Mumbai",Mumbai,Maharashtra,PG Pathway Journalism and Mass Media,2 years,Full time,,PG,8.39 lakhs,,The candidate must be Graduate in any field.,"The 2 Year PG Pathway in Journalism & Mass Communication offers a cutting-edge, modern curriculum for new-age digital learner. It is a unique & new course developed to train media professionals, journalists with an international perspective.2 Year PG Pathway in Journalism & Mass Communication offers a cutting-edge, modern curriculum for new-age digital learner. It is ...See More"
