,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"District Homoeopathic Medical College and Hospital, Ratlam",Ratlam,Madhya Pradesh,BHMS,5.5 years,Full time,100,UG,5.5 lakhs,(CCIM) Central Council for Indian Medicine,"The candidate should have passed in 10+2 science 50 % marks in Physics, Chemistry and Biology",BHMS is a five and half year full time course
1,"District Homoeopathic Medical College and Hospital, Ratlam",Ratlam,Madhya Pradesh,BPT,4.5 years,Full time,,UG,1.12 lakhs,Indian Association Physiotherapist,The candidate should have passed in 10+2 science stream,BPT is a four and half year full time course
2,"District Homoeopathic Medical College and Hospital, Ratlam",Ratlam,Madhya Pradesh,MD Ayurvedic,3 years,Full time,,PG,4.2 lakhs,(CCIM) Central Council for Indian Medicine,The candidate should have passed in 10+2 science stream / BHMS/ related graduate degree,MD Ayurvedic is a three year full time course
3,"District Homoeopathic Medical College and Hospital, Ratlam",Ratlam,Madhya Pradesh,MD Homoeopathic,3 years,Full time,,PG,3 lakhs,(CCIM) Central Council for Indian Medicine,The candidate should have passed in 10+2 science stream / BHMS/ related graduate degree,MD Homoeopathic is a three year full time course
4,"Sendhwa Homeopathic Medical College and Hospital, Sendhwa",Sendhwa,Madhya Pradesh,BHMS,5.5 years,Full time,100,UG,1.4 lakhs,(CCH) Central Council of Homeopathy,"The candidate should have passed intermediate/higher secondary (10+2) examination or equivalent examination with physics, chemistry, and biology as his/her subjects from any recognized board or university.",Bachelor of Homeopathic Medical and Surgery is full time four and half year including one year internship
5,"Swami Pranavanand Homeopathic Medical College and Hospital, Chhatarpur",Chhatarpur,Madhya Pradesh,BHMS,5.5 years,Full time,50,UG,,(CCH) Central Council of Homeopathy,The candidate should have passed in 10+2 with relevant subject.,"Bachelor of Homoeopathic Medicine and Surgery is Five and Half Years Full Time Course and Approved By Central Council of Homoeopathic and affiliated to Dr. Hari Singh Gaur Vishwavidyalaya, Sagar"
6,"Anushree Homoeopathic Medical College, Jabalpur",Jabalpur,Madhya Pradesh,BHMS,5.5 years,Full time,100,UG,2.87 lakhs,(CCH) Central Council of Homeopathy,The candidate should have passed in 12th Pass in Biology group with 50%.,"Bachelor of Homeopathic Medicine and Surgery Duration of Five years six month Full time course offered by Rani Durgavati Vishwavidyalaya, Jabalpur"
7,"Homoeopathic Medical College and Hospital, Abohar",Abohar,Punjab,BHMS,5.5 years,Full time,70,UG,4.96 lakhs,(CCH) Central Council of Homeopathy,"Candidates must have passed in the subjects of Physics, Chemistry, Biology and English individually and must have obtained a minimum of 40% marks taken together in PCB & also in Physics, Chemistry and Biology ( PCB) in 10+2 examination.","The Degree course of BHMS (Degree) shall comprise a course of study spread over a period of 5 ½ yrs., including compulsory internship of one year duration."
8,"Sri Ganganagar Homoeopathic Medical College Hospital and Research Center, Sri Ganganagar",4Ml,Rajasthan,BHMS,5.5 years,Full time,50,UG,,(CCH) Central Council of Homeopathy,The Candidate should have passed 10+2 with Science - Biology.,"The college imparts the five and a half years degree course in Homoeopathy leading to Bachelor in Homoeopathic Medicine and Surgery (B.H.M.S). This course comprises of four examinations and one year Compulsory, rotatory internship."
9,"Bhartiya Homoeopathic Medical College and Hospital, Bharatpur",Nagla Gopal Rural,Rajasthan,BHMS,5.5 years,Full time,40,UG,4.05 lakhs,(CCH) Central Council of Homeopathy,"The Candidate should have passed 10+2 with Physics, Chemistry, Biology subject with minimum age 17 years.","The college imparts the five and a half years degree course in Homoeopathy leading to Bachelor in Homoeopathic Medicine and Surgery (B.H.M.S). This course comprises of four examinations and one year Compulsory, rotatory internship."
10,"Sri Sainath Post Graduate Institute of Homoeopathy, Allahabad",Allahabad,Uttar Pradesh,MD Hom Meteria Medica,3 years,Full time,6,PG,,(CCH) Central Council of Homeopathy,"Bachelor of Homoeopathy Medicine &b; Surgery (BHMS) or equivalent qualification in Homoeopathy included in the second schedule of C.C.H. Act, after undergoing a course of study of not less than five years and six months duration including one year of compulsory internship
Bachelor of Homoeopathy Medicine and surgery (Graded degree) or equivalent qualification of Homoeopathy included in the second schedule of C.C.H. Acts, after undergoing a course of study of not less then two year's durations.","Doctor of Medicine in Meteria Medica is a 3 years Doctoral course Approved by CCH and Affiliated to Dr.B.R.Ambedkar University,Agra"
11,"Sri Sainath Post Graduate Institute of Homoeopathy, Allahabad",Allahabad,Uttar Pradesh,MD Hom Organon of Medicine with Homoeopathy Philosophy,3 years,Full time,6,PG,,(CCH) Central Council of Homeopathy,"Bachelor of Homoeopathy Medicine &b; Surgery (BHMS) or equivalent qualification in Homoeopathy included in the second schedule of C.C.H. Act, after undergoing a course of study of not less than five years and six months duration including one year of compulsory internship
Bachelor of Homoeopathy Medicine and surgery (Graded degree) or equivalent qualification of Homoeopathy included in the second schedule of C.C.H. Acts, after undergoing a course of study of not less then two year's durations.","Doctor of Medicine in Organon of Medicine with Homoeopathy Philosophy is a 3 years Doctoral course Approved by CCH and Affiliated to Dr.B.R.Ambedkar University,Agra."
12,"Sri Sainath Post Graduate Institute of Homoeopathy, Allahabad",Allahabad,Uttar Pradesh,MD Hom Pediatrics,3 years,Full time,6,PG,,(CCH) Central Council of Homeopathy,"Bachelor of Homoeopathy Medicine &b; Surgery (BHMS) or equivalent qualification in Homoeopathy included in the second schedule of C.C.H. Act, after undergoing a course of study of not less than five years and six months duration including one year of compulsory internship
Bachelor of Homoeopathy Medicine and surgery (Graded degree) or equivalent qualification of Homoeopathy included in the second schedule of C.C.H. Acts, after undergoing a course of study of not less then two year's durations.","Doctor of Medicine in Pediatrics is a 3 years Doctoral course Approved by CCH and Affiliated to Dr.B.R.Ambedkar University,Agra."
13,"Sri Sainath Post Graduate Institute of Homoeopathy, Allahabad",Allahabad,Uttar Pradesh,MD Hom Practice of Medicine,3 years,Full time,6,PG,,(CCH) Central Council of Homeopathy,"Bachelor of Homoeopathy Medicine &b; Surgery (BHMS) or equivalent qualification in Homoeopathy included in the second schedule of C.C.H. Act, after undergoing a course of study of not less than five years and six months duration including one year of compulsory internship
Bachelor of Homoeopathy Medicine and surgery (Graded degree) or equivalent qualification of Homoeopathy included in the second schedule of C.C.H. Acts, after undergoing a course of study of not less then two year's durations.","Doctor of Medicine in Practice of Medicine is a 3 years Doctoral course Approved by CCH and Affiliated to Dr.B.R.Ambedkar University,Agra"
14,"Sri Sainath Post Graduate Institute of Homoeopathy, Allahabad",Allahabad,Uttar Pradesh,MD Hom Repertory,3 years,Full time,6,PG,,(CCH) Central Council of Homeopathy,"Bachelor of Homoeopathy Medicine &b; Surgery (BHMS) or equivalent qualification in Homoeopathy included in the second schedule of C.C.H. Act, after undergoing a course of study of not less than five years and six months duration including one year of compulsory internship
Bachelor of Homoeopathy Medicine and surgery (Graded degree) or equivalent qualification of Homoeopathy included in the second schedule of C.C.H. Acts, after undergoing a course of study of not less then two year's durations.","Doctor of Medicine in Repertory is a 3 years Doctoral course Approved by CCH and Affiliated to Dr.B.R.Ambedkar University,Agra"
15,"Bhagawan Buddha Homoeopathic Medical College and Hospital, Bangalore",Bengaluru,Karnataka,BHMS,5.5 years,Full time,75,UG,3.8 lakhs,(CCH) Central Council of Homeopathy,Candidate must have passed 10+2 in science stream from recognized board,Bachelor of Homeopathic Medicine and Surgery course in Homeopathy of five and half years duration
16,"Dr BD Jatti Homoeopathic Medical College Hospital and Post Graduate Research Centre, Dharwad",Dharwad,Karnataka,BHMS,5.5 years,Full time,100,UG,,(CCH) Central Council of Homeopathy,"A candidate must have passed the two year P.U.C examination or any other examination recognized as equivalent with English as one of the languages and Physics, Chemistry and Biology as optional subjects with not less than 40% of marks in the aggregate of the relevant science subjects (Physics, Chemistry and Biology) to be for eligible for admission to BHMS Course.",The Bachelor of Homoeopathic Medicine and Surgery (BHMS) Degree course is of 4 1/2 years duration plus compulsory Internship of one year after passing the Final Degree Examination.
17,"Dr BD Jatti Homoeopathic Medical College Hospital and Post Graduate Research Centre, Dharwad",Dharwad,Karnataka,MD Materia Medica,3 years,Full time,,PG,,(CCH) Central Council of Homeopathy,Candidate must have passed BHMS degree from recognized university including internship,"This is full time three year course, recognized by Central Council of Homoeopathy, New Delhi"
18,"Dr BD Jatti Homoeopathic Medical College Hospital and Post Graduate Research Centre, Dharwad",Dharwad,Karnataka,MD Organon of Medicine and Homoeopathic Philosophy,3 years,Full time,6,PG,,(CCH) Central Council of Homeopathy,Candidate must have passed BHMS degree from recognized university including internship,"This is full time three year course, recognized by Central Council of Homoeopathy, New Delhi"
19,"Dr BD Jatti Homoeopathic Medical College Hospital and Post Graduate Research Centre, Dharwad",Dharwad,Karnataka,MD Practice of Medicine,3 years,Full time,3,PG,,(CCH) Central Council of Homeopathy,Candidate must have passed BHMS degree from recognized university including internship,"This is full time three year course, recognized by Central Council of Homoeopathy, New Delhi"
20,"Dr BD Jatti Homoeopathic Medical College Hospital and Post Graduate Research Centre, Dharwad",Dharwad,Karnataka,MD Repertory,3 years,Full time,,PG,,(CCH) Central Council of Homeopathy,Candidate must have passed BHMS degree from recognized university including internship,"This is full time three year course, recognized by Central Council of Homoeopathy, New Delhi"
21,"Dr RB Singh Gaya Homoeopathic Medical College and Hospital, Gaya",Bodhgaya,Bihar,BHMS,5.5 years,Full time,50,UG,,(CCH) Central Council of Homeopathy,"10+2 Intermediate science or its equivalent with Physics, Chemistry and Biology is the basic requirement for admission. Student must have attained age of 17 years as on 31st December of the year of admission. Candidate who have appeared in their qualifying examination and result awaited may also apply for admission but they have to submit the mark sheet and other certificate at the time of interview for final selection, otherwise admission will not be considered.",Bachelor of Homoeopathic Medicine and Surgery is full time four and half year plus one year internship course
