,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Shree HN Shukla Institute of Pharmaceutical Education and Research, Rajkot",Bhichari,Gujarat,B. Pharma,4 years,Full time,60,UG,1.8 lakhs,(PCI) Pharmacy Council of India,10+2 from any Recognized Board with relevant subjects.,It is a 4-year full time course.
1,"Shree HN Shukla Institute of Pharmaceutical Education and Research, Rajkot",Bhichari,Gujarat,M. Pharma Pharmaceutics,2 years,Full time,42,PG,2.2 lakhs,(PCI) Pharmacy Council of India,Graduation from any Recognized university with relevant subjects.,It is a 2-year full time course.
2,"Shree HN Shukla Institute of Pharmaceutical Education and Research, Rajkot",Bhichari,Gujarat,M. Pharma Quality Assurance,2 years,Full time,42,PG,2.2 lakhs,(PCI) Pharmacy Council of India,Graduation from any Recognized university with relevant subjects.,It is a 2-year full time course.
3,"Shri Sarvajanik Pharmacy College, Mehsana",Mehsana,Gujarat,B. Pharmacy,4 years,Full time,60,UG,2.6 lakhs,(AICTE) All India Council of Technical Education,10+2 with related combination,"Bachelor of Pharmacy it is a 4-year full-time pharmacy course, approved by AICET and PCI. and offered by Gujarat technological University (GTU),Ahmedabad"
4,"Shri Sarvajanik Pharmacy College, Mehsana",Mehsana,Gujarat,M. Pharma Pharmaceutical Management and Regulatory Affairs,2 years,Full time,24,PG,2.4 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed B. pharmacy from any recognized university.,"Master of Pharmacy in Pharmaceutical Management and Regulatory Affairs it is a 2-year full-time pharmacy course, approved by AICET and PCI. and offered by Gujarat technological University (GTU),Ahmedabad"
5,"Shri Sarvajanik Pharmacy College, Mehsana",Mehsana,Gujarat,M. Pharma Pharmaceutics,2 years,Full time,24,PG,2.4 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed B. pharmacy from any recognized university.,"Master of Pharmacy in Pharmaceutics it is a 2-year full-time pharmacy course, approved by AICET and PCI. and offered by Gujarat technological University (GTU),Ahmedabad"
6,"Shri Sarvajanik Pharmacy College, Mehsana",Mehsana,Gujarat,M. Pharma Pharmaceutics II Shift,2 years,Full time,24,PG,2.4 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed B. pharmacy from any recognized university.,"Master of Pharmacy in Pharmaceutics II Shift it is a 2-year full-time pharmacy course, approved by AICET and PCI. and offered by Gujarat technological University (GTU),Ahmedabad"
7,"Shri Sarvajanik Pharmacy College, Mehsana",Mehsana,Gujarat,M. Pharma Quality assurance,2 years,Full time,24,PG,2.4 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed B. pharmacy from any recognized university.,"Master of Pharmacy in Quality Assurance it is a 2-year full-time pharmacy course, approved by AICET and PCI. and offered by Gujarat technological University (GTU),Ahmedabad"
8,"Sri Sai Aditya Institute of Pharmaceutical Sciences and Research, Surampalem",Surampalem,Andhra Pradesh,B. Pharma,4 years,Full time,120,UG,,(AICTE) All India Council of Technical Education,The candidate should have passed in 10+2 science stream. The selection is based on entrance exam,This is a 4 year full time course.
9,"Sri Sai Aditya Institute of Pharmaceutical Sciences and Research, Surampalem",Surampalem,Andhra Pradesh,M. Pharma Pharmaceutical Analysis and Quality Assurance,2 years,Full time,18,PG,,(AICTE) All India Council of Technical Education,B.Pharma,This is a 2 year full time course.
10,"Sri Sai Aditya Institute of Pharmaceutical Sciences and Research, Surampalem",Surampalem,Andhra Pradesh,M. Pharma Pharmaceutics,2 years,Full time,18,PG,,(AICTE) All India Council of Technical Education,B.Pharma,This is a 2 year full time course.
11,"Sri Sai Aditya Institute of Pharmaceutical Sciences and Research, Surampalem",Surampalem,Andhra Pradesh,M. Pharma Technology,2 years,Full time,36,PG,,(AICTE) All India Council of Technical Education,B.Pharma,This is a 2 year full time course.
12,"MAK Pharma College, Moinabad",Hyderabad,Telangana,B. Pharma,4 years,Full time,120,UG,,(AICTE) All India Council of Technical Education,,
13,"MAK Pharma College, Moinabad",Hyderabad,Telangana,M. Pharma Pharma Analysis and Quality Assurance,2 years,Full time,18,PG,,(AICTE) All India Council of Technical Education,,
14,"MAK Pharma College, Moinabad",Hyderabad,Telangana,M. Pharma Pharmaceutics,2 years,Full time,24,PG,,(AICTE) All India Council of Technical Education,,
15,"Rayat Institute of Pharmacy, Railmajra",Rup Nagar,Punjab,B. Pharma,4 years,Full time,60,UG,,(AICTE) All India Council of Technical Education,The candidate should have passed 10+2 Medical/ Non Medical,"Bachelor of Pharmacy is four years full time Course offered by Punjab Technical University, Jalandhar,Approved by AICTE and PCI"
16,"Rayat Institute of Pharmacy, Railmajra",Rup Nagar,Punjab,M. Pharma Pharmaceutics,2 years,Full time,18,PG,,(AICTE) All India Council of Technical Education,The candidate should have passed B. Pharmacy from any recognized college/ University.,"Master of Pharmacy in Pharmaceutics is four years full time Course offered by Punjab Technical University, Jalandhar, Approved by AICTE and PCI."
17,"KC Reddy PG College, Medikonduru",Guntur,Andhra Pradesh,B. Pharma,4 years,Full time,120,UG,,(AICTE) All India Council of Technical Education,The candidate should have passed in 10+2 science stream. The selection is based on entrance exam 10+2 50% marks,Pharmacy is 3 years course ( 1st Shift)
18,"Dr CSN Degree and PG College, Bhimavaram",Bhimavaram,Andhra Pradesh,B.Pharma,4 years,Full time,,UG,,,The candidate should have passed 10+2 with biology or biotechnology as one of the subjects.,"Bachelor of Pharmacy is four-years duration full-time course affiliated to Andhra University, Vishakhapatnam."
19,"Bhupal Nobles Institute of Pharmaceutical Sciences, Uaipur",Udaipur,Rajasthan,B.Pharm,4 years,Full time,60,UG,2.68 lakhs,,"Mention the admission test being followed, name and address of the Test Agency and its URL (website).
The admissions are done by Govt. of Rajasthan, Rajasthan University of Health Sciences, Jaipur through RPPT.",
20,"Lal Bahadur Shastri College of Pharmacy, Jaipur",Jaipur,Rajasthan,B. Pharma,4 years,Full time,60,UG,,(AICTE) All India Council of Technical Education,Candidate must passed 10+2 with minimum 50% marks,Bachelor of Pharmacy is full time four year under graduate course.
