,city_id,city
0,CY0,visnagar
1,CY1,rajkot
2,CY2,jamkhandi
3,CY3,bijapur
4,CY4,athani
5,CY5,belguam
6,CY6,ilkal
7,CY7,bagalkot
8,CY8,bewoor
9,CY9,bagewadi
10,CY10,nidagundi
11,CY11,belgaum
12,CY12,vijayapur
13,CY13,nipani
14,CY14,hungund
15,CY15,belagavi
16,CY16,vijayapura
17,CY17,sindgi
18,CY18,harugeri
19,CY19,jamakhandi
20,CY20,lakhtar
21,CY21,hebbal
22,CY22,ramdurg
23,CY23,jamnagar
24,CY24,mudalgi
25,CY25,indi
26,CY26,babaleshwar
27,CY27,khanapur
28,CY28,saundatti
29,CY29,dhari
30,CY30,raibag
31,CY31,chikodi
32,CY32,guledagudda
33,CY33,muddebihal
34,CY34,badami
35,CY35,ghataprabha
36,CY36,
37,CY37,soundatti
38,CY38,sankeshwar
39,CY39,gokak
40,CY40,charadva
41,CY41,bailhongal
42,CY42,kittur
43,CY43,porbandar
44,CY44,upleta
45,CY45,koligudd
46,CY46,amreli
47,CY47,nesargi
48,CY48,ankalgi
49,CY49,mahalingpur
50,CY50,mangrol
51,CY51,sindagi
52,CY52,kerur
53,CY53,likoti
54,CY54,mudhol
55,CY55,huvin hipparag
56,CY56,banahatti
57,CY57,ugar khurd
58,CY58,basavana bagewadi
59,CY59,kaladagi
60,CY60,kodinar
61,CY61,hukkeri
62,CY62,guledgudd
63,CY63,bilagi
64,CY64,paschapur
65,CY65,hunagund
66,CY66,junagadh
67,CY67,karnataka
68,CY68,sureban
69,CY69,basavan bagewadi
70,CY70,dehradun
71,CY71,salem
72,CY72,karaikal
73,CY73,puducherry
74,CY74,chennai
75,CY75,kirumampakkam
76,CY76,jalgaon
77,CY77,muzaffarpur
78,CY78,jetpur
79,CY79,samastipur
80,CY80,pusa
81,CY81,sas nagar
82,CY82,patiala
83,CY83,jalandhar
84,CY84,landran
85,CY85,rupnagar
86,CY86,abohar
87,CY87,jalalabad
88,CY88,pathankot
89,CY89,morbi
90,CY90,giddarbaha
91,CY91,rajpura
92,CY92,derabassi
93,CY93,dinanagar
94,CY94,muktsar
95,CY95,banur
96,CY96,moga
97,CY97,s.a.s.nagar
98,CY98,fatehgarh sahib
99,CY99,phagwara
100,CY100,hoshiarpur
101,CY101,mohali
102,CY102,sangrur
103,CY103,lalru mandi
104,CY104,kapurthala
105,CY105,nawanshahr
106,CY106,ramnagar
107,CY107,amritsar
108,CY108,sahibzada ajit singh nagar
109,CY109,mandi gobindgarh
110,CY110,barnala
111,CY111,sri muktsar sahib
112,CY112,jasdan
113,CY113,kharar
114,CY114,batala
115,CY115,sirhind
116,CY116,bathinda
117,CY117,mandi killianwali
118,CY118,savarkundla
119,CY119,gurdaspur
120,CY120,ropar
121,CY121,nakodar
122,CY122,malout
123,CY123,bhawanigarh
124,CY124,budhlada
125,CY125,jagraon
126,CY126,"kharar, mohali"
127,CY127,"doraha , ludhiana"
128,CY128,parthankot
129,CY129,ludhiana
130,CY130,dera bassi
131,CY131,una
132,CY132,patti
133,CY133,sardulgarh
134,CY134,surendranagar
135,CY135,puranewala
136,CY136,nangal
137,CY137,anand
138,CY138,jalandhar city
139,CY139,fazilka
140,CY140,khanna
141,CY141,shaheed bhagat singh nagar
142,CY142,lalru
143,CY143,patran
144,CY144,faridkot
145,CY145,anandpur sahib
146,CY146,gir somnath
147,CY147,kahanpur
148,CY148,garhshankar
149,CY149,jind
150,CY150,hisar
151,CY151,yamuna nagar
152,CY152,hansi
153,CY153,bilaspur
154,CY154,narwana
155,CY155,gharaunda
156,CY156,ambala
157,CY157,panipat
158,CY158,kalayat
159,CY159,kurukshetra
160,CY160,uklana mandi
161,CY161,uchana
162,CY162,karnal
163,CY163,atkot
164,CY164,naraingarh
165,CY165,yamunanagar
166,CY166,agroha
167,CY167,dhrol
168,CY168,cheeka
169,CY169,ambala city
170,CY170,barwala
171,CY171,thanesar
172,CY172,rajkot  rajkot
173,CY173,kaul
174,CY174,kaithal
175,CY175,jagadhri
176,CY176,pattikalyana
177,CY177,shahabad markanda
178,CY178,ambala cantt
179,CY179,barara
180,CY180,panjokhra sahib
181,CY181,himmatnagar
182,CY182,julana
183,CY183,radaur
184,CY184,jagahdri
185,CY185,samalkha
186,CY186,panchkula
187,CY187,israna
188,CY188,ladwa
189,CY189,pundri
190,CY190,indri
191,CY191,hissar
192,CY192,mustafabad
193,CY193,siwan
194,CY194,guwahati
195,CY195,sadhaura
196,CY196,shahjahanpur
197,CY197,sonipat
198,CY198,assandh
199,CY199,chandlana
200,CY200,ismailbad
201,CY201,raipur rani
202,CY202,modasa
203,CY203,abmala
204,CY204,pehowa
205,CY205,mullana
206,CY206,safidon
207,CY207,bir hisar
208,CY208,shahabad
209,CY209,nissing
210,CY210,kalka
211,CY211,baripada
212,CY212,nayatarana
213,CY213,keonjhar
214,CY214,karanjia
215,CY215,rairangpur
216,CY216,udala
217,CY217,bariada
218,CY218,anandapur
219,CY219,dhenkikote
220,CY220,mayurbhanj
221,CY221,kaptipada
222,CY222,ghatgaon
223,CY223,bisoi
224,CY224,champua
225,CY225,jamugadia
226,CY226,parsora
227,CY227,deulia
228,CY228,kendujhar
229,CY229,barbil
230,CY230,jharpokharia
231,CY231,turumunga
232,CY232,khunta
233,CY233,jampada
234,CY234,raruan
235,CY235,akhupal
236,CY236,joda
237,CY237,jhumpura
238,CY238,thakurmunda
239,CY239,bhubaneswar
240,CY240,badampahar
241,CY241,bahalda
242,CY242,sukruli
243,CY243,nudadiha
244,CY244,kolhapur
245,CY245,satara
246,CY246,warananagar
247,CY247,karad
248,CY248,sangli
249,CY249,halkarni
250,CY250,rukadi
251,CY251,phaltan
252,CY252,vita
253,CY253,wai
254,CY254,patan
255,CY255,hatkanangale
256,CY256,kadepur
257,CY257,chandgad
258,CY258,malkapur
259,CY259,atpadi
260,CY260,ajara
261,CY261,vathar tarf vadgaon
262,CY262,khandala
263,CY263,gadhinglaj
264,CY264,kurukali
265,CY265,kagal
266,CY266,ichalkaranji
267,CY267,zare
268,CY268,shirwal
269,CY269,kavathe mahankal
270,CY270,bidri
271,CY271,islampur
272,CY272,kapashi
273,CY273,surat
274,CY274,kodoli
275,CY275,kurundwad
276,CY276,kadegaon
277,CY277,miraj
278,CY278,panchgani
279,CY279,mahesana
280,CY280,murgud
281,CY281,nesari
282,CY282,walwa
283,CY283,kasegaon
284,CY284,sarud
285,CY285,kundal
286,CY286,ranghavav porbandar
287,CY287,palus
288,CY288,mhaisal
289,CY289,peth naka
290,CY290,jetalpur
291,CY291,jaysingpur
292,CY292,peth vadgaon
293,CY293,idar
294,CY294,ashta
295,CY295,sgaon
296,CY296,gandhinagar
297,CY297,navsari
298,CY298,arjunnagar
299,CY299,yadrav
300,CY300,koregaon
301,CY301,dwarka
302,CY302,kowad
303,CY303,lmavale
304,CY304,medha
305,CY305,gargoti
306,CY306,ahmedabad
307,CY307,aundh
308,CY308,khatav
309,CY309,shirala
310,CY310,bhilawadi
311,CY311,deur
312,CY312,uttur
313,CY313,radhanagari
314,CY314,lsande
315,CY315,kirloskarwadi
316,CY316,atigre
317,CY317,undale
318,CY318,rahimatpur
319,CY319,vadodara
320,CY320,vaduj
321,CY321,lonand
322,CY322,jath
323,CY323,hupari
324,CY324,dahiwadi
325,CY325,budhgaon
326,CY326,"pethapur, gandhinagar"
327,CY327,mhaswad
328,CY328,shivnagar
329,CY329,kayavarohan
330,CY330,nagthane
331,CY331,dakor
332,CY332,malwadi-kotoli
333,CY333,tasgaon
334,CY334,indoli
335,CY335,pachwad
336,CY336,umbraj
337,CY337,peth-vadgaon
338,CY338,chikhali
339,CY339,nadiad
340,CY340,solankur
341,CY341,petlad
342,CY342,hamirpur
343,CY343,paonta sahib
344,CY344,sunder nagar
345,CY345,shimla
346,CY346,sundernagar
347,CY347,joginder nagar
348,CY348,indora
349,CY349,sarkaghat
350,CY350,theog
351,CY351,chowari
352,CY352,rajgarh
353,CY353,nurpur
354,CY354,mandi
