,Id,Name,known_as,Estd,State,City,Address,ownership,Approved_by,Affilate_to,contact,Rank,website,score,facilities,exams,stream,faculty,facebook,twitter,youtube,wiki
40,40,"National Institute of Fashion Technology, Gandhinagar",,2004, Gujarat,Gandhinagar, Gandhinagar - 382 007  Gujarat - India ,Government,Ministry of Textiles +1 more Government of India,,,,http://www.nift.ac.in/gandhinagar/,,"['Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']",['NIFT ENTRANCE EXAM '],design,37,https://www.facebook.com/niftg/,,,https://en.wikipedia.org/wiki/National_Institute_of_Fashion_Technology
41,41,"Avantika University, Ujjain",,2015, Madhya Pradesh,Lekoda,"
Vishwanathpuram  Lekoda Village 
Ujjain – 456006  MP  India.  ",Private,COA,,09850811452,,http://www.avantikauniversity.edu.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",['NID DAT'],design,9,https://www.facebook.com/AvantikaUniversity/?ref=aymt_homepage_panel,https://twitter.com/avantikaujjain,https://www.youtube.com/channel/UCRRg_udNOtNa6bOQPGjhDPg,https://en.wikipedia.org/wiki/Avantika_University
42,42,"National Institute of Fashion Technology, Kolkata",,1995, West Bengal,Kolkata," Kolkata
NIFT Campus  Plot-3B  Block-LA  Near 16 No. Water Tank  Sector III  Salt Lake City  Kolkata - 700098 ",Government,,,,,http://www.nift.ac.in/kolkata/,,"['Library', 'Sports', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']",['NIFT ENTRANCE EXAM '],design,32,,,,
43,43,"University of Mysore, Mysore",,1916, Karnataka,Mysuru,Viswavidyanilaya Karya Soudha  Crawford Hall  Post Box No. 406  Mysore – 570005  Karnataka 570006  India ,Government,UGC,,,,http://www.uni-mysore.ac.in/english-version/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",['NIFT ENTRANCE EXAM '],design,262,https://www.facebook.com/University-of-Mysore-1522210371333974/,https://twitter.com/mysorevarsity?lang=en,,https://en.wikipedia.org/wiki/University_of_Mysore
44,44,"National Institute of Fashion Technology, Kannur",NIFT Kannur,2008, Kerala,Mangattuparamba, Ministry of Textiles  Government of India. NIFT Campus  Dharmasala  Mangattuparamba. Kannur - 670562. ,Government,Ministry of Textiles +1 more Government of India,"National Institute of Fashion Technology, Delhi",,,http://www.nift.ac.in/kannur/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'WiFi', 'Transport', 'IT Infrastructure']",['NIFT ENTRANCE EXAM '],design,210,https://www.facebook.com/AdministatorKannur/,,,
45,45,"National Institute of Fashion Technology, Jodhpur",,1986, Rajasthan,Jodhpur," Jodhpur
NIFT Campus  Karwar  Jodhpur - 342037  Rajasthan
 ",Government,Ministry of Textiles +1 more Government of India,,0291-2659556,,http://www.nift.ac.in/jodhpur/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'WiFi', 'Transport', 'IT Infrastructure']",['NIFT ENTRANCE EXAM '],design,15,,,,
46,46,"National Institute of Fashion Technology, Hyderabad",,1986, Telangana,Hyderabad," Hyderabad
Opp-Hitech City  Madhapur  Hyderabad - 500081
 ",Government,Ministry of Textiles +1 more Government of India,,040-23110841,,http://www.nift.ac.in/hyderabad/,,"['Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']",['NIFT ENTRANCE EXAM '],design,25,https://www.facebook.com/NIFT.HYD/,,,
47,47,"National Institute of Fashion Technology, Patna",,2008, Bihar,Patna,"NIFT Campus 
Mithapur Farms
Patna 800 001 ",Government,Ministry of Textiles +1 more Government of India,"National Institute of Fashion Technology, Delhi",0612-2360087,,http://www.nift.ac.in/patna/,,[],['NIFT ENTRANCE EXAM '],design,,,,,
48,48,"Sandip University, Nashik",,2015, Maharashtra,Nashik, Trimbak Road Nashik Maharashtra  India.,Private,UGC +1 moreBCI,,01800-212271,,http://www.sandipuniversity.edu.in/nashik-campus.php,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'WiFi', 'IT Infrastructure']",['NIFT ENTRANCE EXAM '],design,123,https://www.facebook.com/SandipUniversity/,https://twitter.com/sandipuniv?lang=en,https://www.youtube.com/channel/UCDAaVM3kH_Jk7jgSaQj5xFw,"https://en.wikipedia.org/wiki/Sandip_University,_Nashik"
49,49,"Navrachana University, Vadodara",NUV,2009, Gujarat,Vadodara, Vasna Bhayli Road  Vadodara - 391410 ,Private,"UGC +2 moreCOA, NCTE",,0265-3020100,,http://www.nuv.ac.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",['NIFT ENTRANCE EXAM '],design,90,https://www.facebook.com/nuvofficial,https://twitter.com/NavrachanaUni,https://www.youtube.com/channel/UCdbfJjp309NiV-Tt-csBs0A,https://en.wikipedia.org/wiki/Navrachana_University
