,Id,Name,known_as,Estd,State,City,Address,ownership,Approved_by,Affilate_to,contact,Rank,website,score,facilities,exams,stream,faculty,facebook,twitter,youtube,wiki
6057,6057,"FIT Engineering College, Meerut",,, Uttar Pradesh,Meerut,Mawana Road  Meerut – 250001 (U.P.)  India ,Private,(AICTE) All India Council of Technical Education,,0121-2622672,,http://www.forte.ac.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Auditorium', 'IT Infrastructure']",['UPSEE'],eng,78,https://www.facebook.com/FitEngineeringCollegeMeerut/,,,
6058,6058,"TR Abhilashi Memorial Polytechnic, Mandi",,2014, Himachal Pradesh,Mandav Nagar, Mandi ,Private,(AICTE) All India Council of Technical Education,,01905-248191,,http://www.tramiet.in/polytechnic.php,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'Transport', 'IT Infrastructure']",['UPSEE'],eng,34,,,,
6059,6059,"RP Educational Trust Group of Institutions, Karnal",,2009, Haryana,Gharaunda, NH-1 Near Gharaunda  Distt: Karnal  Haryana,Private,(AICTE) All India Council of Technical Education,,01748-251612,,http://www.rpiit.com/college/?page_id=3169,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']",['UPSEE'],eng,136,https://www.facebook.com/RPIITCAMPUSKARNAL/,https://twitter.com/RPIIT_CAMPUS,https://www.youtube.com/channel/UCD9prsInBDvLg8kRkZJ3V1Q,
6060,6060,"Ramgovind Polytechnic Institute, Koderma",,2013, Jharkhand,Jhumri Telaiya, Koderma,Private,(AICTE) All India Council of Technical Education,,09162470302,,http://rgc.edu.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'Transport', 'IT Infrastructure']",['UPSEE'],eng,59,https://www.facebook.com/rpikoderma/,,,
6061,6061,"Maharaja Institute of Technology, Thandavapura",,, Karnataka,Thandavapura,Just off NH 766  Nanjanagudu taluk  Mysore district - 571302 ,Private,(AICTE) All India Council of Technical Education,,0821-3248795,,http://www.mitt.edu.in/,,"['Library', 'Sports', 'IT Infrastructure']",['KCET'],eng,11,https://www.facebook.com/mitt.edu.in/,,,
6062,6062,"Abu Road Polytechnic College, Aburoad",,, Rajasthan,Abu Road,Abu-Ambaji Highway  Siyava  Abu Road  Rajasthan  Pincode.: 307026 ,Private,(AICTE) All India Council of Technical Education,,02974-210752,,http://www.usbeducation.org/polytechnic.html,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'WiFi', 'Transport', 'IT Infrastructure']",['KCET'],eng,33,https://www.facebook.com/USBCOLLEGE,https://twitter.com/USBCOLLEGE,,
6063,6063,"Accurate Institute of Polytechnic, Greater Noida",,2006, Uttar Pradesh,Greater Noida, 49  Knowledge Park-III  Greater Noida  Uttar Pradesh  201306,Private,(AICTE) All India Council of Technical Education,,0120-2328234,,http://polytechnic.accurate.in/,,"['Library', 'IT Infrastructure']",['KCET'],eng,,,,,
6064,6064,"Akole Taluka Education Society’s Faculty of Polytechnic, Akole",,2014, Maharashtra,Akole,P.O. Akole - 422601  A Nagar  Maharashtra ,Private,(AICTE) All India Council of Technical Education,,02424-221145,,http://www.akolepoly.com/,,"['Library', 'Sports', 'IT Infrastructure']",['KCET'],eng,27,,,,
6065,6065,"Anuradha Polytechnic, Chikhli",,2010, Maharashtra,Chikhli,Anuradha Nagar Sakegaon Road  Chikhli  Dist. Buldana  Pin - 443201 ,Private,(AICTE) All India Council of Technical Education,,07264-243275,,http://anuradhapolytechnic.org/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'IT Infrastructure']",['KCET'],eng,24,https://www.facebook.com/apolychikhli/,,,
6066,6066,"Apurva Polytechnic, Selu",,2009, Maharashtra,Selu,Vidya Vihar Sankul  Rawalgaon road  Selu  Dist - Parbhani - 431503 ,Private,(AICTE) All India Council of Technical Education,,02451-223552,,http://www.apurvapoly.com/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'IT Infrastructure']",['KCET'],eng,18,https://www.facebook.com/ApurvaPolytechnicSelu/,,,
