,Id,Name,known_as,Estd,State,City,Address,ownership,Approved_by,Affilate_to,contact,Rank,website,score,facilities,exams,stream,faculty,facebook,twitter,youtube,wiki
1245,1245,"Gitarattan International Business School, Delhi",,2004, Delhi,New Delhi,PSP 2A and 2B Complex - II  Madhuban Chowk  Sector – 14  Rohini Delhi- 110085 ,Private,"(AICTE) All India Council of Technical Education +2 moreMHRD, GOI","Guru Gobind Singh Indraprastha University, Delhi",,,http://www.gitarattan.edu.in/,,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",['ICET MCA'],it,58,https://www.facebook.com/GIBS.IP/,,,
1246,1246,"Career Point University, Hamirpur",,1993, Himachal Pradesh,Bhoranj,"
Bhoranj (Tikker - Kharwarian) 
Hamirpur  Himachal Pradesh - 176041 ",Private,(BCI) Bar Council of India +1 moreUGC,,09625380006,,http://www.cpuh.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']",['ICET MCA'],it,69,https://www.facebook.com/cpuniversityhamirpur/,https://twitter.com/careerpointuniv,https://www.youtube.com/channel/UCLNYhA7rnXfdaFh-W6hJTSg,
1247,1247,"Tamil University, Thanjavur",,1981, Tamil Nadu,Thanjavur,"Thanjavur – 613010
Tamil Nadu  India ",Government,UGC,,04362-226720,,http://www.tamiluniversity.ac.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'IT Infrastructure']",['ICET MCA'],it,57,https://www.facebook.com/thetamiluniversity/,https://twitter.com/tamiluniv,,https://en.wikipedia.org/wiki/Tamil_University
1248,1248,"SRM Post Graduate College MCA, Karim Nagar",,1997, Telangana,Karimnagar,SRM Nagar  Chintakunta Road  Karimnagar - 505002 ,Private,(AICTE) All India Council of Technical Education,,0878-6501887,,http://www.srmcolleges.in/index.html,,"['Library', 'Sports', 'IT Infrastructure']",['ICET MCA'],it,,https://www.facebook.com/SrmDegreeCollegeknr/,,,
1249,1249,"Asan Memorial College of Arts and Science, Chennai",,1994, Tamil Nadu,Chennai,1/176  Bharathiyar Salai  Velachery - Tambaram Road  Jaladampet  Chennai - 600 100  Tamil Nadu  India ,Private,(AICTE) All India Council of Technical Education,,044-22461418,,http://www.amcas.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'Transport', 'IT Infrastructure']",['ICET MCA'],it,100,https://www.facebook.com/asanmcas/,,,
1250,1250,"Quaid-E-Millath Government College for Women, Chennai",,1974, Tamil Nadu,Chennai, 74  Binny Road  Anna Salai  Chennai 600 002. ,Government,UGC,,,,http://www.qmgcw.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",['ICET MCA'],it,135,,,,https://en.wikipedia.org/wiki/Quaid-e-Millath_Government_College_for_Women
1251,1251,"Valliammal College for Women, Chennai",,1987, Tamil Nadu,Chennai,"
E-9  Anna Nagar East  Chennai- 600102. ",Private,(AICTE) All India Council of Technical Education +1 moreUGC,"University of Madras, Chennai",044-26262816,,http://www.valliammal.edu.in/,,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",['ICET MCA'],it,115,https://www.facebook.com/Valliammalcollege/,,,
1252,1252,"Madurai Institute of Social Sciences, Madurai",,1969, Tamil Nadu,Madurai,No 9  Alagar Koil Road  Madurai - 625 002. ,Private,(AICTE) All India Council of Technical Education +1 moreUGC,"Madurai Kamaraj University, Madurai",0452-2537997,,http://www.misscollege.edu.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']",['ICET MCA'],it,37,https://www.facebook.com/Madurai-Institute-of-Social-Sciences-247383485298569/,,,
1253,1253,"Auxilium College, Vellore",,1954, Tamil Nadu,Vellore,"Gandhi Nagar  Vellore - 632 006  Tamilnadu  South India.
 ",Private,(AICTE) All India Council of Technical Education +1 moreUGC,,,,http://www.auxiliumcollege.edu.in/,,"['Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",['ICET MCA'],it,158,https://www.facebook.com/Auxilium-College-Katpadi-155512317817969/,,,
1254,1254,"St Joseph’s College of Arts and Science, Cuddalore",,1991, Tamil Nadu,Cuddalore," Cuddalore 
Cuddalore - 607001  Tamil Nadu ",Private,UGC,,,,http://sjctnc.edu.in/,,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'Transport', 'IT Infrastructure']",['ICET MCA'],it,152,,,,
1255,1255,"Government Arts College, Salem",,1979, Tamil Nadu,Salem,"<span class=""address iconHighlighted""></span>",Government,(AICTE) All India Council of Technical Education +1 moreUGC,,,,http://www.gacsalem7.co.in/,,"['Boys Hostel', 'Library', 'Cafeteria', 'Auditorium', 'IT Infrastructure']",['ICET MCA'],it,176,https://www.facebook.com/Govt-Arts-College-Salem-7-Students-253076408067035/,,,
1256,1256,"Unique Institute of Management and Technology, Ghaziabad",,1996, Uttar Pradesh,Muradnagar,UIMT City  NH-58  Ganaga Canal  Delhi-Meerut Road  Muradnagar  Ghaziabad  Uttar Pradesh - 201206 ,Private,"(AICTE) All India Council of Technical Education +2 more(NCTE) National Council for Teacher Education, UGC",,,,http://www.uimtcollege.in,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",['ICET MCA'],it,25,https://www.facebook.com/uimtcollege.in,,,
1257,1257,"Martin Luther Christian University, Shillong",,2005, Meghalaya,Shillong,Dongktieh  Block - 1  Nongrah  Shillong 793006 Meghalaya ,Private,UGC,,0364-2535420,,http://www.mlcuniv.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Medical', 'WiFi', 'IT Infrastructure']",['ICET MCA'],it,57,,,,https://en.wikipedia.org/wiki/Martin_Luther_Christian_University
1258,1258,"Maharishi Mahesh Yogi Vedic Vishwavidyalaya, Jabalpur",,1995, Madhya Pradesh,Jabalpur, Lamti Vijay Nagar  Jabalpur-482 002,Government,UGC +1 moreNCTE,,0761-4046152,,http://www.mmyvv.com,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Medical']",['ICET MCA'],it,,https://www.facebook.com/mmyvv?filter=1,,,https://en.wikipedia.org/wiki/Maharishi_Mahesh_Yogi_Vedic_University
1259,1259,"Navinchandra Mehta Institute of Technology and Development, Mumbai",,2007, Maharashtra,Mumbai,DES Mumbai Campus  Kirti College Road  Off-Veer Savarkar Marg  Dadar(w) Mumbai-400 028  ,Private,"(AICTE) All India Council of Technical Education +2 moreDTE, Maharashtra State","University of Mumbai, Mumbai",022-33914581,,http://nmitd.edu.in/,,"['Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",['ICET MCA'],it,11,https://www.facebook.com/desnmitd/,,,
1260,1260,"Shri Shivaji Education Society Amravati's Science College, Nagpur",,1967, Maharashtra,Nagpur, Nagpur  Science College  Congress Nagar  Nagpur- 440012 ,Private,UGC,,,,http://www.sscnagpur.edu.in/,,"['Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']",['ICET MCA'],it,61,,,,
