,Id,Name,known_as,Estd,State,City,Address,ownership,Approved_by,Affilate_to,contact,Rank,website,score,facilities,exams,stream,faculty,facebook,twitter,youtube,wiki
1902,1902,"Institute of Professional Education Research, Bhopal",IPER,1996, Madhya Pradesh,Bhopal,"
Opposite British Park  11th Mile  Hoshangabad Road  Misrod  Bhopal (Madhya Pradesh) - 462026  India ",Private,(AICTE) All India Council of Technical Education,,0755-6603001,,http://www.iper.ac.in/,,"['Library', 'Sports', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']","['MP MBA Admission', 'CAT', 'MAT', 'ATMA', 'XAT', 'CMAT']",mang,69,https://www.facebook.com/iperbpl/,https://twitter.com/iperonline,,
1903,1903,"Kousali Institute of Management Studies, Dharwad",,1976, Karnataka,Dharwad, Karnatak University  Dharwad – 580 003 ,Government,UGC,,0836-2215262,,http://www.kud.ac.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']","['MP MBA Admission', 'CAT', 'MAT', 'ATMA', 'XAT', 'CMAT']",mang,9,https://www.facebook.com/kimskud/,,,https://en.wikipedia.org/wiki/Kousali_Institute_of_Management_Studies
1904,1904,"Indian Institute of Knowledge Management, Chennai",,2005, Tamil Nadu,Chennai," Chennai  91  Valluvar Kottam High Road  Nungambakkam  Chennai- 600034 ( Near Nungambakkam Police Station)  Tamilnadu  India
 ",Private,(AICTE) All India Council of Technical Education,,044-28214342,,http://www.iikm.in,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Cafeteria', 'Auditorium', 'IT Infrastructure']","['CAT', 'MAT', 'GMAT', 'XAT', 'ATMA']",mang,37,https://www.facebook.com/pages/IIKM-Business-School/257746000919248,https://twitter.com/iikmbschoolchn,,
1905,1905,"KV Institute of Management and Information Studies, Coimbatore",,2008, Tamil Nadu,Sarkar Samakulam,"545 Sathy Main Road  Kurumbapalayam-PO  Coimbatore
Tamil Nadu - 641 107 ",Private,(AICTE) All India Council of Technical Education,,09500777781,,http://www.kvimis.co.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']","['TANCET MBA', 'MAT', 'XAT', 'ATMA', 'CAT']",mang,16,https://www.facebook.com/KVInstituteofManagement/,,,
1906,1906,"Arya Institute of Engineering and Technology, Jaipur",AIET,2005, Rajasthan,Kukas,"
SP-40  RIICO Industrial Area  Delhi Road  Kukas  Jaipur-302028  Rajasthan
 ",Private,(AICTE) All India Council of Technical Education,,,,http://www.aryainstitutejpr.com/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']","['TANCET MBA', 'MAT', 'XAT', 'ATMA', 'CAT']",mang,186,https://www.facebook.com/AIETKukas/,https://twitter.com/aryaaiet,https://www.youtube.com/user/aryaaiet,
1907,1907,"Guru Nanak College, Chennai",,1971, Tamil Nadu,Chennai," Chennai 600042.
Tel: 044-2245 1746  044-2244 4621
Fax: 044-22447373
 ",Private,UGC,,,,http://gurunanakcollege.edu.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'IT Infrastructure']","['TANCET MBA', 'MAT', 'XAT', 'ATMA', 'CAT']",mang,,,,,
1908,1908,"MCM DAV College for Women, Chandigarh",,1968, Chandigarh,Chandigarh,Sector 36-A  Chandigarh - 160036 (UT) India. ,Private,UGC,,0172-2603355,,http://www.mcmdavcw-chd.edu/,,"['Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']","['TANCET MBA', 'MAT', 'XAT', 'ATMA', 'CAT']",mang,91,https://www.facebook.com/MCM-DAV-College-for-Women-155203617823943,,,
1909,1909,"IIMT School of Management, Gurgaon",,2006, Haryana,Garhi Bazidpur, Sohna Road  Gurgaon-122102  Haryana ,Private,(AICTE) All India Council of Technical Education,,09910159126,,http://www.ism.edu.in,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Medical', 'IT Infrastructure']","['XAT', 'MAT', 'CAT', 'GMAT', 'CMAT']",mang,7,https://www.facebook.com/IIMTSchoolOfManagement,,,
1910,1910,"Sri Sharada Institute of Indian Management Research, New Delhi",,1994, Delhi,New Delhi," 7 Institutional Area Vasant Kunj Phase II
New Delhi-110070 ",Private,(AICTE) All India Council of Technical Education,,,,http://www.srisiim.org/,,"['Library', 'Medical', 'WiFi', 'IT Infrastructure']","['XAT', 'CAT', 'MAT', 'CMAT']",mang,29,https://www.facebook.com/srisiim,,https://www.youtube.com/srisiim,
1911,1911,"FISAT Business School, Kochi",,1966, Kerala,Angamaly, Hormis Nagar  Mookkannoor P O  Angamaly  Ernakulam Dt. Kerala  India  Pin – 683 577 ,Private,(AICTE) All India Council of Technical Education,,09562416405,,http://fbs.ac.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'WiFi', 'IT Infrastructure']","['MAT', 'XAT', 'CAT', 'KMAT', 'CMAT']",mang,16,https://www.facebook.com/FisatBusinessSchool/,,,
1912,1912,"Chanakya Law College, Rudrapur",,2004, Uttarakhand,Rudrapur,Vill. Bhamrola  PO Bagwara  Opp Radha Swami Satsang  Kichha-Bareilly Road Rudrapur (US Nagar)  Uttrakhand-263153  India ,Private,(BCI) Bar Council of India,,05944-246094,,http://www.chanakyalawcollege.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Medical', 'Transport', 'IT Infrastructure']","['MAT', 'XAT', 'CAT', 'KMAT', 'CMAT']",mang,12,,,,
1913,1913,"Amrita School of Business, Amritapuri",,2009, Kerala,Vallikavu,Amrita Vishwa Vidyapeetham  Amritapuri Campus  Clappana P.O.  Kollam  Kerala - 690525  India ,Private,(AICTE) All India Council of Technical Education +1 moreUGC,,,,http://www.amrita.edu/school/business/amritapuri,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']","['CAT', 'MAT', 'CMAT', 'XAT']",mang,12,https://www.facebook.com/AmritaMBAamritapuri/,https://twitter.com/AMRITAedu,https://www.youtube.com/user/AmritaUniversity,https://en.wikipedia.org/wiki/Amritapuri_Campus
1914,1914,"PB Siddhartha College of Arts and Science, Vijayawada",,1975, Andhra Pradesh,Vijayawada,"Siddhartha Nagar  Vijayawada-520 010  Andhra Pradesh  India.
 ",Private,(AICTE) All India Council of Technical Education +1 moreUGC,,,,http://pbsiddhartha.ac.in/pbs.php,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']","['CAT', 'MAT', 'CMAT', 'XAT']",mang,50,https://www.facebook.com/PBSiddhartha,,,
