,Id,Name,known_as,Estd,State,City,Address,ownership,Approved_by,Affilate_to,contact,Rank,website,score,facilities,exams,stream,faculty,facebook,twitter,youtube,wiki
208,208,"Tecnia Institute of Advanced Studies, Delhi",TIAS,1998, Delhi,New Delhi,"
3 PSP  Institutional Area  Madhuban Chowk  Rohini  New Delhi-110085 ",Private,(AICTE) All India Council of Technical Education +1 moreUGC,,,,http://www.tiaspg.tecnia.in/,,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",[' IPU CET BJMC '],media,94,https://www.facebook.com/TecniaInstitute,,https://www.youtube.com/channel/UCn5oSZcq7OPjvg0FP2K7zpA,
209,209,"Kasturi Ram College of Higher Education, Delhi",,2005, Delhi,New Delhi,"
Narela  Delhi - 110040 ",Private,Directorate of Education +1 more Delhi and NCTE,"Guru Gobind Singh Indraprastha University, Delhi",,,http://www.krcollege.in/,,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']",[' IPU CET BJMC '],media,29,https://www.facebook.com/KRCollegee,https://twitter.com/krche,https://www.youtube.com/user/kasturiramcollege,
210,210,"Tripura University, Suryamaninagar",,1987, Tripura,Bikramnagar,"Suryamaninagar  Tripura(W) PIN: 799 022  India
 ",Government,UGC +1 moreAICTE,,,,http://www.tripurauniv.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",[' IPU CET BJMC '],media,172,,,,https://en.wikipedia.org/wiki/Tripura_University
211,211,"UP Rajarshi Tandon Open University, Allahabad",UPRTOU Allahabad,2004, Uttar Pradesh,Phaphamau,"
University Shantipuram Awas Yojna(Sector-F)  Phaphamau  Allahabad - 211013  Uttar Pradesh  India ",Government,UGC,,,,http://www.uprtou.ac.in,,"['Library', 'Sports', 'IT Infrastructure']",[' IPU CET BJMC '],media,27,,https://twitter.com/uprtou_pro,https://www.youtube.com/channel/UClQ-bU5zhdO_PlhwZGP__xg,https://en.wikipedia.org/wiki/Uttar_Pradesh_Rajarshi_Tandon_Open_University
212,212,"S K Somaiya Degree College Of Arts, Science and Commerce, Mumbai",,1995, Maharashtra,Mumbai," Science and Commerce
Aurobindo Vidyanagar  Vidyavihar (E)  Mumbai 400077 ",Private,UGC,,022-67283064,,https://www.somaiya.edu,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'IT Infrastructure']",[' IPU CET BJMC '],media,63,,,,
213,213,"HP University Regional Centre, Dharamshala",,1992, Himachal Pradesh,Mohli Lahrandi,"
Mohli  Khaniyara  Dharamshala-176218 District Kangra ",Government,UGC +1 moreBCI,"Himachal Pradesh University, Shimla",01892-246100,,http://hpuniv.nic.in/HPURD.htm,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",[' IPU CET BJMC '],media,39,https://www.facebook.com/Himachal-Pradesh-University-Regional-Centre-Dharamshala-556706754435552/,,,
214,214,"NIILM University, Kaithal",,2011, Haryana,Ujana,"
9 Km Milestone  NH- 65  Ambala Road  Kaithal - 136027  Haryana ",Private,UGC +1 moreBCI,,09992800258,,http://www.niilmuniversity.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']",[' IPU CET BJMC '],media,48,https://www.facebook.com/NiilmUniversity,https://twitter.com/NIILMUniversity,https://www.youtube.com/channel/UCcfgWXapZv3M4fobBtOxrvQ,https://en.wikipedia.org/wiki/NIILM_University
215,215,"Gulbarga University, Gulbarga",,1980, Karnataka,Kalaburagi,"Jnana Ganga  Kalaburagi - 585 106 
Karnataka State  India ",Government,UGC,,,,http://www.gulbargauniversity.kar.nic.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",[' IPU CET BJMC '],media,105,https://www.facebook.com/GulbargaUniversityGulbarga/,,,https://en.wikipedia.org/wiki/Gulbarga_University
216,216,"Tumkur University, Tumkur",,2004, Karnataka,Tumakuru,Vishwavidyanilaya Karyalaya B.H Road  Tumkur 572103  Karnataka  INDIA ,Government,UGC,,,,http://tumkuruniversity.ac.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",[' IPU CET BJMC '],media,149,https://www.facebook.com/Tumkur.University,https://twitter.com/tumuniversity,https://www.youtube.com/user/TumkurUniversity?feature=mhee,https://en.wikipedia.org/wiki/Tumkur_University
217,217,"KES’ Shroff College of Arts and Commerce, Mumbai",,1989, Maharashtra,Mumbai,"Bhulabhai Desai Road  Kandivli W  Mumbai - 400067
 ",Private,UGC,,,,http://www.kesshroffcollege.com/,,"['Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'IT Infrastructure']",[' IPU CET BJMC '],media,80,,,,
218,218,"Meerut College, Meerut",,1892, Uttar Pradesh,Meerut,"Stadium Rd  Near Commissioner Office  Meerut 
Uttar Pradesh 250001 ",Government,(BCI) Bar Council of India +1 moreUGC,,,,http://www.meerutcollege.org/,,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']",[' IPU CET BJMC '],media,164,,,,https://en.wikipedia.org/wiki/Meerut_College
219,219,"Dr DY Patil Arts Commerce and Science College, Pune",,1995, Maharashtra,Pimpri-Chinchwad," Pune
Sant Tukaram Nagar  Pimpri  Pune – 411018  Maharashtra  India ",Private,,,020-27424194,,http://acs.dypvp.edu.in,,"['Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'IT Infrastructure']",[' IPU CET BJMC '],media,,,,,
