,Id,Name,known_as,Estd,State,City,Address,ownership,Approved_by,Affilate_to,contact,Rank,website,score,facilities,exams,stream,faculty,facebook,twitter,youtube,wiki
1282,1282,"Chintpurni Medical College and Hospital, Pathankot",,2011, Punjab,Bungal, DLM City  Bungal  Punjab 145001.,Private,(MCI) Medical Council of India,,09814056061,,http://cmch.org.in/medical-college/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'Hospital', 'Transport', 'IT Infrastructure']",['NEET UG'],medical,103,https://www.facebook.com/cmchptk/,,,
1283,1283,"Motherhood Ayurveda Medical College, Roorkee",,, Uttarakhand,Bhagwanpur, Vill. Karoundi Post  Bhagwanpur  Tehsil Roorkee  Distt Haridwar(U.K) 247661,Private,,"Uttarakhand Ayurved University, Dehradun",07060800157,,http://www.motherhoodayurveda.com/,,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'Hospital', 'IT Infrastructure']",['NEET UG'],medical,12,,,,
1284,1284,"Veterinary Polytechnic, Kaljharani",,2010, Punjab,Kaljharani,"<span class=""address iconHighlighted""></span>",Government,UGC,,0161-2553394,,http://www.gadvasu.in/college-matter.asp?page=about-college,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",['NEET UG'],medical,,,,,
1285,1285,"Shri BM Kankanawadi Ayurved Mahavidhyalaya and Kahe's Ayurveda Hospital and Medical Research Centre, Belagavi",,1933, Karnataka,Belagavi, Belagavi - 590003  Karnataka  India,Private,(CCIM) Central Council for Indian Medicine,,0831-2486286,,http://www.kleayurworld.edu.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'Hospital', 'WiFi', 'Transport', 'IT Infrastructure']",['NEET UG'],medical,62,https://www.facebook.com/kleayurworld/,https://twitter.com/kleayurworld,,
1286,1286,"Institute of Aerospace Medicine, Bangalore",,1957, Karnataka,Bengaluru," Bangalore
Indian Air Force  Vimanapura Post  Bengaluru  Karnataka 560017 ",Government,(MCI) Medical Council of India,,,,http://www.indianairforce.nic.in/show_page.php?pg_id=317,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'Transport', 'IT Infrastructure']",['NEET UG'],medical,,https://www.facebook.com/Aerospace.Medicine.India/,,,
1287,1287,"Institute of Nephro Urology, Bangalore",,2009, Karnataka,Bengaluru, Bangalore Victoria Hospital Campus  Bangalore-560002,Government,(MCI) Medical Council of India,,080-26700527,,http://www.nephrourology.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']",['NEET UG'],medical,51,,,,
1288,1288,"Florence College of Physiotherapy, Bangalore",,1995, Karnataka,Bengaluru, Bangalore # 507 and 509  1 ‘D’ Main  3rd Block  Kalyannagar  HRBR Layout  Bangalore – 560043,Private,Indian Association Physiotherapist,,080-25448311,,http://florenceinst.com/physiotherapy/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'Transport', 'IT Infrastructure']",['NEET UG'],medical,,,,,
1289,1289,"Acharya Institute of Health Sciences, Bangalore",,, Karnataka,Bengaluru," Bangalore
Cholanagar  R.T. Nagar Post  Bengaluru - 560032  Karnataka  India ",Private,(INC) Indian Nursing Council,,080-23258369,,http://www.acharyaihs.ac.in/,,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']",['NEET UG'],medical,11,https://www.facebook.com/AcharyaAIHS/,,,
1290,1290,"Christian College, Bangalore",,2000, Karnataka,Bengaluru, Horamavu-Agara. Hennur Main Road. K.R.Puram Hobli. Bangalore 560043.,Private,UGC,,,,http://www.christiancollegebangalore.org,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",['NEET UG'],medical,,https://www.facebook.com/christiancollegeblr/,,https://www.youtube.com/channel/UCmXGTa8HMnkUCoYw8ZxFAfQ,
1291,1291,"Dr Gururaju Government Homoeopathic Medical College and Hospital, Gudivada",,1945, Andhra Pradesh,Gudivada,Eluru Road  Gudivada  Krishna Dist  Andhra Pradesh 521301  India ,Government,(CCH) Central Council of Homeopathy,,08674-245402,,http://www.drgghmcgdv.com/,,"['Library', 'Medical', 'Hospital', 'IT Infrastructure']",['NEET UG'],medical,14,,,,
