,Id,Name,known_as,Estd,State,City,Address,ownership,Approved_by,Affilate_to,contact,Rank,website,score,facilities,exams,stream,faculty,facebook,twitter,youtube,wiki
948,948,"Bansal College of Pharmacy, Bhopal",,2003, Madhya Pradesh,Kokta,"Bhopal-462021(M.P.)
 ",Private,"(PCI) Pharmacy Council of India +2 moreAICTE, DTE",,,,http://www.bansalpharmacy.com/,,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'Transport', 'IT Infrastructure']",['GPAT'],pharmacy,21,,,,
949,949,"Bapuji Pharmacy College, Davangere",,1977, Karnataka,Davangere," S. S. Layout
Davangere - 577004
 ",Private,(AICTE) All India Council of Technical Education,,08192-221459,,http://www.bapujipharmacy.org/,,"['Library', 'IT Infrastructure']",['GPAT'],pharmacy,24,,,,
950,950,"Bhagyoday Tirth Pharmacy College, Sagar",,2007, Madhya Pradesh,Sagar," Sagar Khurai Road  Achrya Vidhya Sagar Marg  Sagar MP 470002
 ",Private,(AICTE) All India Council of Technical Education,,07582-266171,,http://www.bhagyodaytirth.org/pharmacycollege/index.php,,"['Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']",['GPAT'],pharmacy,23,https://www.facebook.com/BtpcSagar/,,,
951,951,"BLDE Association College of Pharmacy, Bijapur",,1982, Karnataka,Vijayapura, Bijapur ,Private,(PCI) Pharmacy Council of India +1 moreAICTE,"Rajiv Gandhi University of Health Sciences, Bangalore",,,http://bldeapharmacy.ac.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Medical', 'Transport', 'IT Infrastructure']",['GPAT'],pharmacy,29,,,,
952,952,"BM College of Pharmaceutical Education and Research, Indore",,2007, Madhya Pradesh,Indore, Indore Near Choki Dhani   Khandwa Road Indore MP ,Private,"(AICTE) All India Council of Technical Education +2 morePCI, DTE","Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",09329942552,,http://bmcollege.net.in/bm_pharmacy.html,,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'Transport', 'IT Infrastructure']",['GPAT'],pharmacy,13,,,,
953,953,"BR Nahata College of Pharmacy, Mandsaur",,, Madhya Pradesh,Bhunyakhedi, Mhow-Neemuch Road  Mandsaur-458001 ,Private,(PCI) Pharmacy Council of India +1 moreAICTE,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",09039764955,,http://meu.edu.in/brncop/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'IT Infrastructure']",['GPAT'],pharmacy,15,https://www.facebook.com/B-R-Nahata-College-of-Pharmacy-Mandsaur-MP-789343177745190/,,,
954,954,"BVM College of Pharmacy, Gwalior",,2009, Madhya Pradesh,Gwalior," Gwalior
Shivpuri Link Road  Gwalior Madhya Pradesh-474011
 ",Private,(AICTE) All India Council of Technical Education +1 moreDTE,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",0751-2436150,,http://www.bvmctm.com/pharmacy/index.htm,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']",['GPAT'],pharmacy,16,,,,
955,955,"Ch Devi Lal College of Pharmacy, Yamuna Nagar",,2008, Haryana,Jagadhri," Bhawangah  Buria Road  Jagadhri  Distt. Yamuna Nagar  Haryana-135001
 ",Private,(AICTE) All India Council of Technical Education +1 more(PCI) Pharmacy Council of India,"Kurukshetra University, Kurukshetra ",01732-212300,,http://www.cdlinstitutes.com/pharmacy/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']",['GPAT'],pharmacy,17,https://www.facebook.com/ChDeviLalCollegeOfPharmacyYamunanagar/,,,
956,956,"Chaudhari Dilip Singh Pharmacy College, Bhind",,2006, Madhya Pradesh,Bhind,Near Circuit House  Diversion Road  Bhind  Madhya Pradesh - 477001 ,Private,(AICTE) All India Council of Technical Education +1 more(PCI) Pharmacy Council of India,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",07534-230615,,http://cdsfcbhind.org/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'IT Infrastructure']",['GPAT'],pharmacy,8,,,,
957,957,"Chemists College of Pharmaceutical Sciences and Research, Ernakulam",,2006, Kerala,Thiruvaniyoor," Ernakulam Varikoli 
Puthencruz 
Ernakulam
PIN 682308 ",Private,(AICTE) All India Council of Technical Education +1 morePCI,"Mahatma Gandhi University, Kottayam",0484-6455523,,http://chemistscollege.com/,,"['Girls Hostel', 'Library', 'Sports', 'Auditorium', 'Medical', 'IT Infrastructure']",['GPAT'],pharmacy,20,,,,
