,Unnamed: 0,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,0,"Global Open University, Dimapur",Dimapur,Nagaland,BHMTT,3 years,Distance,,UG,0.24 lakhs,UGC,Candidate must have passed 10+2 in any stream from recognized board,"The three years Distance Learning Bachelor of Hotel Management, Travel and Tourism conducted by The Global Open University, Nagaland has been designed for meeting the demand of the growing needs of experts in the fields of hotel management, catering technology, applied nutrition, travel, tourism etc."
1,1,"Global Open University, Dimapur",Dimapur,Nagaland,M.Sc Ecotourism,2 years,Distance,,PG,0.24 lakhs,UGC,Candidate must have passed Bachelor degree from recognized University,"The two years Distance Learning Master of Science in Ecotourism conducted by The Global Open University, Nagaland has been designed for meeting the demand of the growing needs of experts in the fields of ecotourism, wildlife tourism, adventure tourism, tourism economics, sustainable tourism besides eco-event management, mountain tourism etc."
2,2,"Global Open University, Dimapur",Dimapur,Nagaland,M.Sc Hotel Management and Catering Technology,2 years,Distance,,PG,0.24 lakhs,UGC,Candidate must have passed Graduation from recognized University,"The two years Distance Learning Master of Science (M.Sc.) in Hotel Management and Catering Technology conducted by The Global Open University, Nagaland has been designed for meeting the demand of the growing needs of experts in the fields of hotel management, catering technology, food and beverage production, catering management, culinary facilities, front office mana...See More"
3,3,"Global Open University, Dimapur",Dimapur,Nagaland,MBA Ecotourism,2 years,Distance,,PG,0.24 lakhs,UGC,Candidate must have passed Bachelor degree in related stream from recognized University,MBA Ecotourism is two year distance education course
4,4,"Global Open University, Dimapur",Dimapur,Nagaland,MBA Tourism Travel and Hospitality Management,2 years,Distance,,PG,0.24 lakhs,UGC,Candidate must have passed Bachelor degree in related stream from recognized University,The two years Distance Learning Master of Business Administration Degree being conducted by The Global Open University
5,5,"NIILM University, Kaithal",Ujana,Haryana,B.A.Hons Hospitality and Hotel Administration,3 years,Full time,,UG,,UGC,,
6,6,"NIILM University, Kaithal",Ujana,Haryana,B.Sc Hotel Management and Tourism,3 years,Full time,,UG,1.8 lakhs,UGC,10+2 in any stream,"The deptt. offers a 3 year degree programme in Hotel management & Tourism. The Department is determined to create a world-class centre in hospitality education, with the technical assistance of experts and reputed personalities from the industry and academics. Department is equipped with training kitchens, restaurant, housekeeping laboratory, front office laborato...See More"
7,7,"NIILM University, Kaithal",Ujana,Haryana,M. Sc. Hotel Management and Tourism,2 years,Full time,,PG,1.4 lakhs,UGC,Graduation in any stream,"The Department is determined to create a world-class centre in hospitality education, with the technical assistance of experts and reputed personalities from the industry and academics. Department is equipped with training kitchens, restaurant, housekeeping laboratory, front office laboratory, computer laboratory and Internet centre; conference centre, and a world-cla...See More"
8,8,"Institute of Hotel Management, Aurangabad",Aurangabad,Maharashtra,BA Culinary Arts Hons,4 years,Full time,60.0,UG,,(AICTE) All India Council of Technical Education,Successful completion of the Std.XII (10+2) or equivalent examination in any stream with English as the medium of instruction.,
9,9,"Institute of Hotel Management, Aurangabad",Aurangabad,Maharashtra,BA Hotel Management Hons,4 years,Full time,120.0,UG,,(AICTE) All India Council of Technical Education,Successful completion of the Std.XII (10+2) or equivalent examination in any stream with English as the medium of instruction.,
10,10,"Institute of Hotel Management, Aurangabad",Aurangabad,Maharashtra,MA Hotel Management,2 years,Full time,18.0,PG,,(AICTE) All India Council of Technical Education,,
11,11,"Arni University, Kathgarh",Kangra,Himachal Pradesh,Bachelor of Hotel Management,3 years,Full time,,UG,2.2 lakhs,UGC,"Minimum 50% marks in class XII as qualifying exam..
Students Appearing in class XII Final Year in 2012 can also apply",
