,Unnamed: 0,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,0,"Tamil Nadu Dr MGR Medical University, Chennai",Chennai,Tamil Nadu,B.Pharma,4 years,Full time,,UG,,UGC,"The candidate should have passed 10+2 with 50% marks in Physics, Chemistry, Biology.","Bachelor of Pharmacy is a 4 years full time course. Affiliated to Tamil Nadu Dr. MGR Medical University, Chennai and Approved by UGC."
1,1,"Tamil Nadu Dr MGR Medical University, Chennai",Chennai,Tamil Nadu,M.Pharma Pharmaceutical Analysis,2 years,Full time,,PG,,UGC,The candidate should have passed B.Pharma course from a recognized University.,"Master of Pharmacy in Pharmaceutical Analysis is 2 years full time course. Affiliated to Tamil Nadu Dr. MGR Medical University, Chennai and Approved by UGC."
2,2,"Tamil Nadu Dr MGR Medical University, Chennai",Chennai,Tamil Nadu,M.Pharma Pharmaceutical Biotechnology,2 years,Full time,,PG,,UGC,The candidate should have passed B.Pharma course from a recognized University.,"Master of Pharmacy in Pharmaceutical Biotechnology is 2 years full time course. Affiliated to Tamil Nadu Dr. MGR Medical University, Chennai and Approved by UGC."
3,3,"Tamil Nadu Dr MGR Medical University, Chennai",Chennai,Tamil Nadu,M.Pharma Pharmaceutics,2 years,Full time,,PG,,UGC,The candidate should have passed B.Pharma course from a recognized University.,"Master of Pharmacy in Pharmaceutics is 2 years full time course. Affiliated to Tamil Nadu Dr. MGR Medical University, Chennai and Approved by UGC."
4,4,"Tamil Nadu Dr MGR Medical University, Chennai",Chennai,Tamil Nadu,MD Pathology,3 years,Full time,,PG,,UGC,The candidate should have passed MBBS Degree from any recognised university.,"Doctor of Medicine in Pathology is three year full time course. Affiliated to Tamil Nadu Dr. MGR Medical University, Chennai and approved by UGC."
5,5,"Tamil Nadu Dr MGR Medical University, Chennai",Chennai,Tamil Nadu,Post Graduate Diploma in Pathology,2 years,Full time,,Diploma,,UGC,The candidate should have passed MBBS Degree from any recognised university.,"Post Graduate Diploma in Pathology is two year full time course. Affiliated to Tamil Nadu Dr. MGR Medical University, Chennai and approved by UGC."
6,6,"Jawaharlal Nehru Technological University, Anantapur",Anantapur,Andhra Pradesh,B.Pharma,4 years,Full time,,UG,,UGC,Candidate must have passed 10+2 in science stream from recognized board,Bachelor of Pharmacy is full time four year undergraduate degree course
7,7,"Jawaharlal Nehru Technological University, Anantapur",Anantapur,Andhra Pradesh,D.Pharma,2 years,Full time,,Diploma,,,Candidate must have passed 10+2 in science stream from recognized board,Diploma in Pharmacy is full time two year course
8,8,"Jawaharlal Nehru Technological University, Anantapur",Anantapur,Andhra Pradesh,M.Pharma Industrial Pharmacy,2 years,Full time,,PG,3.6 lakhs,UGC,"Candidate must have passed BE/B.Tech degree in related stream from recognized university, candidate has a valid GATE Rank or PGECET Rank",M.Pharma Industrial Pharmacy is full time two year post graduate degree course
9,9,"Jawaharlal Nehru Technological University, Anantapur",Anantapur,Andhra Pradesh,M.Pharma Pharmaceutical Analysis,2 years,Full time,,PG,3.6 lakhs,UGC,"Candidate must have passed BE/B.Tech degree in related stream from recognized university, candidate has a valid GATE Rank or PGECET Rank",M.Pharma Pharmaceutical Analysis is full time two year post graduate degree course
10,10,"Jawaharlal Nehru Technological University, Anantapur",Anantapur,Andhra Pradesh,M.Pharma Pharmaceutical Analysis and Quality Assurance,2 years,Full time,,PG,3.6 lakhs,UGC,"Candidate must have passed BE/B.Tech degree in related stream from recognized university, candidate has a valid GATE Rank or PGECET Rank",M.Pharma Pharmaceutical Analysis and Quality Assurance is full time two year post graduate degree course
11,11,"Jawaharlal Nehru Technological University, Anantapur",Anantapur,Andhra Pradesh,M.Pharma Pharmaceutical Analysis and Quality Control,2 years,Full time,,PG,3.6 lakhs,UGC,"Candidate must have passed BE/B.Tech degree in related stream from recognized university, candidate has a valid GATE Rank or PGECET Rank",M.Pharma Pharmaceutical Analysis and Quality Control is full time two year post graduate degree course
12,12,"Jawaharlal Nehru Technological University, Anantapur",Anantapur,Andhra Pradesh,M.Pharma Pharmaceutical Technology,2 years,Full time,,PG,3.6 lakhs,UGC,"Candidate must have passed BE/B.Tech degree in related stream from recognized university, candidate has a valid GATE Rank or PGECET Rank",M.Pharma Pharmaceutical Technology is full time two year post graduate degree course
13,13,"Jawaharlal Nehru Technological University, Anantapur",Anantapur,Andhra Pradesh,M.Pharma Pharmaceutics,2 years,Full time,,PG,3.6 lakhs,UGC,"Candidate must have passed BE/B.Tech degree in related stream from recognized university, candidate has a valid GATE Rank or PGECET Rank",M.Pharma Pharmaceutics is full time two year post graduate degree course
14,14,"Jawaharlal Nehru Technological University, Anantapur",Anantapur,Andhra Pradesh,M.Phil Pharmacy,,Full time,,PG,,UGC,"Candidates must have a Post Graduate Degree in relevant discipline with a minimum of 55 percent marks in aggregate. In case of SC/ST Candidates, the eligible percentage is 50.",The maximum duration of the program will be four years. After passing the pre-M.Phil / M.S. examination and completion of at least two years from the date of admission
15,15,"Apeejay Stya University, Sohna",Sohna,Haryana,B.Pharma,4 years,Full time,,UG,5.71 lakhs,UGC,Candidate shall have passed 10+2 examination conducted by the respective state/central government authorities recognized as equivalent to 10+2 examination by the Association of India Universities(AIU) with English as one of the subjects and Physics Chemistry Mathematics/Biology as optional subjects individually.,"Bachelor of Pharmacy is four years (8 Semester) full-time undergraduate pharmacy program offered by Apeejay Stya University, Sohna and approved by UGC and PCI."
16,16,"Apeejay Stya University, Sohna",Sohna,Haryana,Bachelors in Pharmaceutical Management BBA Hons,4 years,Full time,,UG,6.51 lakhs,UGC,The candidate has to qualify 10+2 with Science with minimum 50% marks.,"Bachelor’s in Pharmaceutical Management (BBA –Hons.) is four-years full-time program offered by Apeejay Stya University, Sohna with the approval of UGC."
17,17,"Apeejay Stya University, Sohna",Sohna,Haryana,D.Pharma,2 years,Full time,,Diploma,1.57 lakhs,UGC,Candidate shall have passed 10+2 examination with Science Stream with a minimum of 50% marks,"Diploma in Pharmacy is a two-years full-time program offered by Apeejay Stya University, Sohna with the approval of UGC and PCI."
18,18,"Apeejay Stya University, Sohna",Sohna,Haryana,M.Pharma Pharmaceutics,2 years,Full time,,PG,3.27 lakhs,UGC,B.Pharm degree examination of an Indian University established by law in India from an institution approved by Pharmacy Council of India and has scored not less than 55% of the maximum marks (aggregate of four years of B.Pharm). For SC/ST candidates the prescribed percentage of marks will be 50% of the maximum marks (aggregate of four years of B.Pharm).,"Master of Pharmacy in Pharmaceutics is two years (4 Semester) full-time postgraduate program offered by Apeejay Stya University, Sohna with the approval of PCI and UGC."
19,19,"Apeejay Stya University, Sohna",Sohna,Haryana,M.Pharma and MBA Integrated,3 years,Full time,,PG,5.39 lakhs,UGC,B.Pharm degree examination of an Indian University established by law in India from an institution approved by Pharmacy Council of India and has scored not less than 55% of the maximum marks (aggregate of four years of B.Pharm). For SC/ST candidates the prescribed percentage of marks will be 50% of the maximum marks (aggregate of four years of B.Pharm).,"M. Pharm.- M.B.A. is 3 Years Integrated Degree Programme offered by Apeejay Stya University, Sohna.
Specializations Offered - Pharmaceutics and Pharmaceutical Management"
20,20,"Apeejay Stya University, Sohna",Sohna,Haryana,PG or Executive Diploma in Intellectual Property Rights,1 year,Full time,,Diploma,1.65 lakhs,,B.Pharm./ M.Pharm./ M.Sc. Biochemistry/M.Sc. Biotechnology/ BAMS/BHMS or Equivalent (with Min. 50% Aggregate).,"P.G. /Executive Diploma In Intellectual Property Rights is one year's full-time program offered by Apeejay Stya University, Sohna."
21,21,"Apeejay Stya University, Sohna",Sohna,Haryana,PG or Executive Diploma in Pharma Sales Management,1 year,Full time,,Diploma,1.65 lakhs,,B.Pharm./ M.Pharm./ M.Sc. Biochemistry/M.Sc. Biotechnology /BAMS/BHMS or Equivalent (with Min. 50% Aggregate).,"P.G. /Executive Diploma In Pharma Sales Management is one year's full-time program offered by Apeejay Stya University, Sohna."
22,22,"Apeejay Stya University, Sohna",Sohna,Haryana,PG or Executive Diploma in Pharmacoeconomics,1 year,Full time,,Diploma,1.65 lakhs,,B.Pharm./ M.Pharm./ M.Sc. Biochemistry/M.Sc. Biotechnology/ BAMS/BHMS or Equivalent (with Min. 50% Aggregate).,"P.G. /Executive Diploma In Pharmacoeconomics is one year's full-time program offered by Apeejay Stya University, Sohna."
23,23,"Apeejay Stya University, Sohna",Sohna,Haryana,PG or Executive Diploma in Pharmacovigilance,1 year,Full time,,Diploma,1.65 lakhs,,B.Pharm./ M.Pharm./ M.Sc. Biochemistry/M.Sc. Biotechnology/ BAMS/BHMS or Equivalent (with Min. 50% Aggregate).,"P.G. /Executive Diploma In Pharmacovigilance is one year's full-time program offered by Apeejay Stya University, Sohna."
24,24,"Assam Down Town University, Guwahati",Panikhaiti Gaon,Assam,B.Pharma,4 years,Full time,60.0,UG,,(PCI) Pharmacy Council of India,"50% in 10+2 Science Stream (PCM/PCB) from a recognized Board
(5% relaxation for SC/ST candidates)","Bachelor of Pharmacy (B.Pharma) is 4 years (8 Semesters) full-time UG program on pharmacy offered by Assam Down Town University, Guwahati with the approval of PCI."
25,25,"Assam Down Town University, Guwahati",Panikhaiti Gaon,Assam,B.Pharma and MBA Integrated,5 years,Full time,,PG,,UGC,"50% in 10+2 Science Stream (PCM/PCB) from a recognized Board
(5% relaxation for SC/ST candidates)","B.Pharma and MBA is 5 years (10 Semesters) full-time Integrated program on pharmacy offered by Assam Down Town University, Guwahati with the approval of UGC."
26,26,"Assam Down Town University, Guwahati",Panikhaiti Gaon,Assam,B.Sc Medical Lab Technology,3.5 years,Full time,,UG,,UGC,"The candidate should have passed Criteria 10+2 (Science with PCB) with a minimum of 45% marks in aggregate and in individual subjects from a Recognized Board of Education.
(5% relaxation for ST/SC)","Clinical laboratory testing plays a crucial role in the detection, diagnosis, and treatment of disease. Clinical laboratory technologists also referred to as clinical laboratory scientists or medical technologists and clinical laboratory technicians, also known as medical technicians or medical laboratory technicians, perform most of these tests. Clinical laboratory p...See More"
27,27,"Assam Down Town University, Guwahati",Panikhaiti Gaon,Assam,B.Sc Operation Theater Technology,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 or its equivalent from any recognized College or Board.,"The courses are designed to ensure that the student acquire the necessary knowledge and skills in assisting in surgical operations under the supervision of surgeons, registered nurses or other surgical personnel. The student will also learn to sterile instruments, prevent and control infection, and handle special drugs, solutions, and equipment."
28,28,"Assam Down Town University, Guwahati",Panikhaiti Gaon,Assam,D.Pharma,2 years,Full time,60.0,Diploma,,(PCI) Pharmacy Council of India,"45% in 10+2 Science Stream (PCM/PCB) from a recognized Board
(5% relaxation for SC/ST candidates)","Diploma in Pharmacy (D.Pharma) is 2 years (4 Semesters) program offered by Assam Down Town University, Guwahati with the approval of PCI."
