"""visnagar""","""visnagar"""
"""jamkhandi""","""jamkhandi"""
"""bijapur""","""bijapur"""
"""athani""","""athani"""
"""belguam""","""belguam"""
"""ilkal""","""ilkal"""
"""bagalkot""","""bagalkot"""
"""bewoor""","""bewoor"""
"""rajkot""","""rajkot"""
"""bagewadi""","""bagewadi"""
"""nidagundi""","""nidagundi"""
"""belgaum""","""belgaum"""
"""vijayapur""","""vijayapur"""
"""nipani""","""nipani"""
"""hungund""","""hungund"""
"""belagavi""","""belagavi"""
"""vijayapura""","""vijayapura"""
"""sindgi""","""sindgi"""
"""harugeri""","""harugeri"""
"""jamakhandi""","""jamakhandi"""
"""lakhtar""","""lakhtar"""
"""hebbal""","""hebbal"""
"""ramdurg""","""ramdurg"""
"""jamnagar""","""jamnagar"""
"""mudalgi""","""mudalgi"""
"""indi""","""indi"""
"""babaleshwar""","""babaleshwar"""
"""khanapur""","""khanapur"""
"""saundatti""","""saundatti"""
"""dhari""","""dhari"""
"""raibag""","""raibag"""
"""chikodi""","""chikodi"""
"""guledagudda""","""guledagudda"""
"""muddebihal""","""muddebihal"""
"""badami""","""badami"""
"""ghataprabha""","""ghataprabha"""
"""""",""""""
"""village soundatti""","""village soundatti"""
"""sankeshwar""","""sankeshwar"""
"""gokak""","""gokak"""
"""charadva""","""charadva"""
"""bailhongal""","""bailhongal"""
"""kittur""","""kittur"""
"""porbandar""","""porbandar"""
"""upleta""","""upleta"""
"""koligudd""","""koligudd"""
"""taluk raibag""","""taluk raibag"""
"""amreli""","""amreli"""
"""nesargi""","""nesargi"""
"""ankalgi""","""ankalgi"""
"""mahalingpur""","""mahalingpur"""
"""mangrol""","""mangrol"""
"""sindagi""","""sindagi"""
"""kerur""","""kerur"""
"""talikoti""","""talikoti"""
"""mudhol""","""mudhol"""
"""huvin hipparag tq basavan bagewadi""","""huvin hipparag tq basavan bagewadi"""
"""banahatti""","""banahatti"""
"""ugar khurd""","""ugar khurd"""
"""basavana bagewadi""","""basavana bagewadi"""
"""kaladagi""","""kaladagi"""
"""kodinar""","""kodinar"""
"""hukkeri""","""hukkeri"""
"""guledgudd""","""guledgudd"""
"""bilagi""","""bilagi"""
"""paschapur""","""paschapur"""
"""hunagund""","""hunagund"""
"""junagadh""","""junagadh"""
"""karnataka""","""karnataka"""
"""tajunagadh""","""tajunagadh"""
"""sureban""","""sureban"""
"""basavan bagewadi""","""basavan bagewadi"""
"""dehradun""","""dehradun"""
"""salem""","""salem"""
"""karaikal""","""karaikal"""
"""puducherry""","""puducherry"""
"""chennai""","""chennai"""
"""kirumampakkam""","""kirumampakkam"""
"""jalgaon""","""jalgaon"""
"""muzaffarpur""","""muzaffarpur"""
"""jetpur""","""jetpur"""
"""samastipur""","""samastipur"""
"""pusa""","""pusa"""
"""sas nagar""","""sas nagar"""
"""patiala""","""patiala"""
"""jalandhar""","""jalandhar"""
"""landran""","""landran"""
"""rupnagar""","""rupnagar"""
"""jalalabad""","""jalalabad"""
"""pathankot""","""pathankot"""
"""morbi""","""morbi"""
"""giddarbaha""","""giddarbaha"""
"""rajpura""","""rajpura"""
"""derabassi""","""derabassi"""
"""dinanagar""","""dinanagar"""
"""muktsar""","""muktsar"""
"""banur""","""banur"""
"""moga""","""moga"""
"""sasnagar""","""sasnagar"""
"""fatehgarh sahib""","""fatehgarh sahib"""
"""phagwara""","""phagwara"""
"""hoshiarpur""","""hoshiarpur"""
"""mohali""","""mohali"""
"""sangrur""","""sangrur"""
"""lalru mandi""","""lalru mandi"""
"""kapurthala""","""kapurthala"""
"""nawanshahr""","""nawanshahr"""
"""amritsar""","""amritsar"""
"""sahibzada ajit singh nagar""","""sahibzada ajit singh nagar"""
"""tehsil derabassi""","""tehsil derabassi"""
"""near rupnagar""","""near rupnagar"""
"""nan""","""nan"""
"""barnala""","""barnala"""
"""sri muktsar sahib""","""sri muktsar sahib"""
"""jasdan""","""jasdan"""
"""kharar""","""kharar"""
"""batala""","""batala"""
"""sirhind""","""sirhind"""
"""bathinda""","""bathinda"""
"""savarkundla""","""savarkundla"""
"""gurdaspur""","""gurdaspur"""
"""ropar""","""ropar"""
"""nakodar""","""nakodar"""
"""malout""","""malout"""
"""district  amreli pincode""","""district  amreli pincode"""
"""tehsil bhawanigarh""","""tehsil bhawanigarh"""
"""budhlada""","""budhlada"""
"""jagraon""","""jagraon"""
"""kharar mohali""","""kharar mohali"""
"""parthankot""","""parthankot"""
"""districtpatiala""","""districtpatiala"""
"""ludhiana""","""ludhiana"""
"""dera bassi""","""dera bassi"""
"""una""","""una"""
"""patti""","""patti"""
"""ta una""","""ta una"""
"""sardulgarh""","""sardulgarh"""
"""surendranagar""","""surendranagar"""
"""nangal""","""nangal"""
"""anand""","""anand"""
"""fazilka""","""fazilka"""
"""ramnagar""","""ramnagar"""
"""mandi gobindgarh""","""mandi gobindgarh"""
"""khanna""","""khanna"""
