dis_1000,Kupwara
dis_1001,budgam
dis_1002,Leh(Ladakh)
dis_1003,Kargil
dis_1004,Punch
dis_1005,Rajouri
dis_1006,Kathua
dis_1007,Baramula
dis_1008,Bandipore
dis_1009,Srinagar
dis_1010,Ganderbal
dis_1011,Pulwama
dis_1012,Shupiyan
dis_1013,Anantnag
dis_1014,Kulgam
dis_1015,Doda
dis_1016,Ramban
dis_1017,Kishtwar
dis_1018,Udhampur
dis_1019,Reasi
dis_1020,Jammu
dis_1021,Samba
dis_1022,Chamba
dis_1023,Kangra
dis_1024,Lahul & Spiti
dis_1025,Kullu
dis_1026,Mandi
dis_1027,Hamirpur
dis_1028,Una
dis_1029,Bilaspur
dis_1030,Solan
dis_1031,Sirmaur
dis_1032,Shimla
dis_1033,Kinnaur
dis_1034,Gurdaspur
dis_1035,Kapurthala
dis_1036,Jalandhar
dis_1037,Hoshiarpur
dis_1038,Shahid Bhagat Singh Nagar
dis_1039,Fatehgarh Sahib
dis_1040,Ludhiana
dis_1041,Moga
dis_1042,Firozpur
dis_1043,Muktsar
dis_1044,Faridkot
dis_1045,Bathinda
dis_1046,Mansa
dis_1047,Patiala
dis_1048,Amritsar
dis_1049,Tarn Taran
dis_1050,Rupnagar
dis_1051,Sahibzada Ajit Singh Nagar
dis_1052,Sangrur
dis_1053,Barnala
dis_1054,Chandigarh
dis_1055,Uttarkashi
dis_1056,Chamoli
dis_1057,Rudraprayag
dis_1058,Tehri Garhwal
dis_1059,Dehradun
dis_1060,Garhwal
dis_1061,Pithoragarh
dis_1062,Bageshwar
dis_1063,Almora
dis_1064,Champawat
dis_1065,Nainital
dis_1066,Udham Singh Nagar
dis_1067,Hardwar
dis_1068,Panchkula
dis_1069,Ambala
dis_1070,Yamunanagar
dis_1071,Kurukshetra
dis_1072,Kaithal
dis_1073,Karnal
dis_1074,Panipat
dis_1075,Sonipat
dis_1076,Jind
dis_1077,Fatehabad
dis_1078,Sirsa
dis_1079,Hisar
dis_1080,Bhiwani
dis_1081,Rohtak
dis_1082,Jhajjar
dis_1083,Mahendragarh
dis_1084,Rewari
dis_1085,Gurgaon
dis_1086,Mewat
dis_1087,Faridabad
dis_1088,Palwal
dis_1089,North West
dis_1090,North
dis_1091,North East
dis_1092,East
dis_1093,New Delhi
dis_1094,Central
dis_1095,West
dis_1096,South West
dis_1097,South
dis_1098,Ganganagar
dis_1099,Hanumangarh
dis_1100,Bikaner
dis_1101,Churu
dis_1102,Jhunjhunun
dis_1103,Alwar
dis_1104,Bharatpur
dis_1105,Dhaulpur
dis_1106,Karauli
dis_1107,Sawai Madhopur
dis_1108,Dausa
dis_1109,Jaipur
dis_1110,Sikar
dis_1111,Nagaur
dis_1112,Jodhpur
dis_1113,Jaisalmer
dis_1114,Barmer
dis_1115,Jalor
dis_1116,Sirohi
dis_1117,Pali
dis_1118,Ajmer
dis_1119,Tonk
dis_1120,Bundi
dis_1121,Bhilwara
dis_1122,Rajsamand
dis_1123,Dungarpur
dis_1124,Banswara
dis_1125,Chittaurgarh
dis_1126,Kota
dis_1127,Baran
dis_1128,Jhalawar
dis_1129,Udaipur
dis_1130,Pratapgarh
dis_1131,Saharanpur
dis_1132,Muzaffarnagar
dis_1133,Bijnor
dis_1134,Moradabad
dis_1135,Rampur
dis_1136,Jyotiba Phule Nagar
dis_1137,Meerut
dis_1138,Baghpat
dis_1139,Ghaziabad
dis_1140,Gautam Buddha Nagar
dis_1141,Bulandshahr
dis_1142,Aligarh
dis_1143,Hatras
dis_1144,Mathura
dis_1145,Agra
dis_1146,Firozabad
dis_1147,Mainpuri
dis_1148,Budaun
dis_1149,Bareilly
dis_1150,Pilibhit
dis_1151,Shahjahanpur
dis_1152,Kheri
dis_1153,Sitapur
dis_1154,Hardoi
dis_1155,Unnao
dis_1156,Lucknow
dis_1157,Rae Bareli
dis_1158,Farrukhabad
dis_1159,Kannauj
dis_1160,Etawah
dis_1161,Auraiya
dis_1162,Kanpur Dehat
dis_1163,Kanpur Nagar
dis_1164,Jalaun
dis_1165,Jhansi
dis_1166,Lalitpur
dis_1167,Mahoba
dis_1168,Banda
dis_1169,Chitrakoot
dis_1170,Fatehpur
dis_1171,Kaushambi
dis_1172,Allahabad
dis_1173,Bara Banki
dis_1174,Faizabad
dis_1175,Ambedkar Nagar
dis_1176,Sultanpur
dis_1177,Bahraich
dis_1178,Shrawasti
dis_1179,Balrampur
dis_1180,Gonda
dis_1181,Siddharthnagar
dis_1182,Basti
dis_1183,Sant Kabir Nagar
dis_1184,Mahrajganj
dis_1185,Gorakhpur
dis_1186,Kushinagar
dis_1187,Deoria
dis_1188,Azamgarh
dis_1189,Mau
dis_1190,Ballia
dis_1191,Jaunpur
dis_1192,Ghazipur
dis_1193,Chandauli
dis_1194,Varanasi
dis_1195,Sant Ravidas Nagar (Bhadohi)
dis_1196,Mirzapur
dis_1197,Sonbhadra
dis_1198,Etah
