"""Private Un-Aided""","""Private Un-Aided"""
"""State Government""","""State Government"""
"""Private Aided""","""Private Aided"""
"""Local Body""","""Local Body"""
"""University""","""University"""
"""Central Government""","""Central Government"""
,
"""State Public University ""","""State Public University """
"""Deemed University-Government ""","""Deemed University-Government """
"""Deemed University-Government Aided ""","""Deemed University-Government Aided """
"""Central University ""","""Central University """
"""Deemed University-Private ""","""Deemed University-Private """
"""Others""","""Others"""
"""State Private University ""","""State Private University """
"""Institute of National Importance ""","""Institute of National Importance """
"""Institute under State Legislature Act ""","""Institute under State Legislature Act """
"""State Open University ""","""State Open University """
