,dist_id,district
0,dis_1000,Kupwara
1,dis_1001,budgam
2,dis_1002,Leh(Ladakh)
3,dis_1003,Kargil
4,dis_1004,Punch
5,dis_1005,Rajouri
6,dis_1006,Kathua
7,dis_1007,Baramula
8,dis_1008,Bandipore
9,dis_1009,Srinagar
10,dis_1010,Ganderbal
11,dis_1011,Pulwama
12,dis_1012,Shupiyan
13,dis_1013,Anantnag
14,dis_1014,Kulgam
15,dis_1015,Doda
16,dis_1016,Ramban
17,dis_1017,Kishtwar
18,dis_1018,Udhampur
19,dis_1019,Reasi
20,dis_1020,Jammu
21,dis_1021,Samba
22,dis_1022,Chamba
23,dis_1023,Kangra
24,dis_1024,Lahul & Spiti
25,dis_1025,Kullu
26,dis_1026,Mandi
27,dis_1027,Hamirpur
28,dis_1028,Una
29,dis_1029,Bilaspur
30,dis_1030,Solan
31,dis_1031,Sirmaur
32,dis_1032,Shimla
33,dis_1033,Kinnaur
34,dis_1034,Gurdaspur
35,dis_1035,Kapurthala
36,dis_1036,Jalandhar
37,dis_1037,Hoshiarpur
38,dis_1038,Shahid Bhagat Singh Nagar
39,dis_1039,Fatehgarh Sahib
40,dis_1040,Ludhiana
41,dis_1041,Moga
42,dis_1042,Firozpur
43,dis_1043,Muktsar
44,dis_1044,Faridkot
45,dis_1045,Bathinda
46,dis_1046,Mansa
47,dis_1047,Patiala
48,dis_1048,Amritsar
49,dis_1049,Tarn Taran
50,dis_1050,Rupnagar
51,dis_1051,Sahibzada Ajit Singh Nagar
52,dis_1052,Sangrur
53,dis_1053,Barnala
54,dis_1054,Chandigarh
55,dis_1055,Uttarkashi
56,dis_1056,Chamoli
57,dis_1057,Rudraprayag
58,dis_1058,Tehri Garhwal
59,dis_1059,Dehradun
60,dis_1060,Garhwal
61,dis_1061,Pithoragarh
62,dis_1062,Bageshwar
63,dis_1063,Almora
64,dis_1064,Champawat
65,dis_1065,Nainital
66,dis_1066,Udham Singh Nagar
67,dis_1067,Hardwar
68,dis_1068,Panchkula
69,dis_1069,Ambala
70,dis_1070,Yamunanagar
71,dis_1071,Kurukshetra
72,dis_1072,Kaithal
73,dis_1073,Karnal
74,dis_1074,Panipat
75,dis_1075,Sonipat
76,dis_1076,Jind
77,dis_1077,Fatehabad
78,dis_1078,Sirsa
79,dis_1079,Hisar
80,dis_1080,Bhiwani
81,dis_1081,Rohtak
82,dis_1082,Jhajjar
83,dis_1083,Mahendragarh
84,dis_1084,Rewari
85,dis_1085,Gurgaon
86,dis_1086,Mewat
87,dis_1087,Faridabad
88,dis_1088,Palwal
89,dis_1089,North West
90,dis_1090,North
91,dis_1091,North East
92,dis_1092,East
93,dis_1093,New Delhi
94,dis_1094,Central
95,dis_1095,West
96,dis_1096,South West
97,dis_1097,South
98,dis_1098,Ganganagar
99,dis_1099,Hanumangarh
100,dis_1100,Bikaner
101,dis_1101,Churu
102,dis_1102,Jhunjhunun
103,dis_1103,Alwar
104,dis_1104,Bharatpur
105,dis_1105,Dhaulpur
106,dis_1106,Karauli
107,dis_1107,Sawai Madhopur
108,dis_1108,Dausa
109,dis_1109,Jaipur
110,dis_1110,Sikar
111,dis_1111,Nagaur
112,dis_1112,Jodhpur
113,dis_1113,Jaisalmer
114,dis_1114,Barmer
115,dis_1115,Jalor
116,dis_1116,Sirohi
117,dis_1117,Pali
118,dis_1118,Ajmer
119,dis_1119,Tonk
120,dis_1120,Bundi
121,dis_1121,Bhilwara
122,dis_1122,Rajsamand
123,dis_1123,Dungarpur
124,dis_1124,Banswara
125,dis_1125,Chittaurgarh
126,dis_1126,Kota
127,dis_1127,Baran
128,dis_1128,Jhalawar
129,dis_1129,Udaipur
130,dis_1130,Pratapgarh
131,dis_1131,Saharanpur
132,dis_1132,Muzaffarnagar
133,dis_1133,Bijnor
134,dis_1134,Moradabad
135,dis_1135,Rampur
136,dis_1136,Jyotiba Phule Nagar
137,dis_1137,Meerut
138,dis_1138,Baghpat
139,dis_1139,Ghaziabad
140,dis_1140,Gautam Buddha Nagar
141,dis_1141,Bulandshahr
142,dis_1142,Aligarh
143,dis_1143,Hatras
144,dis_1144,Mathura
145,dis_1145,Agra
146,dis_1146,Firozabad
147,dis_1147,Mainpuri
148,dis_1148,Budaun
149,dis_1149,Bareilly
150,dis_1150,Pilibhit
151,dis_1151,Shahjahanpur
152,dis_1152,Kheri
153,dis_1153,Sitapur
154,dis_1154,Hardoi
155,dis_1155,Unnao
156,dis_1156,Lucknow
157,dis_1157,Rae Bareli
158,dis_1158,Farrukhabad
159,dis_1159,Kannauj
160,dis_1160,Etawah
161,dis_1161,Auraiya
162,dis_1162,Kanpur Dehat
163,dis_1163,Kanpur Nagar
164,dis_1164,Jalaun
165,dis_1165,Jhansi
166,dis_1166,Lalitpur
167,dis_1167,Mahoba
168,dis_1168,Banda
169,dis_1169,Chitrakoot
170,dis_1170,Fatehpur
171,dis_1171,Kaushambi
172,dis_1172,Allahabad
173,dis_1173,Bara Banki
174,dis_1174,Faizabad
175,dis_1175,Ambedkar Nagar
176,dis_1176,Sultanpur
177,dis_1177,Bahraich
178,dis_1178,Shrawasti
179,dis_1179,Balrampur
180,dis_1180,Gonda
181,dis_1181,Siddharthnagar
182,dis_1182,Basti
183,dis_1183,Sant Kabir Nagar
184,dis_1184,Mahrajganj
185,dis_1185,Gorakhpur
186,dis_1186,Kushinagar
187,dis_1187,Deoria
188,dis_1188,Azamgarh
189,dis_1189,Mau
190,dis_1190,Ballia
191,dis_1191,Jaunpur
192,dis_1192,Ghazipur
193,dis_1193,Chandauli
194,dis_1194,Varanasi
195,dis_1195,Sant Ravidas Nagar (Bhadohi)
196,dis_1196,Mirzapur
197,dis_1197,Sonbhadra
198,dis_1198,Etah
199,dis_1199,Kanshiram Nagar
200,dis_1200,Pashchim Champaran
201,dis_1201,Purba Champaran
202,dis_1202,Sheohar
203,dis_1203,Sitamarhi
204,dis_1204,Madhubani
205,dis_1205,Supaul
206,dis_1206,Araria
207,dis_1207,Kishanganj
208,dis_1208,Purnia
209,dis_1209,Katihar
210,dis_1210,Madhepura
