,city,city_clean
0,Visnagar-384315,visnagar
1,"Rajkot, Tehsil - Rajkot, Pin - 360005",rajkot
2,JAMKHANDI,jamkhandi
3,BIJAPUR-586104,bijapur
4,Athani,athani
5,Belguam,belguam
6,ILKAL - 587125,ilkal
7,Bagalkot,bagalkot
8,BEWOOR,bewoor
9,Bijapur,bijapur
10,RAJKOT-360001,rajkot
11,BIJAPUR,bijapur
12,bagewadi,bagewadi
13,Nidagundi,nidagundi
14,BELGAUM,belgaum
15,Vijayapur,vijayapur
16,Nipani,nipani
17,BIJAPUR,bijapur
18,Rajkot,rajkot
19,HUNGUND,hungund
20,ILKAL,ilkal
21,Belagavi,belagavi
22,VIJAYAPURA,vijayapura
23,BIJAPUR,bijapur
24,Sindgi-586128,sindgi
25,HARUGERI-591220,harugeri
26,JAMAKHANDI,jamakhandi
27,bijapur,bijapur
28,LAKHTAR,lakhtar
29,BAGALKOT,bagalkot
30,Belagavi,belagavi
31,Hebbal,hebbal
32,Belgaum,belgaum
33,Athani,athani
34,RAMDURG,ramdurg
35,JAMNAGAR,jamnagar
36,BELGAUM,belgaum
37,Mudalgi-591312,mudalgi
38,BIJAPUR,bijapur
39,Indi,indi
40,BELAGAVI.,belagavi
41,Babaleshwar,babaleshwar
42,Khanapur,khanapur
43,SAUNDATTI,saundatti
44,DHARI,dhari
45,Raibag,raibag
46,CHIKODI,chikodi
47,ATHANI,athani
48,BELGAUM,belgaum
49,Guledagudda,guledagudda
50,Athani,athani
51,MUDDEBIHAL,muddebihal
52,Badami,badami
53,RAJKOT,rajkot
54,Chikodi,chikodi
55,GHATAPRABHA,ghataprabha
56,-,NULL
57,Raibag,raibag
58,BIJAPUR,bijapur
59,RAIBAG,raibag
60,"Village, Soundatti.",soundatti
61,CHIKODI,chikodi
62,Sankeshwar.,sankeshwar
63,Belgaum,belgaum
64,Gokak,gokak
65,Saundatti,saundatti
66,Belgaum,belgaum
67,Belgaum,belgaum
68,Gokak,gokak
69,CHARADVA,charadva
70,BIJAPUR,bijapur
71,BAILHONGAL,bailhongal
72,KITTUR-591115,kittur
73,BIJAPUR,bijapur
74,BIJAPUR 586104,bijapur
75,NIPANI,nipani
76,Harugeri,harugeri
