computer science,Computer Science,uc_d100000,c100000
computer application,Master of Computer Application,uc_d100001,c100001
computer application,COMPUTER APPLICATION,uc_d100002,c100001
computer application,CA,uc_d100003,c100001
integrated computer science,Integrated Computer Science,uc_d100004,c100002
computer application,-,uc_d100005,c100001
computer application,Master in Computer Applications,uc_d100006,c100001
computer and informatics,Computer & Informatics,uc_d100007,c100003
computer application,MCA,uc_d100008,c100001
computer application,Computer Application,uc_d100009,c100001
computer application,Computer Applications,uc_d100010,c100001
computer application,Master of Computer Applications,uc_d100011,c100001
computer,COMPUTER,uc_d100012,c100004
computer,Computer,uc_d100013,c100004
computer science,computer science,uc_d100014,c100000
computer science and applications,computer science & applications,uc_d100015,c100005
department,Department of Master in Computer Application,uc_d100016,c100006
computer application,COMP APPL,uc_d100017,c100001
masters computer application,MASTERS IN  COMPUTER APPLICATIONS,uc_d100018,c100007
computer application,COMPUTER APPLICATIONS,uc_d100019,c100001
application,Application,uc_d100020,c100008
computer science,Computer Sci.,uc_d100021,c100000
information technology,Information Technology,uc_d100022,c100009
science,Science,uc_d100023,c100010
computer application,M.C.A,uc_d100024,c100001
computer application,master of Computer Application,uc_d100025,c100001
computer science,Computer Sc,uc_d100026,c100000
computer application,Comp.Applications,uc_d100027,c100001
management,Management,uc_d100028,c100011
computer application,IT,uc_d100029,c100001
computer,COMPUTERS,uc_d100030,c100004
informatics,Informatics,uc_d100031,c100012
mca1,MCA1,uc_d100032,c100013
informatics,INFORMATICS,uc_d100033,c100012
lateral,MCA Lateral,uc_d100034,c100014
computer application,MASTER OF COMPUTER APPLICATION,uc_d100035,c100001
commerce,Commerce,uc_d100036,c100015
computer application,M.C.A.,uc_d100037,c100001
it and computer,IT & Computer,uc_d100038,c100016
computer science,Computer Sciences,uc_d100039,c100000
information security management services,Information Security Management Services,uc_d100040,c100017
engineering and technology,Engineering & Technology,uc_d100041,c100018
infrastructure management services init,Infrastructure Management Services in IT,uc_d100042,c100019
storage and cloud technology,Storage and Cloud Technology,uc_d100043,c100020
computer application,MCA - REGULAR,uc_d100044,c100001
computer application,M.C.A. MASTER OF COMPUTER APPLICATION,uc_d100045,c100001
computer,Computers,uc_d100046,c100004
computer application,Comp. App.,uc_d100047,c100001
computer application,mca,uc_d100048,c100001
mcm,MCM,uc_d100049,c100021
computer science,COMP SCIENCE,uc_d100050,c100000
computer science,COMPUTER SCIENCE,uc_d100051,c100000
computer application,Master of computer applications,uc_d100052,c100001
computer application,Computer applications,uc_d100053,c100001
computer application,COMPUTER  aPPLICATION,uc_d100054,c100001
computer,computer,uc_d100055,c100004
subjects,All Subjects,uc_d100056,c100022
computer application,Master of Computer Application (MCA),uc_d100057,c100001
lateral entry,MCA(LEET),uc_d100058,c100023
lmca,LMCA,uc_d100059,c100024
masters computer application,MASTERS IN COMPUTER APPLICATIONS,uc_d100060,c100007
computer application cation,COMPUTER APPLI CATION,uc_d100061,c100025
science,sciences,uc_d100062,c100010
computer application,computer applicatins,uc_d100063,c100001
science,science,uc_d100064,c100010
subjects,All MCA Subjects,uc_d100065,c100022
it and computer,IT & COMPUTERS,uc_d100066,c100016
technical,Technical,uc_d100067,c100026
computer application,Master of Computer  Applications,uc_d100068,c100001
c c and and java rdbms computer security computer ne2rk,"C, C++, Java, RDBMS, Computer Security, Computer Network",uc_d100069,c100027
computer technology,Computer Technology,uc_d100070,c100028
computer application,computer applications,uc_d100071,c100001
computer application,10,uc_d100072,c100001
computer application,Computer  Applications,uc_d100073,c100001
computer application,computer application,uc_d100074,c100001
commerce and management,COMMERCE & MANAGEMENT,uc_d100075,c100029
computer application,MASTER OF COMPUTER APPLICATIONS,uc_d100076,c100001
science,Scinece,uc_d100077,c100010
science,SCIENCE,uc_d100078,c100010
it and computer,IT & Computers,uc_d100079,c100016
computer application,Computer application,uc_d100080,c100001
information,INFORMATION,uc_d100081,c100030
computer application lateral entry,(LATERAL) COMPUTER APPLICATION,uc_d100082,c100031
mc01,MC01,uc_d100083,c100032
information and technology,Information & Technology,uc_d100084,c100033
computer application,CS,uc_d100085,c100001
computer science and application,Computer Science and Application,uc_d100086,c100034
computer application,MASTER IN COMPUTER APPLICATIONS,uc_d100087,c100001
3yrs / 3rd year 3rd year course,MCA 3yrs./ 3rd year of MCA 3rd year course,uc_d100088,c100035
5yrs,MCA 5Yrs.,uc_d100089,c100036
computer application,PG,uc_d100090,c100001
it and computer,IT&Computers,uc_d100091,c100016
post graduate,Post Graduate,uc_d100092,c100037
computer application,MCA (Regular),uc_d100093,c100001
computer application,Master of computer Application,uc_d100094,c100001
cdsnw java os ada,"C, DS, NW, JAVA, OS, ADA",uc_d100095,c100038
computer application,Master Of Computer Applications,uc_d100096,c100001
pgdca,PGDCA,uc_d100097,c100039
computer science and applications,Computer Science & Applications,uc_d100098,c100005
computer,computers,uc_d100099,c100004
general,General,uc_d100100,c100040
computer science,Computer Science ,uc_d100101,c100000
computer application,Computer Applications (SF),uc_d100102,c100001
discipline,Discipline,uc_d100103,c100041
principal,Principal,uc_d100104,c100042
mgt,Mgt.,uc_d100105,c100043
managemant,Managemant.,uc_d100106,c100044
english medium,English Medium,uc_d100107,c100045
pgdca dca,PGDCA DCA,uc_d100108,c100046
computer application,COMPUTER  APPLICATION,uc_d100109,c100001
leet,MCA-LEET,uc_d100110,c100047
