,discipline,discipline_clean
0,Computer Science,computer science
1,Master of Computer Application,computer application
2,COMPUTER APPLICATION,computer application
3,CA,computer application
4,Integrated Computer Science,integrated computer science
5,-,computer application
6,Master in Computer Applications,computer application
7,Computer & Informatics,computer and informatics
8,MCA,computer application
9,Computer Application,computer application
10,Computer Applications,computer application
12,Master of Computer Applications,computer application
17,COMPUTER,computer
18,Computer,computer
19,computer science,computer science
21,computer science & applications,computer science and applications
24,Department of Master in Computer Application,department
26,COMP APPL,computer application
28,MASTERS IN  COMPUTER APPLICATIONS,masters computer application
29,COMPUTER APPLICATIONS,computer application
31,Application,application
32,Computer Sci.,computer science
37,Information Technology,information technology
40,Science,science
41,M.C.A,computer application
46,master of Computer Application,computer application
47,Computer Sc,computer science
48,Comp.Applications,computer application
50,Management,management
54,IT,computer application
60,COMPUTERS,computer
71,Informatics,informatics
78,MCA1,mca1
84,INFORMATICS,informatics
85,MCA Lateral,lateral
86,MASTER OF COMPUTER APPLICATION,computer application
90,Commerce,commerce
91,M.C.A.,computer application
95,IT & Computer,it and computer
96,Computer Sciences,computer science
99,Information Security Management Services,information security management services
110,Engineering & Technology,engineering and technology
127,Infrastructure Management Services in IT,infrastructure management services init
128,Storage and Cloud Technology,storage and cloud technology
129,MCA - REGULAR,computer application
133,M.C.A. MASTER OF COMPUTER APPLICATION,computer application
144,Computers,computer
148,Comp. App.,computer application
150,mca,computer application
152,MCM,mcm
153,COMP SCIENCE,computer science
162,COMPUTER SCIENCE,computer science
165,Master of computer applications,computer application
167,Computer applications,computer application
171,COMPUTER  aPPLICATION,computer application
173,computer,computer
177,All Subjects,subjects
178,Master of Computer Application (MCA),computer application
179,MCA(LEET),lateral entry
182,LMCA,lmca
191,MASTERS IN COMPUTER APPLICATIONS,masters computer application
193,COMPUTER APPLI CATION,computer application cation
201,sciences,science
208,computer applicatins,computer application
212,science,science
213,All MCA Subjects,subjects
224,IT & COMPUTERS,it and computer
244,Technical,technical
252,Master of Computer  Applications,computer application
253,"C, C++, Java, RDBMS, Computer Security, Computer Network",c c and and java rdbms computer security computer ne2rk
256,Computer Technology,computer technology
265,computer applications,computer application
266,10,computer application
267,Computer  Applications,computer application
276,computer application,computer application
282,COMMERCE & MANAGEMENT,commerce and management
286,MASTER OF COMPUTER APPLICATIONS,computer application
291,Scinece,science
298,SCIENCE,science
309,IT & Computers,it and computer
318,Computer application,computer application
324,INFORMATION,information
326,(LATERAL) COMPUTER APPLICATION,computer application lateral entry
328,MC01,mc01
347,Information & Technology,information and technology
353,CS,computer application
369,Computer Science and Application,computer science and application
379,MASTER IN COMPUTER APPLICATIONS,computer application
382,MCA 3yrs./ 3rd year of MCA 3rd year course,3yrs / 3rd year 3rd year course
383,MCA 5Yrs.,5yrs
391,PG,computer application
401,IT&Computers,it and computer
413,Post Graduate,post graduate
417,MCA (Regular),computer application
418,Master of computer Application,computer application
429,"C, DS, NW, JAVA, OS, ADA",cdsnw java os ada
440,Master Of Computer Applications,computer application
448,PGDCA,pgdca
458,Computer Science & Applications,computer science and applications
465,computers,computer
482,General,general
483,Computer Science ,computer science
498,Computer Applications (SF),computer application
515,Discipline,discipline
521,Principal,principal
524,Mgt.,mgt
526,Managemant.,managemant
527,English Medium,english medium
540,PGDCA DCA,pgdca dca
551,COMPUTER  APPLICATION,computer application
552,MCA-LEET,leet
556,Comp App,computer application
558,Computer Engineering,computer engineering
565,Master in Computer Application (MCA),computer application
575,Computer Appplications,computer application
576,Computer Appln,computer application
582,Commerece,commerece
583,Technology,technology
595,COMMERCE,commerce
596,Computer Technology & Application,computer technology and application
598,Gen,gen
599,Msc in Computer Science,computer science
604,Master of Computer Science & Application,master computer science and application
606,Master of Computer Application Technology,technology
607,FULL TIME,computer application
610,Regular,computer application
614,Computer Applications (FT),computer application
616,MCA (MASTER OF BUSINESS ADMINISTRATIONS),master business administrations
620,CSE,cse
626,Computer Applictions,computer application
629,MASTERS IN COMPUTER APPLICATION,masters computer application
639,"Master of Computer Applications (ASE, AMR)",computer application
643,MCA-First Shift,first shi
652,MCA (SE),computer application
655,Computer Appllications,computer application
666,Computer Applications LATERAL ENTRY,computer application lateral entry
670,commerce,commerce
675,master of computer application,computer application
676,Lateral Entry,lateral entry
677,Masters of Computer Application,masters computer application
680,COMP. APPLN,computer application
694,60,computer application
695,Information Technology & Computer Application,information technology and computer application
701,Computer IT,computer it
705,COMPAPPLICATIONS,computer
709,Master in Computer Application,computer application
717,Faculty of Computer Application,faculty computer application
719,computer Science,computer science
720,COMPAPP,computer
735,Computer Science Applications,computer science applications
761,Computer Applicationpplication,computer application
764,Computer Application(LE),computer application
769,INFORMATION TECHNOLOGY,information technology
774,MCA (Lateral),lateral entry
777,computer Applications,computer application
779,Computer Science & Engg,computer science and engineering
781,ENGG.,engineering
790,ENGLISH,english
792,MASTER OF COMUTER APPLICATION,computer application
797,Deree,deree
810,IT & computer,it and computer
817,DBMS,dbms
831,M.C.A-LATERAL ENTRY,lateral entry
847,Computers science,computer science
853,IT and Computer,it and computer
855,MASTERS OF COMPUTER APPLICATIONS,masters computer application
858,Master in Compter Applications,computer application
864,Compute Applications,computer application
870,Lateral,lateral entry
873,computer Sci.,computer science
876,Other Engineering & Technology,other engineering and technology
888,Engineering,engineering
890,Ccomputer application,c computer application
903,"Master of Computer Applications (ASAS, Mysore)",computer application
910,MANAGEMENT,management
925,"Master of Computer Applications (ASE, CBE)",cbe
930,MCA Lateral Entry,lateral entry
932,MASTRT IN COMPUTER APPLICATIONS,mastrt computer application
957,SCIENCES,science
960,Subject,subject
961,Computer Sc.,computer science
971,IT&COMPUTER SCIENCE,it and computer science
981,Letaral Entry,letaral entry
995,MCA(2ND YEAR DIRECT),lateral entry
1011,MCA (Evening),evening
1018,COMPUTER SCIENCES,computer science
1029,Sciecne,science
1035,Master of Computer Application(2nd year Direct),year direct
1044,Education,education
1049,Master of Computer Applicatiom,computer application
1051,IT & CS,it and cs
1057,LECTURER,lecturer
1061,Commerce & Management,commerce and management
1065,M.C.M.,mcm
1100,Computer science,computer science
1109,engineering,engineering
1131,Master of Computer Science and Application,master computer science and application
1132,CA-Integrated,ca integrated
1157,MCA-LE,computer application
1176,MCA-Lateral,lateral
1214,Yes,yes
1222,Five Years Integrated,five years integrated
1223,Coputer Application,coputer application
1234,Direct,direct
1237,Computer Appliction,computer application
1246,management,management
1249,Master in computer Application,computer application
1260,I.T.,computer application
1266,PG LEVEL,pg level
1291,Mathematics & Computing,mathematics and computer
1310,0,computer application
1326,MCA (q Engineering),q engineering
1336,1809,computer application
1348,Computer Science Application,computer science application
1352,Department of Computer Applications,department computer application
1358,MCA 2nd Shift,2nd shi
1359,M. C. A.,computer application
1367,Master of computer application,computer application
1374,IT & Application,it and application
1378,"IT, C, java, asp.net, math, software eng. system software, UML,",itc java asp net math soware eng system soware uml
1379,Computer Appl.,computer application
1382,"Master of Computer Applications (ASAS, Kochi",computer application
1389,Masters in Computer Applications,masters computer application
1394,Science Computer,science computer
1401,C.S,computer application
1406,M.C.A. Commerce,commerce
1407,IT Management,it management
1408,COMPUTER APPLICATOINS,computer application
1409,COMPUTER  APPLICATIONS,computer application
1420,MCA (RC HSP),computer application
1428,comp Application,computer application
1442,Computer App.,computer application
1448,MCA-LATERAL ENTRY,lateral entry
1458,M.C.A. -Master of Computer Applications,computer application
1460,MCA (RC MKT),computer application
1464,Comp,computer
1467,MCA-2,computer application
1493,Master Computer Application,computer application
1495,full time,computer application
1510,CC++/JAVA/SOFT COMPUTING/ART. INT./NETWORKING/DATA BASE,cc and and /java/socomputer int /ne2rking/data base
1518,Comp Sc,computer science
1520,Comp Apl,computer apl
1521,Computer Applicatioin,computer application
1530,Master of Computer,master computer
1531,Computer  Application,computer application
1544,comp.sci,computer science
1547,Master of Computer Application Programme,programme
1551,Master of Business Administration,computer application
1565,Overall,overall
1574,PROGRAMMING,programming
1578,Computer Applications(Lateral Entry),computer application entry
1581,Computer Science and Applications,computer science and applications
1582,All,computer application
1589,COMPUTER ,computer
1593,COMPUTER SCIENCE AND APPLICATIONS,computer science and applications
1596,IT and Computers,it and computer
1599,MASTER OF APPLICATION,master application
1605,Master of Computer Applicatiopn,computer application
1641,Computer Aplication,computer aplication
1652,COMP APP,computer application
1654,Comp.Application,computer application
1665,Computer  management,computer management
1669,MCA LE,computer application
1675,"Computer Applications- Integrated (ASAS, Mysore)",computer application integrated
1676,DD BCA-MCA,computer application
1679,MSCIT,mscit
1681,Compter Applications,computer application
1682,"Computer Applications - Integrated (ASAS, Kochi)",computer application integrated
1687,MCI,mci
1689,BCA + MCA,computer application
1690,Integrated BCA-MCA,integrated
1695,I M C A,imca
1708,DD MCA,computer application
1709,BCA+MCA,computer application
1714,Master of Computer Applications(Full-Time),time
1722,computer aopplication,computer aopplication
1732,BCA,computer application
1740,"COMPUTER,MATHS,STATISTICS",computer mathematics statistics
1743,COMPULSORY,computer
1746,Comp. Aplli,computer aplli
1753,Computer Related,computer related
1755,B.C.A.,computer application
1759,IT & Computer Science,it and computer science
1762,Honors in Computer Application,honors computer application
1767,BCA Commerce,commerce
1774,computer sc,computer science
1777,IT-LATERAL ENTRY,it lateral entry
1779,B.C.A.-Bachelor of Computer Applications,computer application
1785,Information Technolody,information technolody
1791,OK,computer application
1798,Comp. Appl.,computer application
1810,COMPUTER  SCIENCE,computer science
1813,Bachelor of Computer Application,computer application
1817,Computer Science(Lateral Entry),computer science entry
1821,"Computer Applications (ASAS, Mysore)",computer application
1827,AS PER UNIV,as per univ
