computer science,c100000
computer application,c100001
integrated computer science,c100002
computer and informatics,c100003
computer,c100004
computer science and applications,c100005
department,c100006
masters computer application,c100007
application,c100008
information technology,c100009
science,c100010
management,c100011
informatics,c100012
mca1,c100013
lateral,c100014
commerce,c100015
it and computer,c100016
information security management services,c100017
engineering and technology,c100018
infrastructure management services init,c100019
storage and cloud technology,c100020
mcm,c100021
subjects,c100022
lateral entry,c100023
lmca,c100024
computer application cation,c100025
technical,c100026
c c and and java rdbms computer security computer ne2rk,c100027
computer technology,c100028
commerce and management,c100029
information,c100030
computer application lateral entry,c100031
mc01,c100032
information and technology,c100033
computer science and application,c100034
3yrs / 3rd year 3rd year course,c100035
5yrs,c100036
post graduate,c100037
cdsnw java os ada,c100038
pgdca,c100039
general,c100040
discipline,c100041
principal,c100042
mgt,c100043
managemant,c100044
english medium,c100045
pgdca dca,c100046
leet,c100047
computer engineering,c100048
commerece,c100049
technology,c100050
computer technology and application,c100051
gen,c100052
master computer science and application,c100053
master business administrations,c100054
cse,c100055
first shi,c100056
information technology and computer application,c100057
computer it,c100058
faculty computer application,c100059
computer science applications,c100060
computer science and engineering,c100061
engineering,c100062
english,c100063
deree,c100064
dbms,c100065
other engineering and technology,c100066
c computer application,c100067
cbe,c100068
mastrt computer application,c100069
subject,c100070
it and computer science,c100071
letaral entry,c100072
evening,c100073
year direct,c100074
education,c100075
it and cs,c100076
lecturer,c100077
ca integrated,c100078
yes,c100079
five years integrated,c100080
coputer application,c100081
direct,c100082
pg level,c100083
mathematics and computer,c100084
q engineering,c100085
computer science application,c100086
department computer application,c100087
2nd shi,c100088
it and application,c100089
itc java asp net math soware eng system soware uml,c100090
science computer,c100091
it management,c100092
cc and and /java/socomputer int /ne2rking/data base,c100093
computer apl,c100094
master computer,c100095
programme,c100096
overall,c100097
programming,c100098
computer application entry,c100099
master application,c100100
computer aplication,c100101
computer management,c100102
computer application integrated,c100103
mscit,c100104
mci,c100105
integrated,c100106
imca,c100107
time,c100108
