"computer science","computer science","computer science","computer science"
"education","education","education","education"
"computer","computer","computer","computer"
"arts","arts","arts","arts"
"com","com","com","com"
"commerce","commerce","commerce","commerce"
"commerece","commerece","commerece","commerece"
"mathematics","mathematics","mathematics","mathematics"
"science","science","science","science"
"kannada","kannada","kannada","kannada"
"chemistry","chemistry","chemistry","chemistry"
"physics","physics","physics","physics"
"journalism & mass communication","journalism & mass communication","journalism & mass communication","journalism & mass communication"
"performing arts","performing arts","performing arts","performing arts"
"kathak","kathak","kathak","kathak"
"tabla","tabla","tabla","tabla"
"vocal","vocal","vocal","vocal"
"arts and science","arts and science","arts and science","arts and science"
"bba","bba","bba","bba"
"computers","computers","computers","computers"
"management","management","management","management"
"comerce","comerce","comerce","comerce"
"computer application","computer application","computer application","computer application"
"eduecation","eduecation","eduecation","eduecation"
"technical","technical","technical","technical"
"b.com","b.com","b.com","b.com"
"m.com","m.com","m.com","m.com"
"physical education","physical education","physical education","physical education"
"english","english","english","english"
"bca","bca","bca","bca"
"all university subject","all university subject","all university subject","all university subject"
"bsw","bsw","bsw","bsw"
"b.ed","b.ed","b.ed","b.ed"
"mgmt","mgmt","mgmt","mgmt"
"psychology","psychology","psychology","psychology"
"social work","social work","social work","social work"
"bachelor of commerce","bachelor of commerce","bachelor of commerce","bachelor of commerce"
"c.y.s","c.y.s","c.y.s","c.y.s"
"b.p.ed","b.p.ed","b.p.ed","b.p.ed"
"business management","business management","business management","business management"
"marketing, finance, human resource & general management","marketing, finance, human resource & general management","marketing, finance, human resource & general management","marketing, finance, human resource & general management"
"economics","economics","economics","economics"
"sociology","sociology","sociology","sociology"
"history","history","history","history"
"business administration","business administration","business administration","business administration"
"compulsory subjects  subjects","compulsory subjects  subjects","compulsory subjects  subjects","compulsory subjects  subjects"
"physical edn","physical edn","physical edn","physical edn"
"yoga","yoga","yoga","yoga"
"mba","mba","mba","mba"
"hindi","hindi","hindi","hindi"
"c.s","c.s","c.s","c.s"
"13","13","13","13"
"graduate","graduate","graduate","graduate"
"comm","comm","comm","comm"
"m.a. pol.science","m.a. pol.science","m.a. pol.science","m.a. pol.science"
"bcom","bcom","bcom","bcom"
"mcom","mcom","mcom","mcom"
"regular","regular","regular","regular"
"arts discipline","arts discipline","arts discipline","arts discipline"
"06","06","06","06"
"arts ii","arts ii","arts ii","arts ii"
"arts iii","arts iii","arts iii","arts iii"
"arts i","arts i","arts i","arts i"
"b.com i","b.com i","b.com i","b.com i"
"b.com iii","b.com iii","b.com iii","b.com iii"
"b.com ii","b.com ii","b.com ii","b.com ii"
"bba iii","bba iii","bba iii","bba iii"
"bba i","bba i","bba i","bba i"
"bba ii","bba ii","bba ii","bba ii"
"computre science","computre science","computre science","computre science"
"political science","political science","political science","political science"
"opt.kannada","opt.kannada","opt.kannada","opt.kannada"
"opt.marathi","opt.marathi","opt.marathi","opt.marathi"
"addl.english","addl.english","addl.english","addl.english"
"geography","geography","geography","geography"
"philosophy","philosophy","philosophy","philosophy"
"mil kannada","mil kannada","mil kannada","mil kannada"
"history & archealogy","history & archealogy","history & archealogy","history & archealogy"
"mil marathi","mil marathi","mil marathi","mil marathi"
"opt.english","opt.english","opt.english","opt.english"
"mil hindi","mil hindi","mil hindi","mil hindi"
"opt.hindi","opt.hindi","opt.hindi","opt.hindi"
"pg04","pg04","pg04","pg04"
"ug04","ug04","ug04","ug04"
"12","12","12","12"
