,1,6,cid,name
0,C100,Manish Institute of Computer Studies,C100,Manish Institute of Computer Studies
1,C1000,Shree M. & N. Virani Science College,C1000,"VIRANI SCI. & SHRI YOGIJI MAHARAJ ARTS, COMMERCE & SCIENCE - RAJKOT"
2,C10000,"BLDE Association's Commerce, BHS Arts & TGP Science College",C10000,"SIDDARTHA COLLEGE OF EDUCATION,  JAMKHANDI"
3,C10006,"S.V.M Arts, Science & Commerce College Ilkal",C10006,"SVM ARTS/SCI/COMM COLLEGE,   ILKAL"
4,C10007,B.V.V.S. Basaveshwar Science College,C10007,BASAVESHWARA SCIENCE COLLEGE  BAGALKOT
5,C10009,SSVVS Kumari Monica Basavaraj Kanni B.Ed. College,C10009,"SSVVS KUMARI MONICA BASAVARAJ KANNI B.ED COLLEGE,  BIJAPUR"
6,C1001,A.V.Hirani College of Journalism & Performing Arts-Rajkot,C1001,A.V.HIRANI  COLLEGE OF JOURNALISM & PERFORMING ARTS-RAJKOT
7,C10010,Sjbvs Shri S S Meti B.Ed College,C10010,"SJBVS SHRI S S METI B.ED COLLEGE ,  BIJAPUR"
8,C10014,Grameena V V SS Education College,C10014,"GRAMEENA V V SS EDU COLLEGE, NODAGUNDI"
9,C10017,KLE G I Bagewadi College,C10017,"KLE'S G I BAGEWADI BBA COLLEGE,  NIPPANI"
10,C10018,SECAB Inst Of BBA/BCA College,C10018,"SECAB INST., OF BBA/BCA,  COLLEGE, BIJAPUR"
11,C1002,Shri J.H.Bhalodiya Women’s College,C1002,J.H.BHALODIYA WOMEN'S  COLLEGE-RAJKOT (COMMERCE & B.B.A.)
12,C10021,"S.V.M Arts, Science & Commerce College Ilkal",C10021,"SVM COLLEGE OF BBA,    ILKAL"
13,C10023,B.L.D.E.A's J.S.S. College of. Education,C10023,"BLDEAS J S S COLLEGE OF EDU., BIJAPUR"
14,C10024,Smt.Kumudben Darbar BBA & BCA College,C10024,"KUMUD BEN DURBAR COLLEGE OF BCA,  BIJAPUR"
15,C10025,T.S.P.S.M.S.C.M. Managuli Arts College,C10025,"T.S.P.S.M.S.C.M. MANAGULI ARTS COLLEGE,   SINDAGI"
16,C10026,"S P M S Education College, Harugeri",C10026,"S P M S EDUCATION COLLEGE, HARUGERI"
17,C10028,"BLDE Association's Commerce, BHS Arts & TGP Science College",C10028,"BLDEAS COMM BHS ARTS & TGP SCI COLLEGE,  JAMAKHANDI"
18,C10029,SMRK VIDYAVARDHK SANGHAS COLLEGE OF EDUCATION,C10029,"SMRK VIDYAVARDHK SANGHAS COLLEGE OF EDU., BIJAPUR"
19,C1003,Shree AVJ Oza Institute Of B.Ed College,C1003,"SHREE A.V.J. OZA INSTITUTE OF B.ED. COLLEGE, LAKHTAR"
20,C10030,Basaveshwar Commerce College,C10030,"B.V.V.Sangha's BASAVESHWAR COMMERCE,COLLEGE,  BAGALKOT"
21,C10031,Angadi Institute Of Technology And Management,C10031,"ANGADI INST., OF MNG., STUDIES (BCA),  BELGAUM"
22,C10031,A. R. Angadi,C10031,"ANGADI INST., OF MNG., STUDIES (BCA),  BELGAUM"
23,C10034,PeopleTree Education Society,C10034,"P T E SOCIETY'S BCA/BBA  COLLEGE,  BELGAUM"
24,C10035,"K A Lokapur Arts, Science and Commerce College & PG Studies",C10035,"JES'S S K A LOKAPUR ARTS/ SCIE / COMM COLLEGE,  ATHANI"
25,C1004,D K V Arts & Science College,C1004,"D.K.V. ARTS & SCIENCE COLLEGE, JAMAGAR"
26,C10040,"Maratha Mandal's Arts, Commerce, Science & Home Science College, Belgaum",C10040,"M M ARTS, COMMERCE, SCIENCE & HOME SCIENCE COLLEGE, BELAGAVI (PG)"
27,C10043,Anjuman Arts Science & Commerce College,C10043,"ANJUMAN ARTS/SCI/COMM COLLEGE,  BIJAPUR"
28,C10044,Government First Grade College,C10044,"GOVT FIRST GRADE COLLEGE, ,  INDI"
29,C10044,Government First Grade College,C10044,"GOVT FIRST GRADE COLLEGE, ,  INDI"
30,C10046,Jain College Belgaum,C10046,"S B M J T JAIN COLLEGE OF BUSINESS ADMINISTRATION,  BELGAUM"
31,C10048,"Maratha Mandal's Arts and Commerce College, Khanapur",C10048,"KLE SOCIETYS BBA COLLEGE,  KHANAPUR"
32,C10048,K.L.E. Society’s College of Business Administration,C10048,"KLE SOCIETYS BBA COLLEGE,  KHANAPUR"
33,C10052,C.L.E PU College Chikodi,C10052,"C L E SOCIETYS COLLEGE OF EDUCATION, CHIKKODI"
34,C10054,Bharatesh College of Computer Applications,C10054,"JSS'S BHARATESH COLLEGE OF BUSINESS ADMINISTRATION,  BELGAUM"
35,C10057,Government First Grade College,C10057,"GOVT. FIRST GRADE COLLEGE, AINAPUR"
36,C10058,"MGVC ARTS COMMERCE & SCIENCE COLLEGE, MUDDEBIHAL",C10058,MGVC ARTS/SCI/COMM COLLEGE MUDDEBIHAL
37,C10071,"K.L.E. Society's Basavaprabhu Kore Arts, Science and Commerce College, Chikodi",C10071,"KLE'S BAAVPRBHU KORE BBA COLLEGE,  CHIKKODI"
38,C10072,"S.D.V.S Sangh’s S. S. Arts College and T. P. Science Institute,Sankeshwar",C10072,"SDVS'S S S ARTS COLLEGE & TP SCIENCE INSTITUTE ,  SANKESHWAR"
39,C10073,Karnataka Law Society’s Institute of Management Education & Research,C10073,"KLS INST. OF MANAGEMENT EDUCATION & RESEARCH, BELAGAVI (PG)"
40,C10075,Gokak Education Society's College of Education,C10075,"GOKAK EDUCATION SOCIETYS COLLEGE OF EDUCATION, GOKAK"
41,C10079,Sri Laxmanrao Jarkiholi College Of BBA,C10079,"LET'S SRI LAXMANRAO JARKIHOLI COLLEGE OF BBA,  GOKAK"
42,C10132,S R KANTHI COLLEGE OF EDUCATION (B.Ed.) ILKAL,C10132,"S R KANTHI COLLEGE OF EDUCATION,  ILKAL"
43,C10138,"Maratha Mandal's Arts and Commerce College, Khanapur",C10138,"MMS ARTS & COMMERCE COLLEGE,  KHANAPUR"
44,C10141,G.I.B Arts Science And Commerce College,C10141,"G I B ARTS/SCIE/COMM COLLEGE,  NIPPANI"
45,C10144,Shri siddhivinayak rural college of Education Harugeri - 591220,C10144,"SHRI SIDDHIVINAYAKA RURAL COLLEGE OF EDUCATION, HARUGERI"
46,C10147,Krantiveer Sangolli Rayanna College Of Education,C10147,"KSR COLLEGE OF EDUCATION, BELGAUM"
47,C1015,J.J. Kundaliya Commerce College,C1015,J.J.KUNDALIYA ARTS & COMMERCE COLLEGE-RAJKOT
48,C10150,Govt First Grade College,C10150,GOVT FIRST GRADE COLLEGE  RABKAVI BANAHATTI
49,C10153,BVVS PG Dept Of Education Bagalkot,C10153,"BVVS PG DEPT. OF EDUCATION, ,  BAGALKOTE (PG)"
50,C10154,PES college,C10154,"PES BBA COLLEGE,  UGAR-KHURD"
51,C10155,B K College Chikodi,C10155,"BK COLLEGE OF ARTS, SCIENCE & COMMERCE COLLEGE, CHIKODI (PG)"
52,C10158,Government First Grade College,C10158,"GOVT FIRST GRADE COLLEGE, SADALGA"
53,C10160,"KRCES's College of Business Administration, Bailhongal",C10160,"KRCES'S GGD ARTS, BMP COMMERCE SVS SCIENCE COLLEGE,  BAILHONGAL"
54,C10165,"Krcess College Of Education, Bailhongal",C10165,"KRCESS COLLEGE OF EDUCATION, BAILHONGAL"
55,C10166,Navanagar Government Degree College,C10166,"GOVT FIRST GRADE COLLEGE,  BAGALKOT (6012)"
56,C10167,Rani Parvati Devi College of Arts,C10167,"SKES'S RPD COLLEGE, ,  BELGAUM"
57,C10170,"K.L.E. Society's Basavaprabhu Kore Arts, Science and Commerce College, Chikodi",C10170,"CTES'S ARTS & COMMERCE COLLEGE, CHIKKODI"
58,C10173,Gomatesh Vidyapeeth,C10173,GOMATESH VIDYAPEETH  ARTS COLLEGE BELAGAVI
59,C10176,Spvv Sangha's G P Porwal BCA College,C10176,"SPVV SANGHA'S G P PORWAL BCA COLLEGE,  SINDAGI"
60,C1018,Smt. R.D.Gardi College of Education,C1018,"SMT. R.D. GARDI COLLEGE OF EDUCATION, RAJKOT"
61,C10180,"Government First Grade College,Athani",C10180,"GOVT FIRST GRADE COLLEGE, ATHANI"
62,C10181,"BLDE Association's Commerce, BHS Arts & TGP Science College",C10181,"BLDEA'S COMMERCE, B H ARTS & TGP SCIENCE COLLEGE, JAMKHANDI (PG)"
63,C10187,S V E S PU COLLEGE HARUGERI,C10187,"SVES'S ARTS & COMM COLLEGE,  HARUGERI"
64,C10188,Bharatesh College Of Education,C10188,"BHRATESH COLLEGE OF EDUCATION, BELLAD BAGEWADI"
65,C1019,Bahauddin Science College,C1019,BAHUDDIN GOVT. SCIENCE COLLEGE JUNAGADH
66,C10190,Jain College Belgaum,C10190,"S B M J T JAIN BCA & COMMERCE COLLEGE,  BELGAUM"
67,C10191,Asnss Bhart Ratna Dr. Radhakrishnan B.Ed. College,C10191,"ASNSS BHART RATNA DR.RADHAKRISHNAN B.ED COLLEGE, SANKESHWAR"
68,C10193,Bims College,C10193,"PES &T BIMS DEGREE COLLEGE, BELGAUM"
69,C10196,"Shri Shivayogi Murughendra Swamiji Arts, Science and Commerce College, Athani",C10196,"SMS COLLEGE OF ARTS /SCIENCE & COMMERCE COLLEGE,  ATHANI"
70,C102,Marwadi Education Foundation Group of Institutions Hostel,C102,"Marwadi Education Foundations Group of Institutions (SFI),RAJKOT 734"
71,C1020,Shree H.M. Patel Mahila Law College,C1020,SHRI H.M.PATEL MAHILA LAW COLLEGE-JUNAGADH
72,C10200,SES Welfare's Swami Vivekanada BCA College,C10200,"SES WELFARE'S SWAMI VIVEKANADA BCA COLLEGE CHIKKODI ROAD, EXAMBA"
73,C10201,Govt P.U College Kittur,C10201,"GOVT. FIRST COLLEGE, KITTUR"
74,C10203,K.L.E. Society’s College of Education,C10203,"KLE SOCIETYS COLLEGE OF EDUCATION, BELGAUM"
75,C10205,B V V S The Presidency B.Ed College,C10205,"BVVS THE PRESIDENCY B.ED COLLEGE,  BIJAPUR"
76,C10206,Bldea's Bba College,C10206,"BLDEA'S BBA COLLEGE,  JAMAKHANDI"
77,C10206,"BLDE Association's Commerce, BHS Arts & TGP Science College",C10206,"BLDEA'S BBA COLLEGE,  JAMAKHANDI"
78,C1021,L D Dhanani Art's College,C1021,SHRI L.D. DHANANI ARTS COLLEGE-AMRELI
79,C10213,Himalayan Institute of Medical Sciences,C10213,Himalayan Institute of Medical Sciences
80,C10214,Vinayaka Mission's Kirupananda Variyar Engineering College,C10214,Vinayaka Mission's Kirupananda Variyar Engineering College
81,C10215,Vinayaka Mission's Medical College & Hospital,C10215,Vinayaka Mission's Medical College and Hospital
82,C10216,Vinayaka Missions College of Pharmacy,C10216,Vinayaka Mission's College of Pharmacy
83,C10217,Aarupadai Veedu Medical College & Hospital,C10217,Aarupadai Veedu Medical College and Hospital
84,C10218,Vinayaka Missions University,C10218,Vinayaka Mission's Annapoorana College of Nursing
85,C10219,Vinayaka Mission’s Kirupananda Variyar Medical College and Hospitals,C10219,Vinayaka Mission's Kirupananda Variyar Medical College and Hospital
86,C1022,Harivandana College,C1022,HARI VANDANA COLLEGE-RAJKOT
87,C10220,Vinayaka Missions University,C10220,Vinayaka Mission's College of Physiotherapy
88,C10221,Vinayaka Missions Sankarachariyar Dental College,C10221,Vinayaka Mission's Sankarachariyar Dental College
89,C10222,Vinayaka Mission's Kirupananda Variyar Engineering College,C10222,Vinayaka Mission's Kirupananda Variyar Arts and Science College
90,C10224,AARUPADAI VEEDU INSTITUTE OF TECHNOLOGY,C10224,Aarupadai Veedu Institute of Technology
91,C10225,Vinayaka Mission's Homeopathic Medical College and Hospitals,C10225,Vinayaka Mission's Homeopathic Medical College
92,C10225,Vinayaka Missions University,C10225,Vinayaka Mission's Homeopathic Medical College
93,C10226,Vinayaka Missions University,C10226,Vinayaka Mission's College of Nursing
94,C1023,CCSIT College,C1023,"SARASWATI INFOTECH EDUCATION COLLEGE OF COMPUTER, SCIENCE & I.T., JUNAGADH"
95,C10236,College of Architecture,C10236,"100094-COLLEGE OF ARCHITECTURE, JALGAON"
96,C10237,Sarvoday College of Science & Technology,C10237,SARVODAY COLLEGE OF SCIENCE & TECHNOLOGY - RAJKOT
