,place_id,sublocality_level_1,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,sublocality_level_2,route,point_of_interest,street_number,neighborhood,premise,subpremise,sublocality_level_3,postal_town,natural_feature,floor,administrative_area_level_3,postal_code_suffix,post_box,political,administrative_area_level_4
0,ChIJM7k39sBPXDkRiU6Om4PD_e8,SPCE Campus,Visnagar,Mehsana,Gujarat,India,384315,,,,,,,,,,,,,,,,
1,ChIJqWdamTTKWTkRia51FA2_j4g,Nana Mava,Rajkot,Rajkot,Gujarat,India,360005,Maruti Nagar,,,,,,,,,,,,,,,
2,ChIJq6qqWis3xzsRtQ9CQoxdMVo,,Jamkhandi,Bagalkot,Karnataka,India,587301,,,,,,,,,,,,,,,,
3,ChIJD_9u3pUMuDsRfsd49c38v9k,,Ilkal,Bagalkot,Karnataka,India,587125,,,,,,,,,,,,,,,,
4,ChIJ1XX3Jod4xzsRNASCCm-WoQc,Ward No 10,Bagalkot,Bagalkot,Karnataka,India,587101,,,,,,,,,,,,,,,,
5,ChIJDdmVFKv_xjsR8pYnqXqHWks,,Vijayapura,Bijapur,Karnataka,India,586108,,,,,,,,,,,,,,,,
6,ChIJy6jLb_jJWTkRLYdfV4NT_vw,Sadar,Rajkot,Rajkot,Gujarat,India,360001,,,,,,,,,,,,,,,,
7,ChIJBSOeuYH_xjsRi_L_CWB7Ki0,Shahu Nagar,Vijayapura,Bijapur,Karnataka,India,586101,,,,,,,,,,,,,,,,
8,ChIJu1RdliSXxzsRzRalmcnsftg,,Bijapur,Bijapur,Karnataka,India,591317,,,,,,,,,,,,,,,,
9,ChIJtbJfzibywDsRTBp1JERiqpE,,Nipani,Belagavi,Karnataka,India,591237,,State Highway 97,,,,,,,,,,,,,,
10,ChIJL43RxGNVxjsRVrzXPdLNx6o,KK Colony,Vijayapura,Bijapur,Karnataka,India,586101,,,,,,,,,,,,,,,,
11,ChIJ1QKO95LLWTkRhJ09AB7fsZ0,,Rajkot,Rajkot,Gujarat,India,360001,,Kalavad Road,,,,,,,,,,,,,,
12,ChIJD_9u3pUMuDsRfsd49c38v9k,,Ilkal,Bagalkot,Karnataka,India,587125,,,,,,,,,,,,,,,,
13,ChIJ37QG9X3_xjsRbNqvnNgBlY8,Sholapur,Vijayapura,Bijapur,Karnataka,India,586101,,Ram Mandir Road,S.S. High School Campus,,,,,,,,,,,,,
14,ChIJNSbePXBVxjsRhPxA3AWn42U,Konkanapura,Vijayapura,Bijapur,Karnataka,India,586101,,Jamiya Masjid Road,,1,,,,,,,,,,,,
