,name_clean,city_clean,cid,state
25899,"ALIGARH COLLEGE OF ENGINEERING AND TECHNOLOGY, ALIGARH",aligarh,C46346,Uttar Pradesh
4645,"ALIGARH COLLEGE OF ENGINEERING AND TECHNOLOGY, ALIGARH",aligarh,C15244,Uttar Pradesh
30,"ANGADI INST., OF MNG., STUDIES, BELGAUM, Belagavi",belagavi,C10031,Karnataka
98,"ANGADI INST., OF MNG., STUDIES, BELGAUM, Belagavi",belagavi,C10109,Karnataka
40153,"ASIAN BUSINESS SCHOOL, Noida",noida,ST14545,Uttar Pradesh
31110,"ASIAN BUSINESS SCHOOL, Noida",noida,C52901,Uttar Pradesh
9263,"Academy of Business Administration, Balasore",balasore,C21376,Odisha
15117,"Academy of Business Administration, Balasore",balasore,C30139,Odisha
41691,"Anurag Engineering College, Kodad",kodad,ST16567,Telangana
7920,"Anurag Engineering College, Kodad",kodad,C19538,Telangana
35370,Asansol Engineering College,asansol,C6333,West Bengal
35241,Asansol Engineering College,asansol,C6189,West Bengal
41770,BHARTI VIDYAPEETHS INSTITUTE OF PHARMACY  PUNE,pune,ST1700,Maharashtra
41771,BHARTI VIDYAPEETHS INSTITUTE OF PHARMACY  PUNE,pune,ST1701,Maharashtra
34848,"Baba Indradev Girls Educational Institute, Maheshpur Kala, Ghazipur, Null",null,C57652,Uttar Pradesh
30721,"Baba Indradev Girls Educational Institute, Maheshpur Kala, Ghazipur, Null",null,C52443,Uttar Pradesh
11720,"Badruka Degree College, Hyderabad",hyderabad,C25564,Telangana
12034,"Badruka Degree College, Hyderabad",hyderabad,C25984,Telangana
35356,"Bengal Institute of Technology and Management, Santiniketan",santiniketan,C6318,West Bengal
35334,"Bengal Institute of Technology and Management, Santiniketan",santiniketan,C6292,West Bengal
35363,"Bharat Technology, Uluberia",uluberia,C6326,West Bengal
35201,"Bharat Technology, Uluberia",uluberia,C6142,West Bengal
4310,"Bharathi Vidyalaya College of Education, Pudukkottai",pudukkottai,C14823,Tamil Nadu
4153,"Bharathi Vidyalaya College of Education, Pudukkottai",pudukkottai,C14608,Tamil Nadu
11770,"Bhavans New Science Degree College, Hyderabad",hyderabad,C25631,Telangana
11852,"Bhavans New Science Degree College, Hyderabad",hyderabad,C25743,Telangana
25445,"CHRISTIAN MEDICAL COLLEGE, VELLORE",vellore,C45654,Tamil Nadu
27933,"CHRISTIAN MEDICAL COLLEGE, VELLORE",vellore,C49094,Tamil Nadu
27934,"CHRISTIAN MEDICAL COLLEGE, VELLORE",vellore,C49095,Tamil Nadu
27935,"CHRISTIAN MEDICAL COLLEGE, VELLORE",vellore,C49096,Tamil Nadu
27936,"CHRISTIAN MEDICAL COLLEGE, VELLORE",vellore,C49097,Tamil Nadu
15197,"CSSR & SRRM Degree College, Kamalapuram",kamalapuram,C30225,Andhra Pradesh
15244,"CSSR & SRRM Degree College, Kamalapuram",kamalapuram,C30284,Andhra Pradesh
33614,"Chakleshwar Singh Educational Institute, Mathura",mathura,C56008,Uttar Pradesh
41643,"Chakleshwar Singh Educational Institute, Mathura",mathura,ST16477,Uttar Pradesh
20624,"College of Pharmaceutical Sciences, Mohuda, Berhampur",berhampur,C39412,Odisha
15054,"College of Pharmaceutical Sciences, Mohuda, Berhampur",berhampur,C30070,Odisha
25389,"DHANVANTRI COLLEGE OF NURSING, ERODE",erode,C45589,Tamil Nadu
27911,"DHANVANTRI COLLEGE OF NURSING, ERODE",erode,C49050,Tamil Nadu
32225,"Disha Institute of Medical Sciences, Raipur",raipur,C54186,Chhatisgarh
41025,"Disha Institute of Medical Sciences, Raipur",raipur,ST15603,Chhatisgarh
8669,"Dr. Ambedkar FGC, HAL, IInd Stage, Indiranagar, Bangalore",bangalore,C20617,Karnataka
8783,"Dr. Ambedkar FGC, HAL, IInd Stage, Indiranagar, Bangalore",bangalore,C20772,Karnataka
21543,"Dr. B R Ambedkar Medical College, Bangalore",bangalore,C40483,Karnataka
21314,"Dr. B R Ambedkar Medical College, Bangalore",bangalore,C40195,Karnataka
4617,"EDIFY INSTITUTE OF MANAGEMENT AND TECHNOLOGY, MATHURA",mathura,C15208,Uttar Pradesh
25868,"EDIFY INSTITUTE OF MANAGEMENT AND TECHNOLOGY, MATHURA",mathura,C46302,Uttar Pradesh
35799,"EXPERIMENTAL COLLEGE OF EDUCATION, Prantij",prantij,C6849,Gujarat
35753,"EXPERIMENTAL COLLEGE OF EDUCATION, Prantij",prantij,C6791,Gujarat
25358,"G.KUPPUSWAMY NAIDU MEMORIAL HOSPITAL, COIMBATORE",coimbatore,C45555,Tamil Nadu
27898,"G.KUPPUSWAMY NAIDU MEMORIAL HOSPITAL, COIMBATORE",coimbatore,C49033,Tamil Nadu
25299,"GLOBAL HOSPITALS & HEALTH CITY, CHENNAI",chennai,C45473,Tamil Nadu
27891,"GLOBAL HOSPITALS & HEALTH CITY, CHENNAI",chennai,C49023,Tamil Nadu
25850,"GREATER NOIDA INSTITUTE OF TECHNOLOGY, GREATER NOIDA",greater noida,C46256,Uttar Pradesh
25838,"GREATER NOIDA INSTITUTE OF TECHNOLOGY, GREATER NOIDA",greater noida,C46231,Uttar Pradesh
41325,"GYANODAYA THE COLLEGE OF EXCELLENCE, Jawad",jawad,ST15989,Madhya Pradesh
40916,"GYANODAYA THE COLLEGE OF EXCELLENCE, Jawad",jawad,ST15478,Madhya Pradesh
20556,"Gayatri Institute of Computer and Management Studies, Gunupur",gunupur,C39337,Odisha
15122,"Gayatri Institute of Computer and Management Studies, Gunupur",gunupur,C30144,Odisha
14660,"Govt Post Graduate College, Chandigarh",chandigarh,C29410,Chandigarh
14594,"Govt Post Graduate College, Chandigarh",chandigarh,C29314,Chandigarh
11752,"Govt. Degree College for Women, Hyderabad",hyderabad,C25611,Telangana
11933,"Govt. Degree College for Women, Hyderabad",hyderabad,C25846,Telangana
12243,"Govt. Degree College, Atmakur",atmakur,C26255,Andhra Pradesh
9729,"Govt. Degree College, Atmakur",atmakur,C21985,Telangana
35364,"Gurunanak Institute of Hotel Management, Kolkata",kolkata,C6327,West Bengal
35367,"Gurunanak Institute of Hotel Management, Kolkata",kolkata,C6330,West Bengal
35219,"Gurunanak Institute of Technology, Kolkata",kolkata,C6166,West Bengal
35368,"Gurunanak Institute of Technology, Kolkata",kolkata,C6331,West Bengal
28587,"HAINDAVI DEGREE COLLEGE, Hyderabad",hyderabad,C49893,Telangana
27749,"HAINDAVI DEGREE COLLEGE, Hyderabad",hyderabad,C48866,Telangana
31796,"HARDZONE EDUCATIONAL SERVICES PVT. LTD, Indore",indore,C53707,Madhya Pradesh
33062,"HARDZONE EDUCATIONAL SERVICES PVT. LTD, Indore",indore,C55257,Madhya Pradesh
40164,"INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY, SALEM",salem,ST14555,Tamil Nadu
33840,"INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY, SALEM",salem,C56312,Tamil Nadu
15818,INSTITUTE OF COMPUTER SCIENCE & TECHNOLOGY BINA,bina,C31119,Madhya Pradesh
16097,INSTITUTE OF COMPUTER SCIENCE & TECHNOLOGY BINA,bina,C31559,Madhya Pradesh
35268,"Institute of Science and Technology, Chandrakona",chandrakona,C6218,West Bengal
35362,"Institute of Science and Technology, Chandrakona",chandrakona,C6325,West Bengal
35371,"JIS College of Engineering, Kalyani",kalyani,C6334,West Bengal
35307,"JIS College of Engineering, Kalyani",kalyani,C6260,West Bengal
11899,"Jagruthi Degree College, Hyderabad",hyderabad,C25803,Telangana
11819,"Jagruthi Degree College, Hyderabad",hyderabad,C25696,Telangana
12003,"Jagruthi Degree College, Hyderabad",hyderabad,C25935,Telangana
11935,"Jagruthi Degree College, Hyderabad",hyderabad,C25849,Telangana
8912,"Jain College, Bangalore",bangalore,C20934,Karnataka
9022,"Jain College, Bangalore",bangalore,C21075,Karnataka
25770,"KIET Group of Institutions, Ghaziabad",ghaziabad,C46111,Uttar Pradesh
25781,"KIET Group of Institutions, Ghaziabad",ghaziabad,C46130,Uttar Pradesh
27005,"LOKMANYA COLLEGE OF EDUCATION, Ahmedabad",ahmedabad,C47887,Gujarat
27006,"LOKMANYA COLLEGE OF EDUCATION, Ahmedabad",ahmedabad,C47888,Gujarat
11962,"Little Flower Degree College, Hyderabad",hyderabad,C25881,Telangana
11646,"Little Flower Degree College, Hyderabad",hyderabad,C25471,Telangana
31726,"Lovekush Institute of Nursing, Pathalgaon",pathalgaon,C53629,Chhatisgarh
40530,"Lovekush Institute of Nursing, Pathalgaon",pathalgaon,ST15028,Chhatisgarh
12037,"M S Degree College for Women, Hyderabad",hyderabad,C25988,Telangana
12096,"M S Degree College for Women, Hyderabad",hyderabad,C26072,Telangana
11853,"M S Degree College for Women, Hyderabad",hyderabad,C25744,Telangana
27920,"MEENAKSHI MISSION HOSPITAL & RESEARCH CENTRE, MADURAI",madurai,C49063,Tamil Nadu
26729,"MEENAKSHI MISSION HOSPITAL & RESEARCH CENTRE, MADURAI",madurai,C47555,Tamil Nadu
27922,"MELMARUVATHUR ADHIPARASAKTHI INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, KANCHEEPURAM",kancheepuram,C49066,Tamil Nadu
25571,"MELMARUVATHUR ADHIPARASAKTHI INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, KANCHEEPURAM",melmaruvathur,C45814,Tamil Nadu
35284,Management Institute of Durgapur,durgapur,C6237,West Bengal
35291,Management Institute of Durgapur,durgapur,C6243,West Bengal
35328,"Meghnad Saha Institute of Technology, Kolkata",kolkata,C6286,West Bengal
35374,"Meghnad Saha Institute of Technology, Kolkata",kolkata,C6339,West Bengal
29524,"Modern Group of Colleges, Mukerian",mukerian,C50944,Punjab
29893,"Modern Group of Colleges, Mukerian",mukerian,C51364,Punjab
35434,"Moti Lal Nehru College, New delhi",new delhi,C6408,Delhi
35389,"Moti Lal Nehru College, New delhi",new delhi,C6354,Delhi
35283,"Narula Institute of Technology, Kolkata",kolkata,C6235,West Bengal
35199,"Narula Institute of Technology, Kolkata",kolkata,C6140,West Bengal
35304,"Narula Institute of Technology, Kolkata",kolkata,C6257,West Bengal
2427,"National Institute of Engineering, MYSORE",mysore,C1263,Karnataka
3973,"National Institute of Engineering, MYSORE",mysore,C1438,Karnataka
35197,"Netaji Subhash Engineering College, Kolkata",kolkata,C6139,West Bengal
35233,"Netaji Subhash Engineering College, Kolkata",kolkata,C6180,West Bengal
35303,"Netaji Subhash Engineering College, Kolkata",kolkata,C6256,West Bengal
33691,"Nishitha Degree College, Nizamabad",nizamabad,C56115,Telangana
18174,"Nishitha Degree College, Nizamabad",nizamabad,C35032,Telangana
27869,"OMAYAL ACHI COLLEGE OF NURSING, CHENNAI",chennai,C48991,Tamil Nadu
25261,"OMAYAL ACHI COLLEGE OF NURSING, CHENNAI",chennai,C45419,Tamil Nadu
7884,"Om Kothari Institute of Management & Research, Kota",kota,C19486,Rajasthan
11355,"Om Kothari Institute of Management & Research, Kota",kota,C25086,Rajasthan
38572,P R TRAINING COLLEGE  AHMEDABAD,ahmedabad,ST11094,Gujarat
38571,P R TRAINING COLLEGE  AHMEDABAD,ahmedabad,ST11093,Gujarat
38570,P R TRAINING COLLEGE  AHMEDABAD,ahmedabad,ST11092,Gujarat
35354,"Pailan College of Management and Technology, Kolkata",kolkata,C6316,West Bengal
35337,"Pailan College of Management and Technology, Kolkata",kolkata,C6295,West Bengal
35324,"Pailan College of Management and Technology, Kolkata",kolkata,C6282,West Bengal
11622,"Prathibha Degree College, Hyderabad",hyderabad,C25444,Telangana
11840,"Prathibha Degree College, Hyderabad",hyderabad,C25727,Telangana
10502,"Pydah College, Visakhapatnam",visakhapatnam,C23850,Andhra Pradesh
10826,"Pydah College, Visakhapatnam",visakhapatnam,C24346,Andhra Pradesh
33279,"RAJIV GANDHI INSTITUTE OF COMPUTER TECHNOLOGY, Ashok nagar",ashok nagar,C55549,Madhya Pradesh
15948,"RAJIV GANDHI INSTITUTE OF COMPUTER TECHNOLOGY, Ashok nagar",ashok nagar,C31313,Madhya Pradesh
24971,"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, BASAR, Nirmal",nirmal,C45101,Telangana
47173,"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, BASAR, Nirmal",nirmal,U869,Telangana
42067,SHREE MAHAVIR EDUCATION SOCIETY'S INSTITUTE OF TECHNOLOGY NASHIK,nashik,ST2126,Maharashtra
42068,SHREE MAHAVIR EDUCATION SOCIETY'S INSTITUTE OF TECHNOLOGY NASHIK,nashik,ST2127,Maharashtra
35784,"SMT K B DAVE COLLEGE OF EDUCATION, Pilvai",pilvai,C6830,Gujarat
35747,"SMT K B DAVE COLLEGE OF EDUCATION, Pilvai",pilvai,C6786,Gujarat
8049,"SRM PG College, Karimnagar",karimnagar,C19727,Telangana
8152,"SRM PG College, Karimnagar",karimnagar,C19899,Telangana
19026,"Sagar Institute of Research & Technology, Bhopal",bhopal,C36202,Madhya Pradesh
18234,"Sagar Institute of Research & Technology, Bhopal",bhopal,C35106,Madhya Pradesh
15270,"Sarada College of Education, Salem",salem,C30313,Andhra Pradesh
39959,"Sarada College of Education, Salem",salem,ST14322,Andhra Pradesh
35441,"Satyawati College, Delhi",delhi,C6416,Delhi
10166,"Satyawati College, Delhi",delhi,C22468,Delhi
12169,"Shadan Institute of Computer Studies, Hyderabad",hyderabad,C26170,Telangana
11991,"Shadan Institute of Computer Studies, Hyderabad",hyderabad,C25923,Telangana
35429,"Shaheed Bhagat Singh College, New delhi",new delhi,C6401,Delhi
35447,"Shaheed Bhagat Singh College, New delhi",new delhi,C6421,Delhi
41026,"Shri Balaji Institute of Nursing, Raipur",raipur,ST15604,Chhatisgarh
32226,"Shri Balaji Institute of Nursing, Raipur",raipur,C54187,Chhatisgarh
35391,"Shyam Lal College, Delhi",delhi,C6357,Delhi
10159,"Shyam Lal College, Delhi",delhi,C22459,Delhi
35266,Siliguri Institute of Technology,siliguri,C6216,West Bengal
35339,Siliguri Institute of Technology,siliguri,C6297,West Bengal
35242,Siliguri Institute of Technology,siliguri,C6191,West Bengal
35126,"Smt. B. C. J. College of Education, Khambhat",khambhat,C6059,Gujarat
35044,"Smt. B. C. J. College of Education, Khambhat",khambhat,C5968,Gujarat
12306,"Sri Sankara's Degree College, Kurnool",kurnool,C26335,Andhra Pradesh
12265,"Sri Sankara's Degree College, Kurnool",kurnool,C26281,Andhra Pradesh
8125,"Sri Venkateswara Engineering College, Suryapet",suryapet,C19853,Telangana
41684,"Sri Venkateswara Engineering College, Suryapet",suryapet,ST16553,Telangana
11649,"Srinivasa Degree College, Medak",medak,C25475,Telangana
11978,"Srinivasa Degree College, Medak",medak,C25900,Telangana
11887,"St. Anns Degree College for Women, Hyderabad",hyderabad,C25788,Telangana
11903,"St. Anns Degree College for Women, Hyderabad",hyderabad,C25808,Telangana
12113,"St. Anns Degree College for Women, Hyderabad",hyderabad,C26091,Telangana
35248,"Techno India College of Technology, Kolkata",kolkata,C6198,West Bengal
35253,"Techno India College of Technology, Kolkata",kolkata,C6201,West Bengal
35192,"Techno India, Kolkata",kolkata,C6133,West Bengal
35240,"Techno India, Kolkata",kolkata,C6188,West Bengal
35369,"Techno India, Kolkata",kolkata,C6332,West Bengal
11982,"V.V. College, Hyderabad",hyderabad,C25905,Telangana
12146,"V.V. College, Hyderabad",hyderabad,C26138,Telangana
26978,"VEERAYATAN GROUP OF INSTITUTIONS FACULTY OF ENGG, Mandvi",mandvi,C47847,Gujarat
32866,"VEERAYATAN GROUP OF INSTITUTIONS FACULTY OF ENGG, Mandvi",mandvi,C55,Gujarat
24956,"VIDHYADEEP INSTITUTE OF ENGINEERING AND TECHNOLOGY, Surat",surat,C45064,Gujarat
27552,"VIDHYADEEP INSTITUTE OF ENGINEERING AND TECHNOLOGY, Surat",surat,C48583,Gujarat
41570,"VNS BUSINESS SCHOOL, Bhopal",bhopal,ST1637,Madhya Pradesh
27326,"VNS BUSINESS SCHOOL, Bhopal",bhopal,C48315,Madhya Pradesh
13058,"Vikas Degree College, Jannaram",jannaram,C27382,Telangana
30830,"Vikas Degree College, Jannaram",jannaram,C52571,Telangana
40299,"Vinayaka College of Nursing, Nadiad",nadiad,ST14740,Gujarat
33382,"Vinayaka College of Nursing, Nadiad",nadiad,C55715,Gujarat
23758,"Vivekananda College, Kolkata",kolkata,C43346,West Bengal
1734,"Vivekananda College, Kolkata",kolkata,C11981,West Bengal
