0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Sankalchand  Patel  University ,  Visnagar,SPUV,SPU  visnagar,SPU/V,SPU,SPU  V,SPU-V,sankalchand  patel  university,sankalchand  patel  university  visnagar,,,,,,,,,,
Rani  Channamma  University ,  Belagavi,rani  channamma  university,rani  channamma  university  belagavi,RCU/B,RCU,RCU  belagavi,RCU  B,RCU-B,RCUB,,,,,,,,,,
Saurashtra  University ,  Rajkot,SU  rajkot,SU/R,SU-R,SUR,SU  R,SU,saurashtra  university,saurashtra  university  rajkot,,,,,,,,,,
BHAKTA  KAVI  NARSINH  MEHTA  UNIVERSITY,bhakta  kavi  narsinh  mehta  university,BKNMU,,,,,,,,,,,,,,,,
R  K  University ,  Rajkot,RKU  rajkot,r  k  university,RKU-R,RKUR,RKU,RKU  R,r  k  university  rajkot,RKU/R,,,,,,,,,,
SWARNIM  GUJARAT  SPORTS  UNIVERSITY,SGSU,swarnim  gujarat  sports  university,,,,,,,,,,,,,,,,
Gujarat  Technological  University ,  Ahmedbabd,GTU/A,GTUA,GTU  ahmedbabd,GTU,gujarat  technological  university,GTU-A,gujarat  technological  university  ahmedbabd,GTU  A,,,,,,,,,,
SWAMI  RAMA  HIMALAYAN  UNIVERSITY,swami  rama  himalayan  university,SRHU,,,,,,,,,,,,,,,,
VINAYAKA  MISSIONs  RESEARCH  FOUNDATION ,  SALEM,VMRF,VMRF/S,VMRF  salem,VMRF-S,vinayaka  missions  research  foundation  salem,VMRFS,VMRF  S,vinayaka  missions  research  foundation,,,,,,,,,,
North  Maharashtra  University ,  Jalgaon,NMUJ,NMU/J,NMU  J,north  maharashtra  university,north  maharashtra  university  jalgaon,NMU  jalgaon,NMU,NMU-J,,,,,,,,,,
Dr  Rajendra  Prasad  Central  Agricultural  University ,  Samastipur,dr  rajendra  prasad  central  agricultural  university  samastipur,DRPCAU,DRPCAU  samastipur,DRPCAU  S,DRPCAU-S,dr  rajendra  prasad  central  agricultural  university,DRPCAU/S,DRPCAUS,,,,,,,,,,
I  K  Gujral  Punjab  Technical  University ,  Jalandhar,IKGPTU,IKGPTU  jalandhar,i  k  gujral  punjab  technical  university  jalandhar,IKGPTU-J,IKGPTU  J,i  k  gujral  punjab  technical  university,IKGPTUJ,IKGPTU/J,,,,,,,,,,
MAHARAJA  RANJIT  SINGH  STATE  TECHNICAL  UNIVERSITY,MRSSTU,maharaja  ranjit  singh  state  technical  university,,,,,,,,,,,,,,,,
CHAUDHARY  RANBIR  SINGH  UNIVERSITY ,  JIND,CRSU-J,CRSU/J,chaudhary  ranbir  singh  university  jind,CRSUJ,CRSU,CRSU  jind,CRSU  J,chaudhary  ranbir  singh  university,,,,,,,,,,
Kurukshetra  University ,  Kurukshetra,kurukshetra  university  kurukshetra,kurukshetra  university,KU-K,KU  K,KU,KUK,KU  kurukshetra,KU/K,,,,,,,,,,
Lakshmibai  National  Institute  of  Physical  Education ,  Gwalior,LNIPE  G,LNIPE  gwalior,LNIPE,lakshmibai  national  institute  of  physical  education  gwalior,lakshmibai  national  institute  physical  education  gwalior,LNIPEG,lakshmibai  national  institute  physical  education,lakshmibai  national  institute  of  physical  education,LNIPE-G,LNIPE/G,,,,,,,,
Integral  University ,  Lucknow,IU  L,IUL,IU  lucknow,integral  university,IU/L,IU,IU-L,integral  university  lucknow,,,,,,,,,,
North  Orissa  University ,  Mayurbhanj,NOU  M,NOU-M,NOU/M,NOU  mayurbhanj,north  orissa  university  mayurbhanj,NOU,NOUM,north  orissa  university,,,,,,,,,,
Shivaji  University ,  Kolhapur,SU/K,SU  K,SU  kolhapur,SU-K,shivaji  university,SU,shivaji  university  kolhapur,SUK,,,,,,,,,,
Shree  Somnath  Sanskrit  University ,  Junagarh,SSSU-J,SSSU  junagarh,SSSU  J,SSSU,SSSU/J,SSSUJ,shree  somnath  sanskrit  university,shree  somnath  sanskrit  university  junagarh,,,,,,,,,,
Himachal  Pradesh  University   ,  Shimla,HPU/S,HPU  shimla,HPUS,himachal  pradesh  university    shimla,HPU-S,himachal  pradesh  university  ,HPU,HPU  S,,,,,,,,,,
Himachal  Pradesh  Technical  University ,  Hamirpur,himachal  pradesh  technical  university,HPTU-H,HPTU  H,himachal  pradesh  technical  university  hamirpur,HPTU,HPTU  hamirpur,HPTUH,HPTU/H,,,,,,,,,,
Sardar  Patel  University ,  Vallabh  Vidyanagar,SPUV,SPU/V,SPU,SPU  V,SPU  vallabh  vidyanagar,SPU-V,sardar  patel  university  vallabh  vidyanagar,sardar  patel  university,,,,,,,,,,
Mahatma  Gandhi  University ,  Kottayam,MGUK,mahatma  gandhi  university  kottayam,MGU/K,MGU-K,MGU  K,mahatma  gandhi  university,MGU  kottayam,MGU,,,,,,,,,,
A  P  J  ABDUL  KALAM  TECHNOLOGICAL  UNIVERSITY,a  p  j  abdul  kalam  technological  university,APJAKTU,,,,,,,,,,,,,,,,
KERALA  UNIVERSITY  OF  HEALTH  AND  ALLIED  SCIENCES,KUHAS,kerala  university  health  allied  sciences,kerala  university  of  health  and  allied  sciences,,,,,,,,,,,,,,,
GLS  UNIVERSITY,GU,gls  university,,,,,,,,,,,,,,,,
PARUL  UNIVERSITY,PU,parul  university,,,,,,,,,,,,,,,,
Calcutta  University ,  Kolkata,CU-K,CU  K,calcutta  university  kolkata,CU  kolkata,CU,CU/K,CUK,calcutta  university,,,,,,,,,,
THE  WEST  BENGAL  UNIVERSITY  OF  TEARCHERS  TRAINING ,  EDUCATION  PLANNING  AND  ADMINISTRATION,the  west  bengal  university  tearchers  training  education  planning  and  administration,the  west  bengal  university  of  tearchers  training  education  planning  and  administration,TWBUTTE,the  west  bengal  university  tearchers  training,TWBUTT,the  west  bengal  university  of  tearchers  training,TWBUTT  E,TWBUTT  education  planning  and  administration,TWBUTT-E,TWBUTT/E,,,,,,,,
Chatrapati  Sahuji  Maharaj  Kanpur  University ,  Kanpur,CSMKU-K,CSMKU,chatrapati  sahuji  maharaj  kanpur  university,CSMKU/K,CSMKUK,chatrapati  sahuji  maharaj  kanpur  university  kanpur,CSMKU  kanpur,CSMKU  K,,,,,,,,,,
ALLAHABAD  STATE  UNIVERSITY,allahabad  state  university,ASU,,,,,,,,,,,,,,,,
Vesveswaraiah  Technological  University ,  Belgaum,VTU/B,VTU  belgaum,VTUB,VTU,VTU-B,vesveswaraiah  technological  university,vesveswaraiah  technological  university  belgaum,VTU  B,,,,,,,,,,
nan,nan,,,,,,,,,,,,,,,,,
Dayalbagh  Educational  Institute ,  Agra,dayalbagh  educational  institute  agra,DEI  agra,DEI,DEI-A,DEIA,dayalbagh  educational  institute,DEI  A,DEI/A,,,,,,,,,,
Magadh  University ,  Bodh  Gaya,MU-B,MU/B,MU  bodh  gaya,magadh  university,MU  B,MUB,MU,magadh  university  bodh  gaya,,,,,,,,,,
Jai  Narain  Vyas  University ,  Jodhpur,JNVU-J,JNVU,JNVUJ,JNVU/J,jai  narain  vyas  university  jodhpur,jai  narain  vyas  university,JNVU  J,JNVU  jodhpur,,,,,,,,,,
Maharishi  Dayanand  Saraswati  University ,  Ajmer,MDSUA,MDSU,MDSU  ajmer,MDSU-A,maharishi  dayanand  saraswati  university  ajmer,MDSU  A,maharishi  dayanand  saraswati  university,MDSU/A,,,,,,,,,,
Mahatama  Jyotiba  Phule  Rohikhand  University ,  Bareilly,MJPRU  B,MJPRUB,MJPRU-B,mahatama  jyotiba  phule  rohikhand  university,MJPRU  bareilly,mahatama  jyotiba  phule  rohikhand  university  bareilly,MJPRU,MJPRU/B,,,,,,,,,,
Karnataka  Sanskrit  University,karnataka  sanskrit  university,KSU,,,,,,,,,,,,,,,,
Mahatma  Gandhi  Kashi  Vidyapeeth ,  Varanasi,MGKV  V,MGKV  varanasi,MGKVV,MGKV/V,MGKV-V,mahatma  gandhi  kashi  vidyapeeth,MGKV,mahatma  gandhi  kashi  vidyapeeth  varanasi,,,,,,,,,,
Maharashtra  University  of  Health  Sciences ,  Nashik,maharashtra  university  of  health  sciences,MUHS  nashik,MUHS,MUHS/N,MUHSN,MUHS  N,maharashtra  university  of  health  sciences  nashik,maharashtra  university  health  sciences  nashik,maharashtra  university  health  sciences,MUHS-N,,,,,,,,
SIDDHARTH  UNIVERSITY ,  KAPILVASTU,SU/K,siddharth  university  kapilvastu,SU  K,SU-K,siddharth  university,SU,SU  kapilvastu,SUK,,,,,,,,,,
Deen  Dayal  Upadhyay  Gorakhpur  University ,  Gorakhpur,deen  dayal  upadhyay  gorakhpur  university,DDUGUG,deen  dayal  upadhyay  gorakhpur  university  gorakhpur,DDUGU  G,DDUGU-G,DDUGU,DDUGU/G,DDUGU  gorakhpur,,,,,,,,,,
Tamil  Nadu  Teacher  Education  University ,  Chennai,TNTEU-C,tamil  nadu  teacher  education  university,TNTEU/C,tamil  nadu  teacher  education  university  chennai,TNTEU,TNTEUC,TNTEU  C,TNTEU  chennai,,,,,,,,,,
Ranchi  University ,  Ranchi,ranchi  university,ranchi  university  ranchi,RU,RU/R,RU  ranchi,RU  R,RUR,RU-R,,,,,,,,,,
Dr.  B.  R.  Ambedkar  University ,  Agra,DRBR  university,DBRAU,DBRAUA,DBRAU  A,dr.  b.  r.  ambedkar  university,DBRAU/A,DRBR  agra,DRBRA,DBRAU-A,DBRAU  agra,DRBR,DRBR  A,dr.  b.  r.  ambedkar  university  agra,DRBR  university  agra,DRBR/A,DRBR-A,,
Sri  Devraj  Urs  Acaedmy  of  Highehr  Education  and  Research ,  Kolar,SDUAHER  kolar,SDUAHER/K,SDUAHER,SDUAHER  K,sri  devraj  urs  acaedmy  of  highehr  education  and  research  kolar,sri  devraj  urs  acaedmy  highehr  education  research  kolar,sri  devraj  urs  acaedmy  highehr  education  research,SDUAHER-K,SDUAHERK,sri  devraj  urs  acaedmy  of  highehr  education  and  research,,,,,,,,
Chhattisgarh  Swami  Vivekanand  Technical  University ,  Bhilai,CSVTU/B,CSVTU-B,CSVTU,CSVTU  bhilai,chhattisgarh  swami  vivekanand  technical  university  bhilai,CSVTUB,chhattisgarh  swami  vivekanand  technical  university,CSVTU  B,,,,,,,,,,
Solapur  University ,  Solapur,SU/S,SU  S,solapur  university  solapur,solapur  university,SU-S,SU,SU  solapur,SUS,,,,,,,,,,
Veer  Bahadur  Singh  Purvanchal  University ,  Jaunpur,VBSPU  jaunpur,VBSPU  J,veer  bahadur  singh  purvanchal  university  jaunpur,veer  bahadur  singh  purvanchal  university,VBSPU/J,VBSPUJ,VBSPU,VBSPU-J,,,,,,,,,,
Sri  Venkateswara  Institute  of  Medical  Sciences ,  Tirupathi,sri  venkateswara  institute  of  medical  sciences  tirupathi,SVIMS-T,SVIMS/T,sri  venkateswara  institute  medical  sciences,SVIMS  tirupathi,sri  venkateswara  institute  medical  sciences  tirupathi,SVIMS  T,SVIMST,SVIMS,sri  venkateswara  institute  of  medical  sciences,,,,,,,,
