,university_id,university
0,UV0,"Sankalchand Patel University, Visnagar"
1,UV1,"Gujarat Technological University, Ahmedbabd"
2,UV2,"Hemchandracharya North Gujart University, Patan"
3,UV3,
4,UV4,"Saurashtra University, Rajkot"
5,UV5,"R K University, Rajkot"
6,UV6,SWARNIM GUJARAT SPORTS UNIVERSITY
7,UV7,"Shree Somnath Sanskrit University, Junagarh"
8,UV8,Marwadi University
9,UV9,"Gujarat Ayurveda University, Jamnagar"
10,UV10,Junagadh Agricultural University
11,UV11,"Veer Narmad South Gujarat University, Surat"
12,UV12,"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh"
13,UV13,"Gujarat University, Ahmedabad"
14,UV14,BHAKTA KAVI NARSINH MEHTA UNIVERSITY
15,UV15,SHRI GOVIND GURU UNIVERSITY
16,UV16,"Sardar Patel University, Vallabh Vidyanagar"
17,UV17,"Anand Agricultural University, Anand"
18,UV18,Maharaja Krishnakumarsinhji Bhavnagar University
19,UV19,"North Eastern Hill University, Shillong"
20,UV20,"Smt. Nathibai Damodar Thackersey Women's Univeristy, Mumbai"
21,UV21,"Homi Bhabha Natioanal Institute Knowledge Management Group, Mumbai"
22,UV22,"National Institute of Fashion Technology, Hauz Khas"
23,UV23,Navsari Agricultural University
24,UV24,GLS UNIVERSITY
25,UV25,"Nirma University, Ahmedabad"
26,UV26,Ahmedabad University
27,UV27,ANANT NATIONAL UNIVERSITY
28,UV28,PARUL UNIVERSITY
29,UV29,"Dharmsinh Desai univeristy, Nadiad"
30,UV30,"Kadi Sarva Vishwavidyalaya, Gandihnagar"
31,UV31,"Ganpat University, Ganpat Vidyanagar, Kherva"
32,UV32,"Charotar University of Science & Technology,  Anand"
33,UV33,"Sampurnanand Sanskrit Vishwavidyalaya,  Varanasi"
34,UV34,"Rani Channamma University, Belagavi"
35,UV35,Karnataka Sanskrit University
36,UV36,"Vesveswaraiah Technological University, Belgaum"
37,UV37,"Karnataka State Women University, Bijapur"
38,UV38,"Kannada University, Hampi, Kamalapura"
39,UV39,"Rajiv Gandhi University of Health Sciences, Bangalore"
40,UV40,"University  of Agricultural Sciences, Dharwad"
41,UV41,"Karnataka State Law University, Hubli"
42,UV42,"University  of Horticultural Sciences, Bagalkot"
43,UV43,"K.L.E. Academy of Higher Education and Research, Belgaum"
44,UV44,"Bangalore University, Bangalore"
45,UV45,"Mysore University, Mysore"
46,UV46,"Davangere University, Davangere"
47,UV47,"Kuvempu University, Shankaraghatta, Shimoga"
48,UV48,"Gulbarga University, Gulbarga"
49,UV49,"Vijayanagara Sri Krishnadevaraya University, Bellary"
50,UV50,"Karnataka University, Dharwad"
51,UV51,"Tumkur University, Tumkur"
52,UV52,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal"
53,UV53,"Maulana Azad National Urdu University, Hyderabad"
54,UV54,"Manipal Academy of Higher Education, Manipal"
55,UV55,"Mangalore University, Mangalore"
56,UV56,"NITTE Unversity, Mangalore"
57,UV57,"Yenepoya University, Mangalore"
58,UV58,"SYMBIOSIS International University, Pune"
59,UV59,"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar"
60,UV60,Sri Siddharatha Acedemy of Higher Education
61,UV61,"Jagadguru Sri Shivarathreeswara University, Mysore"
62,UV62,"University of Agricultural Sciences, Bangalore"
63,UV63,"Sri Devraj Urs Acaedmy of Highehr Education and Research, Kolar"
64,UV64,"UNIVERSITY OF AGRICULTURAL AND HORTICULTURAL SCIENCES, SHIMOGA"
65,UV65,"Rashtriya Sanskrit Sansthan, New Delhi"
66,UV66,"University  of Agricultural Sciences, Raichur"
67,UV67,"Chhattisgarh Swami Vivekanand Technical University, Bhilai"
68,UV68,"Bastar Vishwavidyalaya, Bastar"
69,UV69,"Ayush and Health Science University of Chattisgarh, Raipur"
70,UV70,DURG UNIVERSITY
71,UV71,BILASPUR VISHWAVIDYALAYA
72,UV72,"Indira Kala Sangit Vishwavidyalaya, Khairagarh"
73,UV73,"Indira Gandhi Krishi Vishwavidyalaya, Raipur"
74,UV74,"Sarguja University, Ambikapur"
75,UV75,"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur"
76,UV76,"Pt. Ravishankar Shukla University, Raipur"
77,UV77,CHHATTISGARH KAMDHENU VISHWAVIDALAYA
78,UV78,"Shivaji University, Kolhapur"
79,UV79,Savitribai Phule Pune University
80,UV80,"Solapur University, Solapur"
81,UV81,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur"
82,UV82,"GONDWANA UNIVERSITY, GADCHIROLI"
83,UV83,Mumbai University Mumbai
84,UV84,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad"
85,UV85,"Sant Gadge Baba Amravati University, Amravati"
86,UV86,"Maharashtra University of Health Sciences, Nashik"
87,UV87,"Swami Ramanand Teerth Marathwada University, Nanded"
88,UV88,"North Maharashtra University, Jalgaon"
89,UV89,"Mahatma Phule Krishi Vidyapeeth, Rahuri"
90,UV90,"D.Y. Patil Educational Society , Kolhapur"
91,UV91,"Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya, Ramtek"
92,UV92,"Bharati Vidyapeeth, Pune"
93,UV93,"Krishna Institute of Medical Sciences Deemed University, Karad"
94,UV94,"Maharashtra Animal & Fishery Sciences University, Nagpur"
95,UV95,"Dr. Punjarao Deshmukh Krishi Vidyapeeth, Akola"
